Hạng và địa phương,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-QNI,155.0,155.0,153.0,157.0,154.0,158.0,158.0,158.0,148.0,146.0,147.0,145.0,146.0,146.0,148.0
geoId-QNH,131.0,138.0,132.0,132.0,135.0,136.0,136.0,133.0,132.0,133.0,133.0,133.0,133.0,133.0,135.0
geoId-QTI,154.0,77.0,77.0,77.0,77.0,80.0,80.0,90.0,90.0,77.0,77.0,78.0,79.0,81.0,81.0
geoId-STG,120.0,125.0,125.0,125.0,126.0,131.0,132.0,132.0,133.0,133.0,118.0,137.0,124.0,124.0,124.0
geoId-SLA,98.0,98.0,103.0,105.0,105.0,114.0,119.0,122.0,109.0,110.0,111.0,111.0,104.0,104.0,84.0
geoId-THA,401.0,405.0,405.0,408.0,455.0,433.0,433.0,433.0,396.0,396.0,398.0,391.0,381.0,388.0,388.0
geoId-TBH,233.0,233.0,233.0,233.0,233.0,233.0,241.0,233.0,221.0,221.0,218.0,218.0,218.0,218.0,219.0
geoId-TNN,135.0,137.0,135.0,137.0,137.0,138.0,139.0,139.0,139.0,140.0,140.0,140.0,140.0,139.0,140.0
geoId-TTH,150.0,151.0,153.0,153.0,154.0,157.0,158.0,159.0,158.0,158.0,149.0,149.0,149.0,149.0,150.0
geoId-TGG,171.0,171.0,171.0,171.0,171.0,173.0,174.0,176.0,176.0,176.0,173.0,173.0,173.0,181.0,181.0
geoId-HCM,238.0,249.0,255.0,247.0,243.0,243.0,240.0,240.0,240.0,239.0,238.0,238.0,237.0,236.0,235.0
geoId-NT,1236.0,1393.0,1404.0,1423.0,1407.0,1429.0,1442.0,1439.0,1416.0,1416.0,1413.0,1415.0,1390.0,1394.0,1374.0
geoId-TVH,112.0,112.0,111.0,115.0,115.0,120.0,121.0,121.0,118.0,116.0,116.0,116.0,116.0,116.0,115.0
geoId-TQG,63.0,77.0,78.0,79.0,82.0,91.0,92.0,94.0,94.0,96.0,97.0,99.0,99.0,99.0,99.0
geoId-TNN,345.0,352.0,356.0,370.0,368.0,362.0,369.0,378.0,374.0,380.0,385.0,398.0,400.0,406.0,412.0
geoId-TNH,95.0,103.0,86.0,105.0,109.0,107.0,104.0,109.0,102.0,104.0,107.0,107.0,108.0,108.0,107.0
geoId-VLG,101.0,101.0,103.0,108.0,110.0,110.0,112.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
geoId-VPC,103.0,64.0,59.0,59.0,77.0,68.0,76.0,76.0,81.0,84.0,126.0,126.0,126.0,126.0,126.0
geoId-YBI,104.0,105.0,105.0,107.0,107.0,103.0,103.0,103.0,103.0,97.0,98.0,99.0,99.0,97.0,96.0
geoId-DBN,30.0,27.0,30.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,34.0,34.0,34.0
geoId-DNG,84.0,85.0,85.0,85.0,66.0,69.0,69.0,70.0,70.0,70.0,69.0,73.0,73.0,74.0,74.0
geoId-ST,572.0,763.0,756.0,766.0,778.0,748.0,744.0,761.0,750.0,757.0,760.0,745.0,739.0,729.0,717.0
geoId-DLK,138.0,145.0,146.0,146.0,146.0,146.0,148.0,149.0,148.0,148.0,148.0,148.0,148.0,149.0,149.0
geoId-DNG1,38.0,38.0,43.0,46.0,47.0,41.0,41.0,41.0,34.0,35.0,35.0,46.0,46.0,46.0,46.0
geoId-MRD,1676.0,1767.0,1779.0,1782.0,1739.0,1726.0,1738.0,1751.0,1775.0,1775.0,1653.0,1677.0,1657.0,1650.0,1638.0
geoId-RRD,1717.0,1745.0,1781.0,1782.0,1798.0,1815.0,1822.0,1843.0,1845.0,1851.0,1893.0,1896.0,2036.0,2038.0,2041.0
geoId-DNI,37.0,192.0,193.0,199.0,200.0,167.0,168.0,169.0,162.0,164.0,165.0,148.0,148.0,148.0,139.0
geoId-DTP,186.0,228.0,228.0,229.0,228.0,229.0,230.0,230.0,257.0,264.0,174.0,181.0,182.0,182.0,180.0
