dia phuong,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,9.7,11.7,13.0,15.9,19.4,26.8,32.6,32.3,37.4,39.6,41.8,42.2,43.3,47.8,48.3,46.8
