"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-KTM,39.51,38.69,42.4,44.7,51.1,52.9,71.2,92.5,124.0,160.6,173.8,183.7,199.7,353.1,386.5,430.7,475.1,517.8,563.7,629.5,658.8,667.52,846.34
geoId-LCU,,,,5.0,6.6,16.6,19.2,21.4,24.7,21.8,20.4,26.5,28.9,28.6,32.7,34.5,37.7,38.9,51.1,66.3,63.7,65.93,74.63
geoId-LAN,399.29,416.5,498.9,531.6,481.1,416.0,368.4,445.0,483.2,661.1,733.2,783.0,767.5,793.5,803.9,882.9,931.4,973.7,1007.3,1041.5,1055.8,848.22,883.28
geoId-LCI,3.26,5.03,8.8,10.0,11.9,13.6,16.6,22.6,30.1,35.1,35.5,37.9,47.1,60.7,67.2,75.1,76.5,84.7,112.0,136.8,87.4,106.19,136.72
geoId-LDG,176.26,176.26,180.8,191.2,223.6,244.6,361.4,409.3,448.2,514.9,616.9,709.6,788.1,970.7,1040.8,883.6,1300.2,1613.6,1617.8,1908.3,2154.4,1583.78,2489.47
geoId-LSN,43.3,45.8,77.2,84.4,80.9,46.6,49.9,56.3,78.7,86.0,92.4,139.8,156.8,171.1,174.3,191.9,201.2,216.3,305.6,352.6,347.7,588.06,690.09
geoId-NDH,539.89,580.0,747.0,854.6,1030.1,1150.3,1327.0,1464.9,1926.5,2366.2,2633.3,3104.4,3572.6,4259.1,4468.9,5426.6,5941.6,6154.8,6633.1,7161.2,7589.8,7855.5,8970.92
geoId-NAN,515.99,545.2,703.9,750.6,947.7,987.7,1131.9,1211.5,1267.4,1343.3,1430.7,1685.0,1726.7,1961.0,1986.2,2360.5,2542.8,2817.9,3017.1,3374.2,3389.27,3718.53,4970.28
geoId-NTN,88.5,103.49,126.7,132.6,133.0,156.2,193.5,213.8,241.0,238.6,252.2,277.9,310.9,330.5,352.6,392.1,432.4,457.5,293.7,324.5,300.9,296.45,402.87
geoId-NBH,148.6,340.4,509.2,527.6,441.9,568.3,682.8,810.4,1627.1,2400.9,2654.5,3090.2,3769.2,4151.5,4240.2,4954.1,5930.5,6752.8,6892.1,7285.4,7482.9,7946.84,10267.32
geoId-PTO,95.03,106.4,190.2,251.6,298.7,389.7,566.8,861.1,1097.1,830.1,697.3,735.1,769.1,919.9,989.8,1114.9,1234.4,1239.4,1414.5,1529.8,1601.9,1659.28,1860.83
geoId-PYN,265.1,280.42,294.7,309.2,346.3,345.1,322.0,346.8,336.2,373.5,431.1,463.2,514.7,547.7,585.6,636.7,697.2,772.5,827.3,893.1,847.8,737.79,824.1
geoId-QNM,97.7,121.13,139.2,187.5,209.7,216.4,241.6,285.3,351.5,403.3,440.6,580.1,563.2,573.6,593.8,665.1,718.9,820.8,1012.0,1105.0,903.7,969.14,803.77
geoId-QNI,239.2,245.21,252.2,261.5,275.7,380.7,417.5,513.1,543.9,625.4,726.5,915.6,1064.7,1089.7,1105.9,1203.3,1265.0,1343.8,1605.0,1779.0,273.0,254.72,344.95
geoId-QBH,105.8,121.3,149.3,177.2,248.6,261.2,201.1,276.6,292.5,339.3,344.4,432.1,483.5,492.9,529.6,587.3,622.6,645.4,704.1,779.3,787.34,833.41,911.82
geoId-QNH,400.8,458.33,542.8,606.2,760.7,1080.2,1442.9,1621.9,1494.3,1563.0,1642.3,1779.3,1617.2,1775.5,1969.2,2011.2,2328.3,2617.7,3036.2,3417.9,3863.1,4333.4,4983.84
geoId-QTI,81.9,89.7,125.0,105.5,114.2,158.2,189.3,195.3,263.2,337.1,394.2,470.4,454.0,502.6,536.8,576.9,629.9,662.8,692.6,797.9,773.15,840.65,919.45
geoId-STG,113.8,114.82,127.9,133.5,142.6,150.0,158.3,119.3,161.9,120.6,133.7,165.4,203.8,219.1,229.2,264.4,286.3,303.9,320.4,374.8,375.5,400.48,496.81
geoId-SLA,68.5,84.0,115.9,139.0,193.6,198.6,214.6,244.6,261.0,284.1,309.1,323.8,340.2,366.3,409.9,446.5,470.9,592.6,576.0,629.5,692.9,649.9,742.1
geoId-THA,591.0,620.0,641.0,671.0,713.0,800.0,991.0,1127.1,1286.5,1500.3,1678.9,1988.9,2184.0,2367.9,2533.9,2605.1,2678.4,2745.1,2754.0,2778.0,2546.17,2531.89,2753.51
geoId-TNN,86.69,96.21,106.5,131.6,193.3,257.2,268.0,302.0,357.2,447.7,526.9,631.1,658.1,694.2,739.0,743.4,797.8,943.8,1004.2,1061.3,1093.6,1819.55,2034.86
geoId-TBH,130.1,232.4,414.9,790.1,1272.9,1731.6,1967.8,2219.8,2873.7,3531.8,3769.4,3845.6,4611.7,6398.4,6859.7,5745.6,5658.4,6568.4,9482.3,10450.8,11086.7,11574.51,14074.61
,130.5,145.64,190.7,186.2,243.6,190.3,216.3,262.6,288.6,331.3,344.4,402.8,450.5,488.9,514.5,582.4,646.0,704.9,781.1,853.7,821.83,864.31,1274.68
geoId-TGG,296.74,275.18,290.9,316.1,795.1,485.8,551.4,589.9,690.1,836.6,898.5,1038.7,1101.3,1161.2,1184.7,1296.8,1497.4,1607.3,1455.9,1510.1,1268.5,1120.68,1373.14
geoId-HCM,4239.3,3590.64,3086.1,8081.0,8235.8,9004.1,10277.0,10737.0,12002.4,13289.7,14244.4,17311.8,18594.8,18833.7,20035.6,23079.9,25828.1,27797.8,34048.2,38718.1,37915.2,39498.42,57218.21
