Địa phương,Năm,Dược sĩ cao cấp,Dược sĩ trung cấp,Dược tá
geoId-NTN,2013,11.0,137.0,41.0
geoId-NTN,2014,22.0,160.0,37.0
geoId-NTN,2015,25.0,160.0,32.0
geoId-NTN,2016,26.0,162.0,20.0
geoId-NTN,2017,27.0,165.0,19.0
geoId-PTO,2002,54.0,152.0,270.0
geoId-PTO,2003,45.0,150.0,286.0
geoId-PTO,2004,25.0,93.0,112.0
geoId-PTO,2005,37.0,90.0,126.0
geoId-PTO,2006,33.0,84.0,128.0
geoId-PTO,2007,19.0,95.0,140.0
geoId-PTO,2008,24.0,124.0,126.0
geoId-PTO,2009,29.0,153.0,102.0
geoId-PTO,2010,29.0,215.0,79.0
geoId-PTO,2011,41.0,280.0,46.0
geoId-PTO,2012,65.0,722.0,135.0
geoId-PTO,2013,37.0,406.0,35.0
geoId-PTO,2014,56.0,385.0,29.0
geoId-PTO,2015,52.0,362.0,19.0
geoId-PTO,2016,64.0,386.0,30.0
geoId-PTO,2017,59.0,423.0,19.0
geoId-PYN,2002,42.0,43.0,79.0
geoId-PYN,2003,42.0,61.0,89.0
geoId-PYN,2004,42.0,72.0,105.0
geoId-PYN,2005,43.0,66.0,121.0
geoId-PYN,2006,73.0,95.0,151.0
geoId-PYN,2007,20.0,32.0,40.0
geoId-PYN,2008,65.0,63.0,100.0
geoId-PYN,2009,20.0,68.0,89.0
geoId-PYN,2010,24.0,68.0,86.0
geoId-PYN,2011,27.0,122.0,87.0
geoId-PYN,2012,42.0,199.0,360.0
geoId-PYN,2013,34.0,142.0,76.0
geoId-PYN,2014,27.0,159.0,38.0
geoId-PYN,2015,26.0,157.0,34.0
geoId-PYN,2016,42.0,177.0,14.0
geoId-PYN,2017,39.0,175.0,38.0
geoId-QBH,2002,58.0,86.0,217.0
geoId-QBH,2003,39.0,125.0,223.0
geoId-QBH,2004,46.0,149.0,202.0
geoId-QBH,2005,50.0,162.0,183.0
geoId-QBH,2006,47.0,156.0,180.0
geoId-QBH,2007,35.0,103.0,51.0
geoId-QBH,2008,30.0,160.0,48.0
geoId-QBH,2009,32.0,205.0,31.0
geoId-QBH,2010,31.0,228.0,32.0
geoId-QBH,2011,29.0,242.0,38.0
geoId-QBH,2012,90.0,488.0,47.0
geoId-QBH,2013,30.0,280.0,6.0
geoId-QBH,2014,32.0,288.0,5.0
geoId-QBH,2015,43.0,301.0,4.0
geoId-QBH,2016,48.0,311.0,3.0
geoId-QBH,2017,43.0,267.0,5.0
geoId-QNM,2002,39.0,117.0,157.0
geoId-QNM,2003,43.0,175.0,138.0
geoId-QNM,2004,46.0,137.0,69.0
geoId-QNM,2005,26.0,139.0,91.0
geoId-QNM,2006,28.0,176.0,62.0
geoId-QNM,2007,43.0,177.0,99.0
geoId-QNM,2008,31.0,173.0,99.0
geoId-QNM,2009,35.0,228.0,55.0
geoId-QNM,2010,36.0,237.0,15.0
geoId-QNM,2011,52.0,259.0,33.0
geoId-QNM,2012,50.0,297.0,35.0
geoId-QNM,2013,65.0,348.0,34.0
geoId-QNM,2014,68.0,595.0,76.0
geoId-QNM,2015,92.0,531.0,73.0
geoId-QNM,2016,104.0,383.0,16.0
geoId-QNM,2017,103.0,383.0,16.0
geoId-QNI,2002,40.0,75.0,55.0
geoId-QNI,2003,43.0,82.0,40.0
geoId-QNI,2004,47.0,81.0,41.0
geoId-QNI,2005,45.0,80.0,37.0
geoId-QNI,2006,44.0,81.0,40.0
geoId-QNI,2007,44.0,94.0,39.0
geoId-QNI,2008,41.0,113.0,42.0
geoId-QNI,2009,38.0,117.0,20.0
geoId-QNI,2010,23.0,126.0,12.0
geoId-QNI,2011,41.0,152.0,8.0
geoId-QNI,2012,39.0,181.0,17.0
geoId-QNI,2013,58.0,202.0,5.0
geoId-QNI,2014,71.0,239.0,9.0
geoId-QNI,2015,68.0,189.0,7.0
geoId-QNI,2016,68.0,185.0,3.0
geoId-QNI,2017,80.0,201.0,7.0
geoId-QNH,2002,57.0,127.0,132.0
geoId-QNH,2003,56.0,133.0,127.0
geoId-QNH,2004,33.0,51.0,29.0
geoId-QNH,2005,31.0,60.0,27.0
geoId-QNH,2006,27.0,72.0,23.0
geoId-QNH,2007,31.0,80.0,26.0
geoId-QNH,2008,42.0,121.0,26.0
geoId-QNH,2009,48.0,76.0,21.0
geoId-QNH,2010,49.0,103.0,32.0
geoId-QNH,2011,53.0,106.0,35.0
geoId-QNH,2012,63.0,170.0,
geoId-QNH,2013,59.0,124.0,8.0
geoId-QNH,2014,59.0,121.0,8.0
geoId-QNH,2015,84.0,199.0,4.0
geoId-QNH,2016,84.0,199.0,4.0
geoId-QNH,2017,80.0,160.0,8.0
geoId-QTI,2002,21.0,90.0,93.0
geoId-QTI,2003,21.0,103.0,95.0
geoId-QTI,2004,25.0,94.0,98.0
geoId-QTI,2005,25.0,102.0,126.0
geoId-QTI,2006,19.0,68.0,19.0
geoId-QTI,2007,19.0,70.0,19.0
geoId-QTI,2008,27.0,96.0,19.0
geoId-QTI,2009,31.0,106.0,7.0
geoId-QTI,2010,35.0,112.0,16.0
geoId-QTI,2011,34.0,119.0,20.0
geoId-QTI,2012,48.0,209.0,22.0
geoId-QTI,2013,33.0,127.0,11.0
geoId-QTI,2014,40.0,137.0,11.0
geoId-QTI,2015,53.0,138.0,15.0
geoId-QTI,2016,52.0,131.0,2.0
geoId-QTI,2017,43.0,125.0,5.0
geoId-STG,2002,26.0,140.0,52.0
geoId-STG,2003,27.0,146.0,50.0
geoId-STG,2004,20.0,145.0,43.0
geoId-STG,2005,20.0,149.0,43.0
geoId-STG,2006,10.0,95.0,18.0
geoId-STG,2007,14.0,138.0,34.0
geoId-STG,2008,14.0,149.0,41.0
geoId-STG,2009,31.0,172.0,16.0
geoId-STG,2010,41.0,172.0,4.0
geoId-STG,2011,41.0,278.0,9.0
geoId-STG,2012,45.0,361.0,7.0
geoId-STG,2013,48.0,360.0,5.0
geoId-STG,2014,49.0,359.0,5.0
geoId-STG,2015,68.0,359.0,5.0
geoId-STG,2016,105.0,359.0,5.0
geoId-STG,2017,90.0,232.0,4.0
geoId-SLA,2002,56.0,166.0,36.0
geoId-SLA,2003,54.0,156.0,32.0
geoId-SLA,2004,56.0,149.0,28.0
geoId-SLA,2005,58.0,166.0,32.0
geoId-SLA,2006,52.0,201.0,34.0
geoId-SLA,2007,53.0,209.0,34.0
geoId-SLA,2008,54.0,216.0,43.0
geoId-SLA,2009,52.0,255.0,36.0
geoId-SLA,2010,53.0,267.0,40.0
geoId-SLA,2011,37.0,211.0,19.0
geoId-SLA,2012,102.0,770.0,196.0
geoId-SLA,2013,39.0,208.0,17.0
geoId-SLA,2014,43.0,210.0,13.0
geoId-SLA,2015,47.0,203.0,14.0
geoId-SLA,2016,51.0,211.0,7.0
geoId-SLA,2017,62.0,221.0,7.0
geoId-THA,2002,186.0,289.0,302.0
geoId-THA,2003,171.0,291.0,413.0
geoId-THA,2004,133.0,278.0,486.0
geoId-THA,2005,71.0,140.0,77.0
geoId-THA,2006,55.0,172.0,68.0
geoId-THA,2007,64.0,197.0,61.0
geoId-THA,2008,59.0,203.0,88.0
geoId-THA,2009,61.0,209.0,52.0
geoId-THA,2010,55.0,210.0,52.0
geoId-THA,2011,70.0,250.0,36.0
geoId-THA,2012,76.0,299.0,32.0
geoId-THA,2013,91.0,361.0,65.0
geoId-THA,2014,119.0,382.0,14.0
geoId-THA,2015,134.0,388.0,15.0
geoId-THA,2016,164.0,455.0,12.0
geoId-THA,2017,124.0,366.0,14.0
geoId-TBH,2002,98.0,251.0,458.0
geoId-TBH,2003,96.0,271.0,500.0
geoId-TBH,2004,107.0,271.0,466.0
geoId-TBH,2005,90.0,226.0,455.0
geoId-TBH,2006,118.0,228.0,452.0
geoId-TBH,2007,144.0,240.0,469.0
geoId-TBH,2008,167.0,283.0,494.0
geoId-TBH,2009,199.0,285.0,514.0
geoId-TBH,2010,220.0,588.0,535.0
geoId-TBH,2011,266.0,663.0,580.0
geoId-TBH,2012,175.0,1047.0,818.0
geoId-TBH,2013,60.0,401.0,17.0
geoId-TBH,2014,65.0,430.0,16.0
geoId-TBH,2015,44.0,373.0,12.0
geoId-TBH,2016,66.0,316.0,9.0
geoId-TBH,2017,65.0,419.0,9.0
geoId-TNN,2002,50.0,96.0,131.0
geoId-TNN,2003,40.0,117.0,113.0
geoId-TNN,2004,42.0,53.0,23.0
geoId-TNN,2005,29.0,56.0,23.0
geoId-TNN,2006,32.0,59.0,9.0
geoId-TNN,2007,45.0,145.0,103.0
geoId-TNN,2008,49.0,146.0,94.0
geoId-TNN,2009,63.0,221.0,74.0
geoId-TNN,2010,55.0,223.0,72.0
geoId-TNN,2011,66.0,190.0,79.0
geoId-TNN,2012,71.0,208.0,11.0
geoId-TNN,2013,82.0,216.0,9.0
geoId-TNN,2014,86.0,225.0,8.0
geoId-TNN,2015,78.0,189.0,12.0
geoId-TNN,2016,92.0,198.0,20.0
geoId-TNN,2017,147.0,194.0,9.0
geoId-TTH,2002,21.0,48.0,34.0
geoId-TTH,2003,26.0,58.0,31.0
geoId-TTH,2004,24.0,71.0,30.0
geoId-TTH,2005,22.0,72.0,36.0
geoId-TTH,2006,21.0,80.0,37.0
geoId-TTH,2007,26.0,80.0,31.0
geoId-TTH,2008,30.0,114.0,21.0
geoId-TTH,2009,30.0,114.0,23.0
geoId-TTH,2010,27.0,118.0,21.0
geoId-TTH,2011,65.0,124.0,36.0
geoId-TTH,2012,39.0,150.0,11.0
geoId-TTH,2013,52.0,177.0,8.0
geoId-TTH,2014,56.0,203.0,6.0
geoId-TTH,2015,72.0,189.0,8.0
geoId-TTH,2016,68.0,178.0,6.0
geoId-TTH,2017,82.0,178.0,4.0
geoId-TGG,2002,65.0,333.0,115.0
geoId-TGG,2003,59.0,375.0,121.0
geoId-TGG,2004,59.0,392.0,89.0
geoId-TGG,2005,59.0,399.0,91.0
geoId-TGG,2006,54.0,393.0,104.0
geoId-TGG,2007,57.0,478.0,87.0
geoId-TGG,2008,60.0,617.0,96.0
geoId-TGG,2009,81.0,680.0,94.0
geoId-TGG,2010,80.0,681.0,68.0
geoId-TGG,2011,85.0,705.0,66.0
geoId-TGG,2012,60.0,421.0,5.0
geoId-TGG,2013,71.0,442.0,7.0
geoId-TGG,2014,82.0,443.0,5.0
geoId-TGG,2015,106.0,421.0,4.0
geoId-TGG,2016,114.0,414.0,5.0
geoId-TGG,2017,108.0,413.0,3.0
geoId-HCM,2002,792.0,414.0,767.0
geoId-HCM,2003,230.0,278.0,199.0
geoId-HCM,2004,492.0,517.0,556.0
geoId-HCM,2005,521.0,488.0,612.0
geoId-HCM,2006,366.0,505.0,507.0
geoId-HCM,2007,378.0,561.0,483.0
geoId-HCM,2008,319.0,581.0,574.0
geoId-HCM,2009,288.0,903.0,648.0
geoId-HCM,2010,292.0,903.0,536.0
geoId-HCM,2011,297.0,1353.0,411.0
geoId-HCM,2012,406.0,1756.0,367.0
geoId-HCM,2013,360.0,1720.0,243.0
geoId-HCM,2014,430.0,1762.0,195.0
geoId-HCM,2015,404.0,1836.0,200.0
geoId-HCM,2016,473.0,1907.0,147.0
geoId-HCM,2017,320.0,1688.0,148.0
geoId-NT,2002,487.0,977.0,1304.0
geoId-NT,2003,478.0,1099.0,1284.0
geoId-NT,2004,441.0,1056.0,823.0
geoId-NT,2005,423.0,1062.0,856.0
geoId-NT,2006,363.0,1237.0,740.0
geoId-NT,2007,403.0,1469.0,847.0
geoId-NT,2008,395.0,1691.0,759.0
geoId-NT,2009,455.0,2054.0,715.0
geoId-NT,2010,488.0,2388.0,658.0
geoId-NT,2011,489.0,2714.0,575.0
geoId-NT,2012,,,
geoId-NT,2013,571.0,2960.0,283.0
geoId-NT,2014,696.0,3057.0,246.0
geoId-NT,2015,772.0,2935.0,204.0
geoId-NT,2016,897.0,2850.0,185.0
geoId-NT,2017,986.0,3165.0,162.0
geoId-TVH,2002,19.0,59.0,14.0
geoId-TVH,2003,19.0,112.0,14.0
geoId-TVH,2004,20.0,133.0,10.0
geoId-TVH,2005,21.0,133.0,9.0
geoId-TVH,2006,19.0,151.0,9.0
geoId-TVH,2007,23.0,160.0,10.0
geoId-TVH,2008,33.0,177.0,7.0
geoId-TVH,2009,30.0,218.0,4.0
geoId-TVH,2010,43.0,207.0,4.0
geoId-TVH,2011,42.0,303.0,3.0
geoId-TVH,2012,92.0,595.0,80.0
geoId-TVH,2013,45.0,305.0,1.0
geoId-TVH,2014,59.0,267.0,5.0
geoId-TVH,2015,82.0,300.0,18.0
geoId-TVH,2016,71.0,381.0,18.0
geoId-TVH,2017,107.0,296.0,
geoId-TQG,2002,26.0,46.0,20.0
geoId-TQG,2003,26.0,37.0,17.0
geoId-TQG,2004,24.0,43.0,15.0
geoId-TQG,2005,23.0,45.0,16.0
geoId-TQG,2006,24.0,46.0,10.0
geoId-TQG,2007,31.0,52.0,12.0
geoId-TQG,2008,28.0,49.0,9.0
geoId-TQG,2009,30.0,54.0,9.0
geoId-TQG,2010,34.0,54.0,5.0
geoId-TQG,2011,43.0,67.0,5.0
geoId-TQG,2012,39.0,71.0,7.0
geoId-TQG,2013,40.0,74.0,4.0
geoId-TQG,2014,47.0,73.0,5.0
geoId-TQG,2015,47.0,73.0,3.0
geoId-TQG,2016,51.0,73.0,5.0
geoId-TQG,2017,45.0,74.0,4.0
geoId-TNN,2002,86.0,262.0,320.0
geoId-TNN,2003,79.0,322.0,311.0
geoId-TNN,2004,89.0,263.0,229.0
geoId-TNN,2005,90.0,292.0,282.0
geoId-TNN,2006,80.0,464.0,296.0
geoId-TNN,2007,92.0,501.0,329.0
geoId-TNN,2008,107.0,571.0,314.0
geoId-TNN,2009,73.0,653.0,195.0
geoId-TNN,2010,105.0,856.0,176.0
geoId-TNN,2011,120.0,1007.0,146.0
geoId-TNN,2012,241.0,1520.0,418.0
geoId-TNN,2013,152.0,1251.0,114.0
geoId-TNN,2014,185.0,1228.0,113.0
geoId-TNN,2015,204.0,1314.0,184.0
geoId-TNN,2016,229.0,1247.0,72.0
geoId-TNN,2017,224.0,1208.0,87.0
geoId-TNH,2002,50.0,192.0,168.0
geoId-TNH,2003,52.0,190.0,160.0
geoId-TNH,2004,42.0,145.0,105.0
geoId-TNH,2005,42.0,147.0,104.0
geoId-TNH,2006,42.0,167.0,122.0
geoId-TNH,2007,40.0,193.0,78.0
geoId-TNH,2008,48.0,215.0,59.0
geoId-TNH,2009,53.0,204.0,23.0
geoId-TNH,2010,52.0,206.0,26.0
geoId-TNH,2011,57.0,285.0,50.0
geoId-TNH,2012,90.0,453.0,119.0
geoId-TNH,2013,50.0,191.0,21.0
geoId-TNH,2014,47.0,211.0,19.0
geoId-TNH,2015,57.0,201.0,15.0
geoId-TNH,2016,58.0,216.0,15.0
geoId-TNH,2017,91.0,264.0,16.0
geoId-VLG,2002,47.0,264.0,64.0
geoId-VLG,2003,59.0,258.0,75.0
geoId-VLG,2004,57.0,256.0,95.0
geoId-VLG,2005,50.0,271.0,90.0
geoId-VLG,2006,49.0,296.0,67.0
geoId-VLG,2007,17.0,186.0,32.0
geoId-VLG,2008,51.0,192.0,80.0
geoId-VLG,2009,25.0,207.0,5.0
geoId-VLG,2010,29.0,269.0,3.0
geoId-VLG,2011,38.0,296.0,3.0
geoId-VLG,2012,109.0,992.0,322.0
geoId-VLG,2013,39.0,307.0,3.0
geoId-VLG,2014,63.0,293.0,3.0
geoId-VLG,2015,82.0,297.0,3.0
geoId-VLG,2016,97.0,286.0,2.0
geoId-VLG,2017,98.0,302.0,2.0
geoId-VPC,2002,64.0,88.0,176.0
geoId-VPC,2003,64.0,82.0,170.0
geoId-VPC,2004,26.0,42.0,47.0
geoId-VPC,2005,29.0,48.0,44.0
geoId-VPC,2006,27.0,60.0,52.0
geoId-VPC,2007,31.0,60.0,56.0
geoId-VPC,2008,35.0,75.0,40.0
geoId-VPC,2009,37.0,105.0,39.0
geoId-VPC,2010,37.0,121.0,33.0
geoId-VPC,2011,52.0,156.0,35.0
geoId-VPC,2012,83.0,506.0,155.0
geoId-VPC,2013,41.0,149.0,29.0
geoId-VPC,2014,43.0,127.0,27.0
geoId-VPC,2015,77.0,141.0,26.0
geoId-VPC,2016,88.0,140.0,26.0
geoId-VPC,2017,85.0,140.0,26.0
geoId-YBI,2002,41.0,64.0,160.0
geoId-YBI,2003,41.0,73.0,160.0
geoId-YBI,2004,35.0,103.0,141.0
geoId-YBI,2005,28.0,141.0,125.0
geoId-YBI,2006,31.0,150.0,120.0
geoId-YBI,2007,28.0,178.0,114.0
geoId-YBI,2008,31.0,198.0,104.0
geoId-YBI,2009,34.0,233.0,87.0
geoId-YBI,2010,44.0,261.0,78.0
geoId-YBI,2011,45.0,325.0,64.0
geoId-YBI,2012,49.0,228.0,15.0
geoId-YBI,2013,43.0,229.0,14.0
geoId-YBI,2014,55.0,231.0,12.0
geoId-YBI,2015,71.0,228.0,10.0
geoId-YBI,2016,76.0,202.0,8.0
geoId-YBI,2017,91.0,227.0,8.0
geoId-DBN,2002,,,
geoId-DBN,2003,,,
geoId-DBN,2004,20.0,49.0,31.0
geoId-DBN,2005,4.0,49.0,24.0
geoId-DBN,2006,17.0,51.0,62.0
geoId-DBN,2007,17.0,56.0,64.0
geoId-DBN,2008,18.0,70.0,54.0
geoId-DBN,2009,20.0,80.0,60.0
geoId-DBN,2010,23.0,113.0,69.0
geoId-DBN,2011,23.0,169.0,60.0
geoId-DBN,2012,22.0,174.0,50.0
geoId-DBN,2013,21.0,206.0,44.0
geoId-DBN,2014,23.0,177.0,41.0
geoId-DBN,2015,33.0,218.0,29.0
geoId-DBN,2016,40.0,205.0,23.0
geoId-DBN,2017,49.0,219.0,23.0
geoId-DNG,2002,35.0,78.0,17.0
geoId-DNG,2003,56.0,104.0,47.0
geoId-DNG,2004,58.0,156.0,17.0
geoId-DNG,2005,24.0,126.0,11.0
geoId-DNG,2006,18.0,126.0,13.0
geoId-DNG,2007,17.0,125.0,13.0
geoId-DNG,2008,19.0,125.0,13.0
geoId-DNG,2009,19.0,125.0,13.0
geoId-DNG,2010,22.0,137.0,11.0
geoId-DNG,2011,34.0,145.0,10.0
geoId-DNG,2012,25.0,191.0,10.0
geoId-DNG,2013,21.0,191.0,10.0
geoId-DNG,2014,63.0,214.0,8.0
geoId-DNG,2015,83.0,238.0,8.0
geoId-DNG,2016,65.0,229.0,6.0
geoId-DNG,2017,60.0,219.0,6.0
geoId-ST,2002,1014.0,1155.0,1296.0
geoId-ST,2003,473.0,1043.0,791.0
geoId-ST,2004,688.0,1227.0,1010.0
geoId-ST,2005,720.0,1241.0,1151.0
geoId-ST,2006,568.0,1392.0,1089.0
geoId-ST,2007,582.0,1528.0,778.0
geoId-ST,2008,542.0,1744.0,810.0
geoId-ST,2009,522.0,2181.0,841.0
geoId-ST,2010,552.0,2226.0,716.0
geoId-ST,2011,563.0,2863.0,597.0
geoId-ST,2012,857.0,4194.0,806.0
geoId-ST,2013,643.0,3206.0,320.0
geoId-ST,2014,719.0,3231.0,261.0
geoId-ST,2015,747.0,3204.0,250.0
geoId-ST,2016,833.0,3441.0,193.0
geoId-ST,2017,785.0,3330.0,205.0
geoId-DLK,2002,13.0,60.0,46.0
geoId-DLK,2003,12.0,67.0,49.0
geoId-DLK,2004,10.0,53.0,42.0
geoId-DLK,2005,10.0,49.0,50.0
geoId-DLK,2006,4.0,75.0,55.0
geoId-DLK,2007,14.0,98.0,69.0
geoId-DLK,2008,18.0,132.0,82.0
geoId-DLK,2009,21.0,221.0,52.0
geoId-DLK,2010,27.0,278.0,48.0
geoId-DLK,2011,27.0,316.0,40.0
geoId-DLK,2012,39.0,389.0,39.0
geoId-DLK,2013,37.0,374.0,38.0
geoId-DLK,2014,48.0,388.0,35.0
geoId-DLK,2015,50.0,387.0,40.0
geoId-DLK,2016,64.0,382.0,28.0
geoId-DLK,2017,47.0,362.0,34.0
geoId-DNG1,2002,,,
geoId-DNG1,2003,,,
geoId-DNG1,2004,7.0,13.0,5.0
geoId-DNG1,2005,10.0,24.0,5.0
geoId-DNG1,2006,8.0,22.0,9.0
geoId-DNG1,2007,4.0,36.0,11.0
geoId-DNG1,2008,8.0,43.0,12.0
geoId-DNG1,2009,4.0,97.0,7.0
geoId-DNG1,2010,5.0,118.0,7.0
geoId-DNG1,2011,9.0,151.0,8.0
geoId-DNG1,2012,12.0,159.0,7.0
geoId-DNG1,2013,15.0,219.0,5.0
geoId-DNG1,2014,16.0,154.0,3.0
geoId-DNG1,2015,15.0,225.0,72.0
geoId-DNG1,2016,18.0,163.0,2.0
geoId-DNG1,2017,25.0,136.0,2.0
geoId-MRD,2002,567.0,2519.0,1007.0
geoId-MRD,2003,582.0,2724.0,1085.0
geoId-MRD,2004,562.0,2762.0,912.0
geoId-MRD,2005,701.0,3164.0,1123.0
geoId-MRD,2006,636.0,3623.0,1085.0
geoId-MRD,2007,638.0,4062.0,976.0
geoId-MRD,2008,745.0,4399.0,1091.0
geoId-MRD,2009,801.0,5113.0,1068.0
geoId-MRD,2010,946.0,5789.0,900.0
geoId-MRD,2011,867.0,6425.0,593.0
geoId-MRD,2012,1484.0,8426.0,1138.0
geoId-MRD,2013,847.0,5468.0,202.0
geoId-MRD,2014,1128.0,5702.0,241.0
geoId-MRD,2015,1251.0,5773.0,210.0
geoId-MRD,2016,1476.0,5347.0,142.0
geoId-MRD,2017,1560.0,5391.0,167.0
geoId-RRD,2002,1154.0,1730.0,2484.0
geoId-RRD,2003,1173.0,1801.0,2696.0
geoId-RRD,2004,1045.0,1439.0,2114.0
geoId-RRD,2005,915.0,1480.0,2200.0
geoId-RRD,2006,959.0,1629.0,2132.0
geoId-RRD,2007,1007.0,1767.0,2307.0
geoId-RRD,2008,1062.0,2063.0,2397.0
geoId-RRD,2009,1058.0,1971.0,2179.0
geoId-RRD,2010,1026.0,2616.0,1936.0
geoId-RRD,2011,1099.0,2950.0,1833.0
geoId-RRD,2012,1456.0,6481.0,3224.0
geoId-RRD,2013,761.0,2732.0,306.0
geoId-RRD,2014,992.0,3526.0,554.0
geoId-RRD,2015,1015.0,3588.0,523.0
geoId-RRD,2016,972.0,3608.0,423.0
geoId-RRD,2017,992.0,3586.0,177.0
geoId-DNI,2002,67.0,118.0,160.0
geoId-DNI,2003,75.0,124.0,165.0
geoId-DNI,2004,46.0,81.0,64.0
geoId-DNI,2005,52.0,117.0,54.0
geoId-DNI,2006,56.0,119.0,57.0
geoId-DNI,2007,58.0,169.0,61.0
geoId-DNI,2008,64.0,249.0,69.0
geoId-DNI,2009,68.0,394.0,65.0
geoId-DNI,2010,78.0,431.0,56.0
geoId-DNI,2011,76.0,499.0,40.0
geoId-DNI,2012,245.0,1296.0,247.0
geoId-DNI,2013,93.0,575.0,29.0
geoId-DNI,2014,100.0,571.0,30.0
geoId-DNI,2015,101.0,566.0,18.0
geoId-DNI,2016,104.0,610.0,19.0
geoId-DNI,2017,152.0,515.0,34.0
geoId-DTP,2002,83.0,319.0,150.0
geoId-DTP,2003,85.0,355.0,239.0
geoId-DTP,2004,103.0,420.0,234.0
geoId-DTP,2005,187.0,594.0,390.0
geoId-DTP,2006,173.0,761.0,463.0
geoId-DTP,2007,158.0,825.0,421.0
geoId-DTP,2008,183.0,838.0,492.0
geoId-DTP,2009,203.0,967.0,498.0
geoId-DTP,2010,233.0,1122.0,410.0
geoId-DTP,2011,53.0,537.0,29.0
geoId-DTP,2012,64.0,545.0,25.0
geoId-DTP,2013,77.0,577.0,21.0
geoId-DTP,2014,99.0,588.0,19.0
geoId-DTP,2015,138.0,566.0,18.0
geoId-DTP,2016,179.0,554.0,13.0
geoId-DTP,2017,132.0,566.0,19.0
