dia phuong,Năm,Tổng số,Thành thị,Nông thôn
geoId-VNM,2000,96.7,95.0,97.3
geoId-VNM,2001,96.7,94.8,97.3
geoId-VNM,2002,96.8,95.4,97.1
geoId-VNM,2003,96.6,96.2,96.9
geoId-VNM,2004,96.7,96.1,97.0
geoId-VNM,2005,96.8,96.1,97.2
geoId-VNM,2006,96.9,96.4,97.4
geoId-VNM,2007,96.9,96.2,97.2
geoId-VNM,2008,97.2,96.3,98.2
geoId-VNM,2009,97.8,94.4,99.1
geoId-VNM,2010,97.9,94.7,99.1
geoId-VNM,2011,98.0,94.9,99.3
geoId-VNM,2012,98.1,94.8,99.4
geoId-VNM,2013,98.2,95.1,99.2
geoId-VNM,2014,98.3,94.3,98.8
geoId-VNM,2015,98.4,94.5,98.9
geoId-VNM,2016,98.6,94.4,99.0
geoId-VNM,2017,98.8,94.5,99.1
geoId-VNM,2018,98.9,94.7,99.5
geoId-VNM,2019,99.1,96.5,100.4
geoId-VNM,2020,99.24,97.52,100.24
geoId-VNM,2021,99.37,97.7,100.37
geoId-VNM,Sơ bộ 2022,99.49,98.35,100.18
