Địa phương,Năm,Số người nhiễm HIV - Phát hiện mới,Số bệnh nhân AIDS - Phát hiện mới,Số người nhiễm HIV còn sống - Lũy kế tính đến 31/12,Số bệnh nhân AIDS còn sống - Lũy kế tính đến 31/12,Số người chết do AIDS
geoId-BNH,2014,73.0,21.0,1856.0,205.0,26.0
geoId-BNH,2015,81.0,13.0,1949.0,296.0,14.0
geoId-BNH,2016,49.0,17.0,1974.0,294.0,19.0
geoId-BNH,2017,89.0,14.0,1436.0,227.0,16.0
geoId-BNH,2018,40.0,,1473.0,,5.0
geoId-BNH,2019,13.0,,1458.0,,16.0
geoId-BNH,2020,45.0,,973.0,,18.0
geoId-BNH,2021,24.0,,990.0,,30.0
geoId-SCC,2011,1760.0,870.0,17711.0,4558.0,252.0
geoId-SCC,2012,1565.0,848.0,18195.0,5721.0,214.0
geoId-SCC,2013,1405.0,804.0,19827.0,6522.0,183.0
geoId-SCC,2014,1112.0,881.0,20748.0,7212.0,191.0
geoId-SCC,2015,1241.0,907.0,16325.0,8109.0,244.0
geoId-SCC,2016,1653.0,1194.0,17753.0,8844.0,310.0
geoId-SCC,2017,1369.0,798.0,18126.0,9335.0,223.0
geoId-SCC,2018,1216.0,,19123.0,,299.0
geoId-SCC,2019,1089.0,,19450.0,,334.0
geoId-SCC,2020,1121.0,,20535.0,,216.0
geoId-SCC,2021,1201.0,,20960.0,,258.0
geoId-BTE,2011,162.0,82.0,1461.0,368.0,38.0
geoId-BTE,2012,155.0,86.0,1516.0,401.0,37.0
geoId-BTE,2013,133.0,71.0,1584.0,422.0,43.0
geoId-BTE,2014,150.0,97.0,1703.0,488.0,31.0
geoId-BTE,2015,143.0,83.0,1377.0,564.0,33.0
geoId-BTE,2016,129.0,48.0,1483.0,579.0,31.0
geoId-BTE,2017,165.0,45.0,1632.0,593.0,39.0
geoId-BTE,2018,184.0,,1806.0,,32.0
geoId-BTE,2019,186.0,,1917.0,,39.0
geoId-BTE,2020,255.0,,2203.0,,45.0
geoId-BTE,2021,274.0,,2389.0,,55.0
geoId-CBG,2011,79.0,44.0,2015.0,590.0,15.0
geoId-CBG,2012,63.0,38.0,2076.0,658.0,15.0
geoId-CBG,2013,44.0,31.0,2106.0,502.0,26.0
geoId-CBG,2014,40.0,32.0,2121.0,509.0,25.0
geoId-CBG,2015,57.0,38.0,1294.0,624.0,13.0
geoId-CBG,2016,50.0,11.0,1337.0,626.0,10.0
geoId-CBG,2017,45.0,5.0,1376.0,623.0,9.0
geoId-CBG,2018,60.0,,1428.0,,8.0
geoId-CBG,2019,49.0,,1464.0,,13.0
geoId-CBG,2020,53.0,,1292.0,,28.0
geoId-CBG,2021,33.0,,1277.0,,15.0
geoId-CMU,2011,163.0,70.0,1664.0,346.0,10.0
geoId-CMU,2012,204.0,82.0,1919.0,408.0,6.0
geoId-CMU,2013,285.0,91.0,2226.0,409.0,9.0
geoId-CMU,2014,261.0,109.0,2462.0,493.0,25.0
geoId-CMU,2015,171.0,57.0,2326.0,627.0,26.0
geoId-CMU,2016,140.0,37.0,2428.0,649.0,8.0
geoId-CMU,2017,124.0,8.0,2554.0,656.0,1.0
geoId-CMU,2018,252.0,,2792.0,,19.0
geoId-CMU,2019,298.0,,2896.0,,29.0
geoId-CMU,2020,321.0,,3134.0,,66.0
geoId-CMU,2021,428.0,,3176.0,,67.0
geoId-VNM,2011,14113.0,6429.0,197072.0,48717.0,2413.0
geoId-VNM,2012,14127.0,6734.0,210703.0,61669.0,2149.0
geoId-VNM,2013,12559.0,6074.0,217285.0,67013.0,2296.0
geoId-VNM,2014,11680.0,6183.0,226964.0,71433.0,2146.0
geoId-VNM,2015,10195.0,6130.0,227154.0,85194.0,2130.0
geoId-VNM,2016,9912.0,5876.0,215621.0,88668.0,2131.0
geoId-VNM,2017,9920.0,5216.0,209169.0,88040.0,1828.0
geoId-VNM,2018,10440.0,,210209.0,,1999.0
geoId-VNM,2019,10183.0,,211709.0,,1934.0
geoId-VNM,2020,13995.0,,213420.0,,2160.0
geoId-VNM,2021,13225.0,,213833.0,,1856.0
geoId-CTO,2011,253.0,56.0,3645.0,658.0,4.0
geoId-CTO,2012,422.0,83.0,4483.0,888.0,28.0
geoId-CTO,2013,339.0,91.0,4828.0,968.0,14.0
geoId-CTO,2014,336.0,320.0,5082.0,1206.0,82.0
geoId-CTO,2015,217.0,189.0,3471.0,2369.0,47.0
geoId-CTO,2016,227.0,187.0,3457.0,2507.0,38.0
geoId-CTO,2017,214.0,78.0,3463.0,2553.0,61.0
geoId-CTO,2018,293.0,,3715.0,,35.0
geoId-CTO,2019,356.0,,3919.0,,33.0
geoId-CTO,2020,479.0,,4465.0,,40.0
geoId-CTO,2021,664.0,,4467.0,,30.0
geoId-GLI,2011,51.0,32.0,386.0,105.0,18.0
geoId-GLI,2012,71.0,22.0,678.0,127.0,14.0
geoId-GLI,2013,92.0,40.0,778.0,125.0,8.0
geoId-GLI,2014,54.0,28.0,820.0,141.0,12.0
geoId-GLI,2015,36.0,17.0,682.0,145.0,14.0
geoId-GLI,2016,54.0,16.0,753.0,143.0,20.0
geoId-GLI,2017,17.0,14.0,755.0,142.0,15.0
geoId-GLI,2018,58.0,,830.0,,7.0
geoId-GLI,2019,64.0,,877.0,,19.0
geoId-GLI,2020,39.0,,905.0,,13.0
geoId-GLI,2021,13.0,,882.0,,
geoId-HBH,2011,109.0,138.0,1209.0,544.0,54.0
geoId-HBH,2012,86.0,87.0,1271.0,640.0,25.0
geoId-HBH,2013,66.0,31.0,1312.0,557.0,28.0
geoId-HBH,2014,68.0,34.0,1341.0,552.0,39.0
geoId-HBH,2015,109.0,71.0,955.0,576.0,65.0
geoId-HBH,2016,49.0,47.0,936.0,572.0,55.0
geoId-HBH,2017,48.0,33.0,946.0,564.0,40.0
geoId-HBH,2018,61.0,,980.0,,33.0
geoId-HBH,2019,75.0,,1161.0,,36.0
geoId-HBH,2020,63.0,,1262.0,,26.0
geoId-HBH,2021,42.0,,1297.0,,26.0
geoId-HGG,2011,78.0,55.0,1218.0,382.0,24.0
geoId-HGG,2012,24.0,18.0,1243.0,437.0,7.0
geoId-HGG,2013,55.0,36.0,1163.0,495.0,7.0
geoId-HGG,2014,45.0,15.0,1194.0,496.0,14.0
geoId-HGG,2015,36.0,35.0,1132.0,482.0,27.0
geoId-HGG,2016,28.0,25.0,1146.0,604.0,15.0
geoId-HGG,2017,22.0,25.0,1160.0,629.0,7.0
geoId-HGG,2018,19.0,,1168.0,,9.0
geoId-HGG,2019,37.0,,1193.0,,4.0
geoId-HGG,2020,24.0,,1217.0,,10.0
geoId-HGG,2021,24.0,,986.0,,
geoId-HNM,2011,53.0,59.0,1148.0,246.0,55.0
geoId-HNM,2012,74.0,68.0,1188.0,306.0,21.0
geoId-HNM,2013,56.0,55.0,887.0,356.0,26.0
geoId-HNM,2014,62.0,25.0,933.0,365.0,16.0
geoId-HNM,2015,40.0,25.0,1129.0,616.0,11.0
geoId-HNM,2016,35.0,28.0,1024.0,574.0,9.0
geoId-HNM,2017,29.0,23.0,1007.0,595.0,10.0
geoId-HNM,2018,29.0,,1026.0,,9.0
geoId-HNM,2019,39.0,,1049.0,,14.0
geoId-HNM,2020,40.0,,753.0,,16.0
geoId-HNM,2021,38.0,,781.0,,10.0
geoId-HNI,2011,915.0,352.0,18108.0,3490.0,122.0
geoId-HNI,2012,751.0,212.0,19987.0,5199.0,67.0
geoId-HNI,2013,758.0,17.0,20757.0,5078.0,8.0
geoId-HNI,2014,676.0,278.0,21316.0,5239.0,117.0
geoId-HNI,2015,842.0,686.0,18441.0,8684.0,61.0
geoId-HNI,2016,634.0,506.0,19100.0,9174.0,55.0
geoId-HNI,2017,638.0,457.0,20724.0,11625.0,46.0
geoId-HNI,2018,676.0,,20436.0,,65.0
geoId-HNI,2019,961.0,,20993.0,,88.0
geoId-HNI,2020,1727.0,,19340.0,,77.0
geoId-HNI,2021,1078.0,,19593.0,,120.0
geoId-HTH,2011,50.0,12.0,674.0,88.0,4.0
geoId-HTH,2012,72.0,11.0,749.0,86.0,
geoId-HTH,2013,45.0,15.0,792.0,100.0,2.0
geoId-HTH,2014,59.0,25.0,847.0,121.0,4.0
geoId-HTH,2015,68.0,45.0,634.0,242.0,5.0
geoId-HTH,2016,36.0,32.0,644.0,272.0,15.0
geoId-HTH,2017,51.0,43.0,647.0,360.0,10.0
geoId-HTH,2018,41.0,,699.0,,9.0
geoId-HTH,2019,40.0,,725.0,,5.0
geoId-HTH,2020,47.0,,781.0,,11.0
geoId-HTH,2021,33.0,,807.0,,4.0
geoId-HYN,2011,122.0,69.0,1196.0,112.0,37.0
geoId-HYN,2012,91.0,40.0,1248.0,83.0,18.0
geoId-HYN,2013,74.0,49.0,1013.0,358.0,25.0
geoId-HYN,2014,91.0,54.0,1082.0,390.0,22.0
geoId-HYN,2015,44.0,62.0,756.0,431.0,11.0
geoId-HYN,2016,48.0,46.0,784.0,487.0,20.0
geoId-HYN,2017,50.0,42.0,813.0,539.0,24.0
geoId-HYN,2018,66.0,,871.0,,18.0
geoId-HYN,2019,39.0,,905.0,,16.0
geoId-HYN,2020,46.0,,932.0,,21.0
geoId-HYN,2021,33.0,,959.0,,11.0
geoId-HDG,2011,231.0,48.0,3846.0,423.0,3.0
geoId-HDG,2012,261.0,67.0,3941.0,983.0,23.0
geoId-HDG,2013,93.0,81.0,3129.0,1122.0,43.0
geoId-HDG,2014,138.0,97.0,3248.0,1200.0,19.0
geoId-HDG,2015,100.0,107.0,3368.0,1299.0,22.0
geoId-HDG,2016,81.0,77.0,3071.0,1329.0,19.0
geoId-HDG,2017,69.0,64.0,3131.0,1391.0,3.0
geoId-HDG,2018,61.0,,3017.0,,14.0
geoId-HDG,2019,51.0,,3056.0,,2.0
geoId-HDG,2020,86.0,,3119.0,,5.0
geoId-HDG,2021,110.0,,3209.0,,16.0
geoId-HPG,2011,249.0,221.0,6930.0,2388.0,79.0
geoId-HPG,2012,206.0,66.0,7027.0,2601.0,33.0
geoId-HPG,2013,101.0,32.0,7098.0,2603.0,30.0
geoId-HPG,2014,201.0,26.0,7282.0,2612.0,17.0
geoId-HPG,2015,118.0,8.0,7478.0,2646.0,12.0
geoId-HPG,2016,226.0,78.0,7887.0,2776.0,55.0
geoId-HPG,2017,206.0,31.0,7331.0,2796.0,28.0
geoId-HPG,2018,234.0,,7923.0,,31.0
geoId-HPG,2019,194.0,,6560.0,,23.0
geoId-HPG,2020,312.0,,6096.0,,21.0
geoId-HPG,2021,217.0,,6663.0,,33.0
geoId-HGG,2011,120.0,44.0,957.0,201.0,25.0
geoId-HGG,2012,73.0,38.0,1053.0,153.0,27.0
geoId-HGG,2013,73.0,36.0,1092.0,167.0,17.0
geoId-HGG,2014,61.0,77.0,1119.0,210.0,34.0
geoId-HGG,2015,80.0,51.0,791.0,361.0,27.0
geoId-HGG,2016,67.0,19.0,858.0,377.0,7.0
geoId-HGG,2017,70.0,48.0,925.0,413.0,19.0
geoId-HGG,2018,78.0,,993.0,,21.0
geoId-HGG,2019,69.0,,1123.0,,17.0
geoId-HGG,2020,59.0,,1216.0,,14.0
geoId-HGG,2021,44.0,,1252.0,,15.0
geoId-KHA,2011,192.0,119.0,1678.0,466.0,59.0
geoId-KHA,2012,127.0,117.0,1800.0,578.0,40.0
geoId-KHA,2013,157.0,146.0,2253.0,823.0,53.0
geoId-KHA,2014,93.0,119.0,2294.0,890.0,52.0
geoId-KHA,2015,93.0,118.0,1676.0,816.0,28.0
geoId-KHA,2016,101.0,54.0,1761.0,854.0,18.0
geoId-KHA,2017,119.0,60.0,1853.0,888.0,27.0
geoId-KHA,2018,139.0,,1966.0,,33.0
geoId-KHA,2019,141.0,,2040.0,,33.0
geoId-KHA,2020,196.0,,2209.0,,40.0
geoId-KHA,2021,229.0,,1933.0,,35.0
,2011,,,,,
,2012,,20.0,,516.0,124.0
,2013,,,,,
,2014,,,,,
,2015,,,24717.0,,
,2016,,,8772.0,,
,2017,,,,,
,2018,,,,,
,2019,,,,,
,2020,40.0,,,,
,2021,0.0,,274.0,,
geoId-KGG,2011,415.0,79.0,3714.0,764.0,21.0
geoId-KGG,2012,319.0,62.0,3975.0,835.0,16.0
geoId-KGG,2013,297.0,128.0,3214.0,1112.0,55.0
geoId-KGG,2014,277.0,203.0,3435.0,1259.0,56.0
geoId-KGG,2015,221.0,150.0,3491.0,1561.0,55.0
geoId-KGG,2016,192.0,105.0,3652.0,1645.0,39.0
geoId-KGG,2017,227.0,163.0,3750.0,1764.0,58.0
geoId-KGG,2018,270.0,,3623.0,,56.0
geoId-KGG,2019,322.0,,3705.0,,53.0
geoId-KGG,2020,404.0,,4042.0,,72.0
geoId-KGG,2021,432.0,,3536.0,,53.0
geoId-KTM,2011,28.0,10.0,178.0,19.0,8.0
geoId-KTM,2012,32.0,31.0,226.0,49.0,3.0
geoId-KTM,2013,20.0,33.0,222.0,58.0,24.0
geoId-KTM,2014,29.0,6.0,249.0,62.0,2.0
geoId-KTM,2015,32.0,23.0,263.0,82.0,7.0
geoId-KTM,2016,30.0,25.0,277.0,90.0,17.0
geoId-KTM,2017,19.0,26.0,288.0,101.0,14.0
geoId-KTM,2018,25.0,,310.0,,8.0
geoId-KTM,2019,22.0,,306.0,,9.0
geoId-KTM,2020,20.0,,317.0,,4.0
geoId-KTM,2021,35.0,,343.0,,6.0
geoId-LCU,2011,237.0,176.0,1032.0,213.0,75.0
geoId-LCU,2012,272.0,101.0,1776.0,308.0,49.0
geoId-LCU,2013,332.0,91.0,1837.0,292.0,88.0
geoId-LCU,2014,372.0,192.0,2128.0,403.0,81.0
geoId-LCU,2015,304.0,222.0,1925.0,710.0,134.0
geoId-LCU,2016,227.0,120.0,2030.0,764.0,101.0
geoId-LCU,2017,177.0,76.0,1957.0,762.0,77.0
geoId-LCU,2018,158.0,,1820.0,,61.0
geoId-LCU,2019,114.0,,1871.0,,49.0
geoId-LCU,2020,84.0,,1898.0,,42.0
geoId-LCU,2021,88.0,,1470.0,,68.0
geoId-LAN,2011,168.0,60.0,1896.0,694.0,3.0
geoId-LAN,2012,231.0,79.0,2229.0,824.0,28.0
geoId-LAN,2013,211.0,48.0,1999.0,775.0,27.0
geoId-LAN,2014,187.0,39.0,2170.0,798.0,16.0
geoId-LAN,2015,66.0,3.0,1986.0,709.0,10.0
geoId-LAN,2016,192.0,100.0,2282.0,852.0,15.0
geoId-LAN,2017,133.0,69.0,2799.0,1717.0,13.0
geoId-LAN,2018,268.0,,3087.0,,11.0
geoId-LAN,2019,284.0,,3225.0,,36.0
geoId-LAN,2020,586.0,,3237.0,,20.0
geoId-LAN,2021,487.0,,3624.0,,33.0
geoId-LCI,2011,188.0,122.0,1427.0,277.0,65.0
geoId-LCI,2012,281.0,129.0,1713.0,427.0,49.0
geoId-LCI,2013,247.0,114.0,1927.0,492.0,56.0
geoId-LCI,2014,227.0,185.0,2103.0,626.0,51.0
geoId-LCI,2015,188.0,242.0,1724.0,821.0,44.0
geoId-LCI,2016,115.0,125.0,1650.0,876.0,71.0
geoId-LCI,2017,78.0,93.0,1520.0,890.0,49.0
geoId-LCI,2018,75.0,,1530.0,,55.0
geoId-LCI,2019,90.0,,1584.0,,24.0
geoId-LCI,2020,74.0,,1644.0,,40.0
geoId-LCI,2021,51.0,,1668.0,,36.0
geoId-LDG,2011,122.0,12.0,907.0,91.0,3.0
geoId-LDG,2012,116.0,6.0,1143.0,92.0,8.0
geoId-LDG,2013,127.0,9.0,1289.0,93.0,8.0
geoId-LDG,2014,118.0,2.0,1404.0,92.0,3.0
geoId-LDG,2015,60.0,16.0,604.0,23.0,15.0
geoId-LDG,2016,27.0,13.0,724.0,28.0,13.0
geoId-LDG,2017,33.0,9.0,804.0,30.0,7.0
geoId-LDG,2018,54.0,,905.0,,17.0
geoId-LDG,2019,49.0,,1005.0,,12.0
geoId-LDG,2020,53.0,,1052.0,,8.0
geoId-LDG,2021,27.0,,1075.0,,0.0
geoId-LSN,2011,93.0,44.0,1263.0,360.0,35.0
geoId-LSN,2012,69.0,20.0,1619.0,437.0,21.0
geoId-LSN,2013,48.0,23.0,1639.0,406.0,24.0
geoId-LSN,2014,50.0,17.0,1660.0,394.0,29.0
geoId-LSN,2015,69.0,41.0,881.0,711.0,21.0
geoId-LSN,2016,34.0,33.0,861.0,693.0,36.0
geoId-LSN,2017,28.0,18.0,873.0,693.0,15.0
geoId-LSN,2018,26.0,,886.0,,18.0
geoId-LSN,2019,30.0,,908.0,,11.0
geoId-LSN,2020,33.0,,934.0,,15.0
geoId-LSN,2021,18.0,,944.0,,11.0
geoId-NDH,2011,163.0,112.0,3259.0,708.0,40.0
geoId-NDH,2012,216.0,142.0,3577.0,1067.0,37.0
geoId-NDH,2013,206.0,128.0,3794.0,1184.0,23.0
geoId-NDH,2014,160.0,100.0,3936.0,1266.0,18.0
geoId-NDH,2015,165.0,126.0,3979.0,1565.0,12.0
geoId-NDH,2016,121.0,114.0,4082.0,1698.0,20.0
geoId-NDH,2017,99.0,99.0,4181.0,1869.0,3.0
geoId-NDH,2018,71.0,,4177.0,,5.0
geoId-NDH,2019,46.0,,4184.0,,2.0
geoId-NDH,2020,63.0,,4210.0,,6.0
geoId-NDH,2021,64.0,,4265.0,,11.0
geoId-NAN,2011,485.0,176.0,5307.0,1145.0,42.0
geoId-NAN,2012,556.0,165.0,5545.0,1508.0,51.0
geoId-NAN,2013,527.0,118.0,6182.0,1653.0,4.0
geoId-NAN,2014,382.0,197.0,6521.0,1807.0,43.0
geoId-NAN,2015,506.0,291.0,4840.0,2081.0,106.0
geoId-NAN,2016,787.0,544.0,5847.0,2355.0,123.0
geoId-NAN,2017,471.0,157.0,5429.0,2227.0,116.0
geoId-NAN,2018,377.0,,5706.0,,103.0
geoId-NAN,2019,215.0,,5706.0,,94.0
geoId-NAN,2020,177.0,,5858.0,,52.0
geoId-NAN,2021,178.0,,6017.0,,79.0
geoId-NBH,2011,240.0,24.0,2665.0,221.0,1.0
geoId-NBH,2012,146.0,52.0,2323.0,772.0,4.0
geoId-NBH,2013,238.0,87.0,2554.0,842.0,20.0
geoId-NBH,2014,184.0,114.0,2687.0,905.0,51.0
geoId-NBH,2015,67.0,48.0,2426.0,924.0,17.0
geoId-NBH,2016,67.0,74.0,2484.0,987.0,20.0
geoId-NBH,2017,57.0,57.0,2507.0,1057.0,11.0
geoId-NBH,2018,17.0,,2536.0,,13.0
geoId-NBH,2019,22.0,,2570.0,,5.0
geoId-NBH,2020,56.0,,1735.0,,190.0
geoId-NBH,2021,21.0,,1733.0,,22.0
geoId-NTN,2011,43.0,16.0,305.0,41.0,7.0
geoId-NTN,2012,16.0,11.0,305.0,60.0,5.0
geoId-NTN,2013,16.0,13.0,318.0,69.0,5.0
geoId-NTN,2014,24.0,16.0,338.0,81.0,4.0
geoId-NTN,2015,17.0,24.0,249.0,109.0,6.0
geoId-NTN,2016,19.0,23.0,264.0,130.0,7.0
geoId-NTN,2017,11.0,14.0,276.0,142.0,7.0
geoId-NTN,2018,26.0,,300.0,,6.0
geoId-NTN,2019,33.0,,323.0,,13.0
geoId-NTN,2020,25.0,,348.0,,8.0
geoId-NTN,2021,21.0,,364.0,,11.0
geoId-PTO,2011,326.0,61.0,2560.0,242.0,61.0
geoId-PTO,2012,213.0,20.0,2501.0,368.0,12.0
geoId-PTO,2013,316.0,48.0,2783.0,377.0,38.0
geoId-PTO,2014,320.0,29.0,3081.0,384.0,22.0
geoId-PTO,2015,240.0,41.0,2635.0,530.0,37.0
geoId-PTO,2016,182.0,38.0,2736.0,583.0,37.0
geoId-PTO,2017,205.0,23.0,2791.0,568.0,25.0
geoId-PTO,2018,278.0,,3092.0,,27.0
geoId-PTO,2019,145.0,,3168.0,,22.0
geoId-PTO,2020,110.0,,3214.0,,23.0
geoId-PTO,2021,85.0,,3285.0,,33.0
geoId-PYN,2011,20.0,5.0,236.0,117.0,3.0
geoId-PYN,2012,13.0,9.0,169.0,51.0,
geoId-PYN,2013,18.0,5.0,186.0,55.0,1.0
geoId-PYN,2014,14.0,3.0,200.0,58.0,0.0
geoId-PYN,2015,20.0,1.0,200.0,58.0,
geoId-PYN,2016,12.0,1.0,227.0,64.0,1.0
geoId-PYN,2017,19.0,0.0,245.0,64.0,0.0
geoId-PYN,2018,12.0,,265.0,,2.0
geoId-PYN,2019,17.0,,307.0,,
geoId-PYN,2020,4.0,,333.0,,
geoId-PYN,2021,13.0,,344.0,,6.0
geoId-QBH,2011,32.0,4.0,234.0,29.0,1.0
geoId-QBH,2012,54.0,27.0,272.0,55.0,8.0
geoId-QBH,2013,20.0,17.0,289.0,69.0,3.0
geoId-QBH,2014,22.0,19.0,306.0,83.0,5.0
geoId-QBH,2015,20.0,22.0,180.0,106.0,7.0
geoId-QBH,2016,27.0,33.0,189.0,133.0,15.0
geoId-QBH,2017,23.0,23.0,206.0,153.0,4.0
geoId-QBH,2018,35.0,,247.0,,5.0
geoId-QBH,2019,30.0,,266.0,,2.0
geoId-QBH,2020,30.0,,297.0,,7.0
geoId-QBH,2021,29.0,,319.0,,6.0
geoId-QNM,2011,102.0,18.0,675.0,89.0,3.0
geoId-QNM,2012,65.0,20.0,625.0,97.0,11.0
geoId-QNM,2013,48.0,2.0,661.0,87.0,12.0
geoId-QNM,2014,45.0,19.0,693.0,93.0,13.0
geoId-QNM,2015,45.0,10.0,472.0,84.0,13.0
