Địa phương,Năm,Số người nhiễm HIV - Phát hiện mới,Số bệnh nhân AIDS - Phát hiện mới,Số người nhiễm HIV còn sống - Lũy kế tính đến 31/12,Số bệnh nhân AIDS còn sống - Lũy kế tính đến 31/12,Số người chết do AIDS
geoId-QNM,2016,39.0,10.0,489.0,85.0,12.0
geoId-QNM,2017,44.0,10.0,525.0,87.0,8.0
geoId-QNM,2018,54.0,,562.0,,2.0
geoId-QNM,2019,49.0,,596.0,,
geoId-QNM,2020,20.0,,632.0,,
geoId-QNM,2021,33.0,,657.0,,
geoId-QNI,2011,45.0,13.0,650.0,88.0,5.0
geoId-QNI,2012,48.0,9.0,596.0,105.0,
geoId-QNI,2013,53.0,38.0,644.0,139.0,10.0
geoId-QNI,2014,47.0,39.0,679.0,166.0,12.0
geoId-QNI,2015,53.0,46.0,424.0,223.0,13.0
geoId-QNI,2016,57.0,46.0,475.0,263.0,7.0
geoId-QNI,2017,43.0,46.0,510.0,298.0,10.0
geoId-QNI,2018,57.0,,515.0,,60.0
geoId-QNI,2019,71.0,,550.0,,20.0
geoId-QNI,2020,87.0,,645.0,,13.0
geoId-QNI,2021,68.0,,687.0,,9.0
geoId-QNH,2011,158.0,151.0,3660.0,719.0,99.0
geoId-QNH,2012,92.0,109.0,3687.0,883.0,73.0
geoId-QNH,2013,146.0,174.0,5023.0,1832.0,69.0
geoId-QNH,2014,226.0,325.0,5230.0,2376.0,164.0
geoId-QNH,2015,251.0,260.0,5494.0,2743.0,81.0
geoId-QNH,2016,203.0,264.0,5313.0,2918.0,90.0
geoId-QNH,2017,181.0,311.0,5430.0,5139.0,80.0
geoId-QNH,2018,176.0,,5557.0,,86.0
geoId-QNH,2019,134.0,,5634.0,,65.0
geoId-QNH,2020,133.0,,5776.0,,76.0
geoId-QNH,2021,128.0,,5888.0,,70.0
geoId-QTI,2011,28.0,14.0,218.0,97.0,3.0
geoId-QTI,2012,21.0,2.0,247.0,98.0,6.0
geoId-QTI,2013,6.0,3.0,175.0,72.0,2.0
geoId-QTI,2014,10.0,2.0,183.0,72.0,2.0
geoId-QTI,2015,10.0,4.0,177.0,63.0,4.0
geoId-QTI,2016,8.0,2.0,185.0,64.0,3.0
geoId-QTI,2017,20.0,5.0,204.0,67.0,2.0
geoId-QTI,2018,9.0,,214.0,,0.0
geoId-QTI,2019,14.0,,221.0,,
geoId-QTI,2020,14.0,,240.0,,1.0
geoId-QTI,2021,22.0,,256.0,,
geoId-STG,2011,146.0,46.0,2483.0,385.0,22.0
geoId-STG,2012,158.0,36.0,1827.0,270.0,15.0
geoId-STG,2013,153.0,34.0,1963.0,281.0,26.0
geoId-STG,2014,192.0,42.0,2128.0,296.0,27.0
geoId-STG,2015,147.0,25.0,2123.0,321.0,28.0
geoId-STG,2016,101.0,23.0,2230.0,325.0,24.0
geoId-STG,2017,132.0,24.0,2354.0,324.0,27.0
geoId-STG,2018,123.0,,2466.0,,18.0
geoId-STG,2019,152.0,,2568.0,,14.0
geoId-STG,2020,232.0,,2658.0,,13.0
geoId-STG,2021,217.0,,2867.0,,15.0
geoId-SLA,2011,601.0,30.0,8013.0,628.0,0.0
geoId-SLA,2012,452.0,500.0,6362.0,1541.0,117.0
geoId-SLA,2013,538.0,261.0,6838.0,1510.0,62.0
geoId-SLA,2014,509.0,204.0,7326.0,1693.0,21.0
geoId-SLA,2015,388.0,208.0,7793.0,3474.0,40.0
geoId-SLA,2016,367.0,65.0,7909.0,3575.0,48.0
geoId-SLA,2017,422.0,91.0,8164.0,3618.0,81.0
geoId-SLA,2018,185.0,,6116.0,,95.0
geoId-SLA,2019,125.0,,5123.0,,48.0
geoId-SLA,2020,141.0,,5237.0,,56.0
geoId-SLA,2021,131.0,,4801.0,,75.0
geoId-THA,2011,502.0,386.0,4943.0,1596.0,88.0
geoId-THA,2012,335.0,330.0,5050.0,2318.0,58.0
geoId-THA,2013,297.0,306.0,5297.0,2574.0,50.0
geoId-THA,2014,223.0,310.0,5493.0,2857.0,27.0
geoId-THA,2015,215.0,267.0,5192.0,3284.0,31.0
geoId-THA,2016,375.0,334.0,5548.0,3567.0,67.0
geoId-THA,2017,382.0,366.0,5942.0,3929.0,18.0
geoId-THA,2018,248.0,,6128.0,,49.0
geoId-THA,2019,172.0,,6035.0,,143.0
geoId-THA,2020,212.0,,6097.0,,62.0
geoId-THA,2021,192.0,,6220.0,,80.0
geoId-TBH,2011,278.0,114.0,3666.0,571.0,22.0
geoId-TBH,2012,195.0,73.0,3619.0,589.0,17.0
geoId-TBH,2013,118.0,58.0,3716.0,633.0,12.0
geoId-TBH,2014,114.0,57.0,3817.0,677.0,13.0
geoId-TBH,2015,71.0,49.0,3155.0,686.0,12.0
geoId-TBH,2016,73.0,57.0,3229.0,743.0,8.0
geoId-TBH,2017,54.0,36.0,3292.0,781.0,3.0
geoId-TBH,2018,38.0,,3326.0,,1.0
geoId-TBH,2019,47.0,,3367.0,,13.0
geoId-TBH,2020,74.0,,2486.0,,10.0
geoId-TBH,2021,33.0,,2520.0,,
geoId-TNN,2011,678.0,37.0,7093.0,707.0,32.0
geoId-TNN,2012,479.0,188.0,6957.0,1753.0,41.0
geoId-TNN,2013,386.0,126.0,7309.0,2268.0,40.0
geoId-TNN,2014,236.0,210.0,7502.0,2435.0,43.0
geoId-TNN,2015,105.0,179.0,6045.0,2991.0,43.0
geoId-TNN,2016,120.0,146.0,6153.0,3214.0,42.0
geoId-TNN,2017,120.0,109.0,6265.0,3302.0,26.0
geoId-TNN,2018,173.0,,6684.0,,67.0
geoId-TNN,2019,149.0,,5811.0,,60.0
geoId-TNN,2020,277.0,,5393.0,,58.0
geoId-TNN,2021,127.0,,5123.0,,105.0
geoId-TTH,2011,50.0,17.0,728.0,248.0,8.0
geoId-TTH,2012,38.0,28.0,663.0,135.0,13.0
geoId-TTH,2013,42.0,24.0,696.0,152.0,12.0
geoId-TTH,2014,36.0,10.0,726.0,156.0,6.0
geoId-TTH,2015,34.0,5.0,301.0,112.0,4.0
geoId-TTH,2016,31.0,10.0,331.0,119.0,5.0
geoId-TTH,2017,30.0,7.0,362.0,125.0,2.0
geoId-TTH,2018,44.0,,417.0,,1.0
geoId-TTH,2019,59.0,,464.0,,
geoId-TTH,2020,68.0,,523.0,,
geoId-TTH,2021,38.0,,551.0,,
geoId-TGG,2011,158.0,98.0,1375.0,210.0,53.0
geoId-TGG,2012,147.0,75.0,1428.0,376.0,43.0
geoId-TGG,2013,144.0,87.0,1299.0,482.0,46.0
geoId-TGG,2014,166.0,76.0,1428.0,521.0,37.0
geoId-TGG,2015,189.0,37.0,1638.0,563.0,17.0
geoId-TGG,2016,180.0,30.0,1813.0,579.0,21.0
geoId-TGG,2017,242.0,37.0,2037.0,590.0,27.0
geoId-TGG,2018,287.0,,2392.0,,40.0
geoId-TGG,2019,334.0,,2595.0,,28.0
geoId-TGG,2020,280.0,,2631.0,,23.0
geoId-TGG,2021,267.0,,2825.0,,26.0
geoId-HCM,2011,1943.0,1470.0,46507.0,17826.0,481.0
geoId-HCM,2012,2721.0,1729.0,50931.0,19816.0,286.0
geoId-HCM,2013,2078.0,1334.0,53042.0,20975.0,295.0
geoId-HCM,2014,1759.0,731.0,54705.0,21610.0,96.0
geoId-HCM,2015,1650.0,451.0,49561.0,19773.0,180.0
geoId-HCM,2016,1864.0,678.0,50197.0,19602.0,342.0
geoId-HCM,2017,2045.0,876.0,47303.0,11223.0,254.0
geoId-HCM,2018,2406.0,,45976.0,,291.0
geoId-HCM,2019,1836.0,,47267.0,,265.0
geoId-HCM,2020,2970.0,,48896.0,,312.0
geoId-HCM,2021,3266.0,,47625.0,,174.0
geoId-NT,2011,3916.0,1017.0,37609.0,6373.0,506.0
geoId-NT,2012,3243.0,1429.0,38823.0,9868.0,724.0
geoId-NT,2013,2967.0,1082.0,39007.0,10890.0,702.0
geoId-NT,2014,2766.0,1155.0,41134.0,11406.0,639.0
geoId-NT,2015,2361.0,1432.0,36562.0,16042.0,768.0
geoId-NT,2016,1783.0,854.0,35987.0,16422.0,578.0
geoId-NT,2017,1759.0,704.0,36672.0,16652.0,506.0
geoId-NT,2018,1510.0,,35727.0,,525.0
geoId-NT,2019,1179.0,,34429.0,,425.0
geoId-NT,2020,1218.0,,34526.0,,434.0
geoId-NT,2021,896.0,,31802.0,,493.0
geoId-TVH,2011,76.0,51.0,893.0,223.0,19.0
geoId-TVH,2012,111.0,74.0,1032.0,290.0,11.0
geoId-TVH,2013,100.0,72.0,889.0,346.0,20.0
geoId-TVH,2014,105.0,76.0,975.0,403.0,19.0
geoId-TVH,2015,99.0,86.0,1035.0,469.0,19.0
geoId-TVH,2016,96.0,88.0,1076.0,530.0,21.0
geoId-TVH,2017,82.0,74.0,1155.0,582.0,23.0
geoId-TVH,2018,125.0,,1255.0,,28.0
geoId-TVH,2019,125.0,,1303.0,,32.0
geoId-TVH,2020,145.0,,1350.0,,37.0
geoId-TVH,2021,217.0,,1458.0,,35.0
geoId-TQG,2011,52.0,21.0,789.0,132.0,3.0
geoId-TQG,2012,56.0,60.0,727.0,303.0,26.0
geoId-TQG,2013,69.0,42.0,794.0,329.0,20.0
geoId-TQG,2014,110.0,79.0,871.0,375.0,33.0
geoId-TQG,2015,60.0,83.0,1277.0,751.0,21.0
geoId-TQG,2016,53.0,76.0,1321.0,819.0,16.0
geoId-TQG,2017,46.0,48.0,1312.0,828.0,22.0
geoId-TQG,2018,45.0,,1349.0,,18.0
geoId-TQG,2019,49.0,,1365.0,,20.0
geoId-TQG,2020,42.0,,1427.0,,22.0
geoId-TQG,2021,29.0,,1454.0,,
geoId-TNN,2011,303.0,128.0,3170.0,552.0,53.0
geoId-TNN,2012,422.0,127.0,4012.0,746.0,38.0
geoId-TNN,2013,374.0,143.0,4398.0,940.0,51.0
geoId-TNN,2014,350.0,108.0,4713.0,1013.0,35.0
geoId-TNN,2015,194.0,93.0,3798.0,1019.0,49.0
geoId-TNN,2016,182.0,80.0,4088.0,1050.0,57.0
geoId-TNN,2017,119.0,69.0,4007.0,1008.0,49.0
geoId-TNN,2018,172.0,,4174.0,,46.0
geoId-TNN,2019,200.0,,4464.0,,49.0
geoId-TNN,2020,264.0,,4688.0,,41.0
geoId-TNN,2021,188.0,,4095.0,,18.0
geoId-TNH,2011,230.0,231.0,1985.0,682.0,68.0
geoId-TNH,2012,320.0,259.0,2186.0,924.0,68.0
geoId-TNH,2013,292.0,245.0,2418.0,1009.0,77.0
geoId-TNH,2014,251.0,223.0,2606.0,1169.0,63.0
geoId-TNH,2015,271.0,281.0,2658.0,1600.0,55.0
geoId-TNH,2016,248.0,231.0,2793.0,1788.0,60.0
geoId-TNH,2017,342.0,332.0,3109.0,2093.0,65.0
geoId-TNH,2018,345.0,,3473.0,,49.0
geoId-TNH,2019,340.0,,3494.0,,44.0
geoId-TNH,2020,362.0,,3235.0,,41.0
geoId-TNH,2021,497.0,,3568.0,,57.0
geoId-VLG,2011,104.0,112.0,1713.0,492.0,29.0
geoId-VLG,2012,77.0,43.0,2033.0,568.0,15.0
geoId-VLG,2013,130.0,65.0,2150.0,601.0,16.0
geoId-VLG,2014,113.0,65.0,2255.0,658.0,8.0
geoId-VLG,2015,78.0,38.0,1906.0,708.0,18.0
geoId-VLG,2016,91.0,27.0,2002.0,722.0,16.0
geoId-VLG,2017,88.0,46.0,2085.0,755.0,17.0
geoId-VLG,2018,72.0,,2178.0,,22.0
geoId-VLG,2019,119.0,,2355.0,,8.0
geoId-VLG,2020,168.0,,2527.0,,9.0
geoId-VLG,2021,203.0,,2676.0,,4.0
geoId-VPC,2011,114.0,57.0,946.0,247.0,27.0
geoId-VPC,2012,142.0,88.0,974.0,426.0,31.0
geoId-VPC,2013,159.0,121.0,1098.0,424.0,42.0
geoId-VPC,2014,151.0,91.0,1208.0,474.0,41.0
geoId-VPC,2015,154.0,136.0,1204.0,674.0,42.0
geoId-VPC,2016,89.0,74.0,1241.0,693.0,53.0
geoId-VPC,2017,69.0,57.0,1260.0,692.0,51.0
geoId-VPC,2018,69.0,,1306.0,,33.0
geoId-VPC,2019,47.0,,1317.0,,37.0
geoId-VPC,2020,68.0,,1380.0,,24.0
geoId-VPC,2021,47.0,,1419.0,,23.0
geoId-YBI,2011,267.0,17.0,3280.0,573.0,6.0
geoId-YBI,2012,328.0,28.0,3959.0,489.0,11.0
geoId-YBI,2013,294.0,52.0,3278.0,935.0,5.0
geoId-YBI,2014,325.0,9.0,3593.0,934.0,10.0
geoId-YBI,2015,281.0,14.0,3864.0,919.0,17.0
geoId-YBI,2016,47.0,2.0,3881.0,922.0,3.0
geoId-YBI,2017,182.0,5.0,4044.0,912.0,19.0
geoId-YBI,2018,139.0,,4256.0,,33.0
geoId-YBI,2019,121.0,,4305.0,,21.0
geoId-YBI,2020,97.0,,4400.0,,9.0
geoId-YBI,2021,41.0,,2780.0,,9.0
geoId-DBN,2011,890.0,115.0,4775.0,940.0,80.0
geoId-DBN,2012,671.0,165.0,5204.0,1329.0,318.0
geoId-DBN,2013,428.0,182.0,4493.0,1754.0,282.0
geoId-DBN,2014,309.0,59.0,4584.0,1595.0,218.0
geoId-DBN,2015,377.0,102.0,4417.0,2085.0,243.0
geoId-DBN,2016,394.0,48.0,3407.0,1733.0,110.0
geoId-DBN,2017,257.0,38.0,3561.0,1701.0,82.0
geoId-DBN,2018,179.0,,3611.0,,70.0
geoId-DBN,2019,101.0,,3608.0,,91.0
geoId-DBN,2020,98.0,,3638.0,,76.0
geoId-DBN,2021,111.0,,3663.0,,88.0
geoId-DNG,2011,50.0,29.0,619.0,146.0,13.0
geoId-DNG,2012,65.0,42.0,675.0,195.0,14.0
geoId-DNG,2013,42.0,19.0,709.0,206.0,8.0
geoId-DNG,2014,38.0,31.0,742.0,232.0,5.0
geoId-DNG,2015,58.0,24.0,688.0,284.0,4.0
geoId-DNG,2016,51.0,23.0,734.0,302.0,6.0
geoId-DNG,2017,53.0,10.0,778.0,306.0,7.0
geoId-DNG,2018,51.0,,827.0,,6.0
geoId-DNG,2019,110.0,,826.0,,
geoId-DNG,2020,48.0,,979.0,,
geoId-DNG,2021,161.0,,1093.0,,
geoId-ST,2011,2973.0,2022.0,61453.0,20820.0,698.0
geoId-ST,2012,3930.0,2305.0,67259.0,23549.0,444.0
geoId-ST,2013,3164.0,1879.0,70321.0,24658.0,497.0
geoId-ST,2014,2770.0,1219.0,72821.0,25607.0,270.0
geoId-ST,2015,2387.0,931.0,64982.0,25528.0,314.0
geoId-ST,2016,2649.0,1423.0,65936.0,26073.0,465.0
geoId-ST,2017,3041.0,1626.0,64253.0,18397.0,367.0
geoId-ST,2018,3435.0,,63632.0,,423.0
geoId-ST,2019,2983.0,,64845.0,,414.0
geoId-ST,2020,4933.0,,66535.0,,464.0
geoId-ST,2021,5254.0,,67693.0,,276.0
geoId-DLK,2011,62.0,44.0,1380.0,251.0,16.0
geoId-DLK,2012,148.0,50.0,1526.0,392.0,9.0
geoId-DLK,2013,90.0,50.0,1610.0,440.0,8.0
geoId-DLK,2014,105.0,56.0,1706.0,487.0,9.0
geoId-DLK,2015,37.0,30.0,1683.0,539.0,5.0
geoId-DLK,2016,33.0,20.0,1715.0,558.0,2.0
geoId-DLK,2017,29.0,9.0,1755.0,568.0,0.0
geoId-DLK,2018,21.0,,1784.0,,5.0
geoId-DLK,2019,49.0,,1908.0,,4.0
geoId-DLK,2020,124.0,,2027.0,,12.0
geoId-DLK,2021,100.0,,1351.0,,6.0
geoId-DNG1,2011,40.0,30.0,319.0,86.0,8.0
geoId-DNG1,2012,55.0,18.0,439.0,86.0,4.0
geoId-DNG1,2013,45.0,11.0,499.0,224.0,3.0
geoId-DNG1,2014,44.0,16.0,534.0,231.0,9.0
geoId-DNG1,2015,29.0,7.0,566.0,230.0,8.0
geoId-DNG1,2016,38.0,6.0,619.0,231.0,5.0
geoId-DNG1,2017,21.0,11.0,405.0,167.0,13.0
geoId-DNG1,2018,14.0,,345.0,,9.0
geoId-DNG1,2019,16.0,,368.0,,5.0
geoId-DNG1,2020,28.0,,387.0,,4.0
geoId-DNG1,2021,13.0,,444.0,,6.0
geoId-MRD,2011,2540.0,1170.0,30117.0,7103.0,402.0
geoId-MRD,2012,2671.0,1104.0,32608.0,8544.0,403.0
geoId-MRD,2013,2606.0,1358.0,32854.0,9361.0,561.0
geoId-MRD,2014,2606.0,1632.0,34953.0,10486.0,507.0
geoId-MRD,2015,2079.0,1247.0,31391.0,13932.0,460.0
geoId-MRD,2016,2019.0,990.0,41668.0,14606.0,353.0
geoId-MRD,2017,2091.0,828.0,34999.0,15937.0,408.0
geoId-MRD,2018,2630.0,,35905.0,,426.0
geoId-MRD,2019,3139.0,,37428.0,,431.0
geoId-MRD,2020,3769.0,,40336.0,,541.0
geoId-MRD,2021,3893.0,,40989.0,,465.0
geoId-RRD,2011,2621.0,1222.0,47012.0,9311.0,502.0
geoId-RRD,2012,2276.0,921.0,49290.0,13117.0,326.0
geoId-RRD,2013,2043.0,808.0,50878.0,14642.0,302.0
geoId-RRD,2014,2076.0,1188.0,52595.0,15709.0,504.0
geoId-RRD,2015,,,,,
geoId-RRD,2016,1626.0,1335.0,50189.0,21673.0,368.0
geoId-RRD,2017,1541.0,1191.0,51112.0,26711.0,275.0
geoId-RRD,2018,1477.0,,51648.0,,280.0
geoId-RRD,2019,1593.0,,51093.0,,281.0
geoId-RRD,2020,2650.0,,46800.0,,464.0
geoId-RRD,2021,1793.0,,48020.0,,346.0
geoId-DNI,2011,250.0,123.0,4926.0,623.0,42.0
geoId-DNI,2012,445.0,165.0,5400.0,817.0,29.0
geoId-DNI,2013,414.0,126.0,5799.0,713.0,43.0
geoId-DNI,2014,371.0,97.0,6156.0,796.0,14.0
geoId-DNI,2015,224.0,64.0,5651.0,1268.0,8.0
geoId-DNI,2016,272.0,164.0,5935.0,1497.0,18.0
geoId-DNI,2017,269.0,189.0,6067.0,1687.0,10.0
geoId-DNI,2018,285.0,,6228.0,,14.0
geoId-DNI,2019,370.0,,6326.0,,41.0
geoId-DNI,2020,443.0,,6689.0,,20.0
geoId-DNI,2021,387.0,,5199.0,,9.0
geoId-DTP,2011,312.0,117.0,3776.0,912.0,42.0
geoId-DTP,2012,263.0,75.0,4118.0,1134.0,25.0
geoId-DTP,2013,336.0,389.0,4283.0,1244.0,172.0
geoId-DTP,2014,325.0,210.0,4560.0,1406.0,48.0
geoId-DTP,2015,220.0,160.0,3832.0,1468.0,48.0
geoId-DTP,2016,176.0,33.0,4001.0,1454.0,28.0
geoId-DTP,2017,213.0,31.0,4269.0,1451.0,33.0
geoId-DTP,2018,254.0,,4545.0,,26.0
geoId-DTP,2019,382.0,,4803.0,,30.0
geoId-DTP,2020,312.0,,5301.0,,53.0
geoId-DTP,2021,142.0,,4514.0,,43.0
