dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,47.86,74.02,100.0,130.33,158.66,169.26,183.31,162.7,150.85,166.12,187.17,183.69,167.59,193.4,229.96
