dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,382.0,232.0,117.0,21.0,2.0,10.0
geoId-VNM,2003,383.0,232.0,117.0,24.0,2.0,8.0
geoId-VNM,2004,386.0,233.0,118.0,25.0,2.0,8.0
geoId-VNM,2005,383.0,230.0,118.0,26.0,2.0,7.0
geoId-VNM,2006,385.0,231.0,119.0,29.0,1.0,5.0
geoId-VNM,2007,385.0,230.0,120.0,30.0,,5.0
geoId-VNM,2008,384.0,229.0,120.0,29.0,1.0,5.0
geoId-VNM,2009,388.0,229.0,124.0,31.0,1.0,3.0
geoId-VNM,2010,385.0,226.0,124.0,31.0,1.0,3.0
geoId-VNM,2011,389.0,228.0,125.0,33.0,1.0,2.0
geoId-VNM,2012,389.0,227.0,125.0,33.0,1.0,3.0
geoId-VNM,2013,390.0,228.0,125.0,33.0,1.0,3.0
geoId-VNM,2014,388.0,226.0,125.0,33.0,1.0,3.0
geoId-VNM,2015,389.0,226.0,125.0,33.0,1.0,4.0
geoId-VNM,2016,388.0,224.0,126.0,34.0,1.0,3.0
geoId-VNM,2017,388.0,224.0,126.0,34.0,1.0,3.0
geoId-VNM,2019,348.0,186.0,118.0,33.0,6.0,5.0
geoId-VNM,2020,334.0,173.0,111.0,33.0,12.0,5.0
geoId-VNM,2021,332.0,171.0,109.0,33.0,14.0,5.0
