dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,455.0,324.0,92.0,8.0,,31.0
geoId-VNM,2003,462.0,328.0,95.0,16.0,,23.0
geoId-VNM,2004,247.0,170.0,54.0,13.0,,10.0
geoId-VNM,2005,249.0,171.0,55.0,15.0,,8.0
geoId-VNM,2006,249.0,171.0,55.0,15.0,,8.0
geoId-VNM,2007,250.0,171.0,55.0,16.0,,8.0
geoId-VNM,2008,255.0,176.0,56.0,16.0,,7.0
geoId-VNM,2009,261.0,178.0,62.0,16.0,,5.0
geoId-VNM,2010,264.0,180.0,62.0,18.0,,4.0
geoId-VNM,2011,268.0,179.0,62.0,20.0,1.0,6.0
geoId-VNM,2012,271.0,181.0,64.0,21.0,,5.0
geoId-VNM,2013,277.0,182.0,65.0,23.0,,7.0
geoId-VNM,2014,276.0,181.0,64.0,22.0,1.0,8.0
geoId-VNM,2015,279.0,182.0,63.0,23.0,1.0,10.0
geoId-VNM,2016,278.0,181.0,63.0,23.0,1.0,10.0
geoId-VNM,2017,280.0,180.0,66.0,23.0,1.0,10.0
geoId-VNM,2019,281.0,176.0,68.0,24.0,1.0,12.0
geoId-VNM,2020,279.0,173.0,69.0,24.0,1.0,12.0
geoId-VNM,2021,275.0,167.0,69.0,24.0,2.0,13.0
