dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,354.0,254.0,78.0,13.0,,9.0
geoId-VNM,2003,368.0,256.0,89.0,17.0,,6.0
geoId-VNM,2004,393.0,269.0,101.0,20.0,,3.0
geoId-VNM,2005,407.0,273.0,108.0,24.0,,2.0
geoId-VNM,2006,416.0,274.0,115.0,26.0,,1.0
geoId-VNM,2007,418.0,274.0,117.0,27.0,,
geoId-VNM,2008,420.0,278.0,117.0,25.0,,
geoId-VNM,2009,428.0,281.0,121.0,26.0,,
geoId-VNM,2010,431.0,282.0,123.0,26.0,,
geoId-VNM,2011,431.0,281.0,124.0,26.0,,
geoId-VNM,2012,433.0,279.0,123.0,27.0,2.0,2.0
geoId-VNM,2013,435.0,280.0,127.0,26.0,,2.0
geoId-VNM,2014,437.0,280.0,128.0,26.0,,3.0
geoId-VNM,2015,435.0,278.0,126.0,25.0,2.0,4.0
geoId-VNM,2016,436.0,277.0,127.0,25.0,3.0,4.0
geoId-VNM,2017,436.0,277.0,127.0,25.0,3.0,4.0
geoId-VNM,2019,406.0,248.0,115.0,25.0,15.0,3.0
geoId-VNM,2020,404.0,246.0,113.0,25.0,17.0,3.0
geoId-VNM,2021,400.0,242.0,113.0,25.0,17.0,3.0
