dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,25825.0,14163.0,8396.0,1532.0,1197.0,537.0
geoId-VNM,2003,26352.0,14346.0,8745.0,1664.0,1143.0,454.0
geoId-VNM,2004,26817.0,14518.0,9041.0,1828.0,1034.0,396.0
geoId-VNM,2005,27227.0,14688.0,9383.0,1952.0,889.0,315.0
geoId-VNM,2006,27593.0,14834.0,9635.0,2044.0,773.0,307.0
geoId-VNM,2007,27898.0,14933.0,9781.0,2149.0,727.0,308.0
geoId-VNM,2008,28114.0,15051.0,9902.0,2192.0,674.0,295.0
geoId-VNM,2009,28408.0,15172.0,10064.0,2267.0,611.0,294.0
geoId-VNM,2010,28593.0,15242.0,10143.0,2288.0,601.0,319.0
geoId-VNM,2011,28803.0,15337.0,10243.0,2350.0,554.0,319.0
geoId-VNM,2012,28916.0,15361.0,10290.0,2361.0,557.0,347.0
geoId-VNM,2013,28977.0,15337.0,10290.0,2404.0,592.0,354.0
geoId-VNM,2014,28922.0,15277.0,10293.0,2386.0,585.0,381.0
geoId-VNM,2015,28951.0,15254.0,10312.0,2399.0,597.0,389.0
geoId-VNM,2016,28791.0,15052.0,10155.0,2391.0,773.0,420.0
geoId-VNM,2017,28710.0,14937.0,10091.0,2398.0,848.0,436.0
geoId-VNM,2019,26815.0,13093.0,9120.0,2376.0,1738.0,488.0
geoId-VNM,2020,26403.0,12693.0,8846.0,2373.0,1962.0,529.0
geoId-VNM,2021,26247.0,12527.0,8744.0,2380.0,2035.0,561.0
