dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,308.0,208.0,78.0,9.0,1.0,12.0
geoId-VNM,2003,321.0,216.0,83.0,12.0,,10.0
geoId-VNM,2004,329.0,220.0,86.0,16.0,,7.0
geoId-VNM,2005,328.0,216.0,89.0,19.0,,4.0
geoId-VNM,2006,332.0,217.0,91.0,21.0,,3.0
geoId-VNM,2007,333.0,215.0,92.0,22.0,,4.0
geoId-VNM,2008,335.0,213.0,94.0,24.0,,4.0
geoId-VNM,2009,340.0,214.0,94.0,27.0,,5.0
geoId-VNM,2010,344.0,215.0,96.0,28.0,,5.0
geoId-VNM,2011,346.0,215.0,97.0,28.0,1.0,5.0
geoId-VNM,2012,346.0,214.0,98.0,28.0,1.0,5.0
geoId-VNM,2013,349.0,215.0,99.0,28.0,1.0,6.0
geoId-VNM,2014,348.0,214.0,99.0,28.0,1.0,6.0
geoId-VNM,2015,347.0,212.0,100.0,29.0,1.0,5.0
geoId-VNM,2016,349.0,213.0,100.0,29.0,1.0,6.0
geoId-VNM,2017,349.0,212.0,101.0,29.0,1.0,6.0
geoId-VNM,2019,307.0,170.0,99.0,29.0,3.0,6.0
geoId-VNM,2020,299.0,163.0,96.0,29.0,4.0,7.0
geoId-VNM,2021,299.0,163.0,96.0,29.0,4.0,7.0
