dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,5604.0,2647.0,2363.0,489.0,90.0,15.0
geoId-VNM,2003,5635.0,2662.0,2377.0,500.0,85.0,11.0
geoId-VNM,2004,5671.0,2667.0,2380.0,530.0,80.0,14.0
geoId-VNM,2005,5688.0,2684.0,2395.0,507.0,75.0,27.0
geoId-VNM,2006,5725.0,2694.0,2407.0,547.0,66.0,11.0
geoId-VNM,2007,5779.0,2705.0,2418.0,581.0,65.0,10.0
geoId-VNM,2008,5778.0,2705.0,2420.0,579.0,63.0,11.0
geoId-VNM,2009,5815.0,2715.0,2426.0,599.0,57.0,18.0
geoId-VNM,2010,5819.0,2719.0,2423.0,570.0,63.0,44.0
geoId-VNM,2011,5840.0,2730.0,2434.0,577.0,62.0,37.0
geoId-VNM,2012,5864.0,2737.0,2441.0,577.0,59.0,50.0
geoId-VNM,2013,5922.0,2762.0,2448.0,614.0,61.0,37.0
geoId-VNM,2014,5886.0,2756.0,2445.0,592.0,51.0,42.0
geoId-VNM,2015,5892.0,2752.0,2446.0,595.0,57.0,42.0
geoId-VNM,2016,5886.0,2758.0,2432.0,591.0,58.0,47.0
geoId-VNM,2017,5899.0,2770.0,2427.0,596.0,62.0,44.0
geoId-VNM,2019,5604.0,2464.0,2202.0,593.0,281.0,64.0
geoId-VNM,2020,5571.0,2430.0,2164.0,593.0,315.0,69.0
geoId-VNM,2021,5586.0,2431.0,2158.0,597.0,326.0,74.0
