dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,284.0,154.0,92.0,21.0,13.0,4.0
geoId-VNM,2003,287.0,150.0,92.0,23.0,18.0,4.0
geoId-VNM,2004,291.0,152.0,94.0,24.0,18.0,3.0
geoId-VNM,2005,298.0,154.0,98.0,24.0,19.0,3.0
geoId-VNM,2006,304.0,156.0,102.0,25.0,19.0,2.0
geoId-VNM,2007,311.0,159.0,106.0,26.0,19.0,1.0
geoId-VNM,2008,316.0,160.0,108.0,29.0,18.0,1.0
geoId-VNM,2009,322.0,162.0,111.0,29.0,17.0,3.0
geoId-VNM,2010,304.0,162.0,111.0,31.0,,
geoId-VNM,2011,313.0,167.0,116.0,30.0,,
geoId-VNM,2012,328.0,166.0,115.0,30.0,14.0,3.0
geoId-VNM,2013,324.0,160.0,114.0,30.0,17.0,3.0
geoId-VNM,2014,322.0,158.0,113.0,30.0,18.0,3.0
geoId-VNM,2015,318.0,155.0,112.0,29.0,18.0,4.0
geoId-VNM,2016,316.0,155.0,112.0,27.0,18.0,4.0
geoId-VNM,2017,316.0,155.0,112.0,27.0,18.0,4.0
geoId-VNM,2019,227.0,70.0,49.0,25.0,77.0,6.0
geoId-VNM,2020,224.0,68.0,43.0,24.0,80.0,9.0
geoId-VNM,2021,223.0,68.0,42.0,24.0,80.0,9.0
