dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,268.0,130.0,59.0,10.0,63.0,6.0
geoId-VNM,2003,304.0,145.0,86.0,12.0,56.0,5.0
geoId-VNM,2004,166.0,67.0,42.0,7.0,49.0,1.0
geoId-VNM,2005,195.0,84.0,65.0,8.0,38.0,
geoId-VNM,2006,213.0,100.0,81.0,9.0,23.0,
geoId-VNM,2007,228.0,111.0,86.0,11.0,20.0,
geoId-VNM,2008,244.0,120.0,97.0,13.0,14.0,
geoId-VNM,2009,261.0,130.0,105.0,16.0,10.0,
geoId-VNM,2010,267.0,135.0,109.0,16.0,7.0,
geoId-VNM,2011,270.0,137.0,109.0,18.0,6.0,
geoId-VNM,2012,275.0,139.0,112.0,18.0,6.0,
geoId-VNM,2013,292.0,148.0,122.0,22.0,,
geoId-VNM,2014,287.0,145.0,116.0,19.0,4.0,3.0
geoId-VNM,2015,285.0,144.0,113.0,21.0,3.0,4.0
geoId-VNM,2016,284.0,143.0,113.0,22.0,3.0,3.0
geoId-VNM,2017,281.0,140.0,113.0,22.0,3.0,3.0
geoId-VNM,2019,231.0,97.0,93.0,25.0,16.0,0.0
geoId-VNM,2020,226.0,94.0,91.0,23.0,18.0,0.0
geoId-VNM,2021,223.0,90.0,88.0,23.0,22.0,0.0
