dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,393.0,244.0,103.0,22.0,,24.0
geoId-VNM,2003,398.0,247.0,105.0,23.0,,23.0
geoId-VNM,2004,410.0,241.0,117.0,29.0,6.0,17.0
geoId-VNM,2005,413.0,242.0,117.0,31.0,6.0,17.0
geoId-VNM,2006,420.0,240.0,127.0,32.0,5.0,16.0
geoId-VNM,2007,426.0,242.0,128.0,40.0,5.0,11.0
geoId-VNM,2008,426.0,242.0,130.0,39.0,5.0,10.0
geoId-VNM,2009,436.0,243.0,140.0,45.0,4.0,4.0
geoId-VNM,2010,438.0,241.0,140.0,47.0,7.0,3.0
geoId-VNM,2011,439.0,241.0,141.0,47.0,7.0,3.0
geoId-VNM,2012,441.0,243.0,142.0,47.0,6.0,3.0
geoId-VNM,2013,443.0,243.0,144.0,48.0,5.0,3.0
geoId-VNM,2014,446.0,244.0,145.0,50.0,4.0,3.0
geoId-VNM,2015,446.0,243.0,146.0,50.0,4.0,3.0
geoId-VNM,2016,447.0,243.0,146.0,50.0,4.0,4.0
geoId-VNM,2017,447.0,244.0,145.0,50.0,4.0,4.0
geoId-VNM,2019,411.0,208.0,143.0,50.0,6.0,4.0
geoId-VNM,2020,406.0,204.0,141.0,50.0,7.0,4.0
geoId-VNM,2021,407.0,204.0,141.0,51.0,7.0,4.0
