dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,368.0,250.0,88.0,5.0,,25.0
geoId-VNM,2003,367.0,249.0,87.0,7.0,,24.0
geoId-VNM,2004,366.0,248.0,88.0,10.0,,20.0
geoId-VNM,2005,367.0,247.0,91.0,15.0,,14.0
geoId-VNM,2006,367.0,247.0,91.0,16.0,,13.0
geoId-VNM,2007,367.0,246.0,92.0,19.0,,10.0
geoId-VNM,2008,366.0,244.0,93.0,20.0,,9.0
geoId-VNM,2009,358.0,244.0,93.0,21.0,,
geoId-VNM,2010,364.0,241.0,92.0,21.0,,10.0
geoId-VNM,2011,362.0,239.0,92.0,22.0,,9.0
geoId-VNM,2012,351.0,229.0,91.0,23.0,,8.0
geoId-VNM,2013,342.0,214.0,89.0,23.0,8.0,8.0
geoId-VNM,2014,326.0,207.0,88.0,23.0,,8.0
geoId-VNM,2015,325.0,206.0,88.0,23.0,,8.0
geoId-VNM,2016,318.0,199.0,88.0,23.0,0.0,8.0
geoId-VNM,2017,317.0,197.0,89.0,24.0,,7.0
geoId-VNM,2019,294.0,173.0,89.0,24.0,,8.0
geoId-VNM,2020,286.0,165.0,87.0,24.0,0.0,10.0
geoId-VNM,2021,281.0,160.0,87.0,24.0,,10.0
