dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,435.0,296.0,96.0,28.0,1.0,14.0
geoId-VNM,2003,424.0,298.0,97.0,28.0,1.0,
geoId-VNM,2004,428.0,300.0,99.0,28.0,1.0,
geoId-VNM,2005,424.0,293.0,101.0,29.0,1.0,
geoId-VNM,2006,427.0,293.0,103.0,30.0,1.0,
geoId-VNM,2007,425.0,291.0,103.0,30.0,1.0,
geoId-VNM,2008,428.0,290.0,106.0,31.0,1.0,
geoId-VNM,2009,424.0,286.0,106.0,31.0,1.0,
geoId-VNM,2010,421.0,283.0,106.0,31.0,1.0,
geoId-VNM,2011,410.0,271.0,106.0,31.0,1.0,1.0
geoId-VNM,2012,407.0,270.0,106.0,30.0,,1.0
geoId-VNM,2013,405.0,265.0,106.0,30.0,1.0,3.0
geoId-VNM,2014,401.0,261.0,106.0,30.0,1.0,3.0
geoId-VNM,2015,401.0,262.0,106.0,30.0,1.0,2.0
geoId-VNM,2016,399.0,260.0,106.0,30.0,1.0,2.0
geoId-VNM,2017,399.0,261.0,105.0,31.0,1.0,1.0
geoId-VNM,2019,351.0,220.0,102.0,26.0,1.0,2.0
geoId-VNM,2020,336.0,207.0,99.0,26.0,2.0,2.0
geoId-VNM,2021,325.0,196.0,98.0,26.0,3.0,2.0
