dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,176.0,127.0,36.0,4.0,3.0,6.0
geoId-VNM,2003,181.0,132.0,37.0,4.0,3.0,5.0
geoId-VNM,2004,194.0,136.0,44.0,4.0,1.0,9.0
geoId-VNM,2005,194.0,137.0,45.0,6.0,1.0,5.0
geoId-VNM,2006,202.0,138.0,51.0,9.0,1.0,3.0
geoId-VNM,2007,203.0,140.0,51.0,9.0,,3.0
geoId-VNM,2008,211.0,141.0,55.0,13.0,,2.0
geoId-VNM,2009,221.0,146.0,59.0,15.0,,1.0
geoId-VNM,2010,224.0,146.0,60.0,18.0,,
geoId-VNM,2011,228.0,147.0,63.0,18.0,,
geoId-VNM,2012,231.0,149.0,63.0,19.0,,
geoId-VNM,2013,235.0,152.0,63.0,19.0,,1.0
geoId-VNM,2014,235.0,152.0,64.0,18.0,,1.0
geoId-VNM,2015,235.0,152.0,64.0,18.0,,1.0
geoId-VNM,2016,236.0,153.0,64.0,17.0,0.0,2.0
geoId-VNM,2017,236.0,152.0,64.0,17.0,,3.0
geoId-VNM,2019,225.0,142.0,58.0,15.0,4.0,6.0
geoId-VNM,2020,218.0,135.0,53.0,15.0,9.0,6.0
geoId-VNM,2021,216.0,133.0,50.0,15.0,11.0,7.0
