dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,,,,,,
geoId-VNM,2003,,,,,,
geoId-VNM,2004,148.0,85.0,50.0,8.0,4.0,1.0
geoId-VNM,2005,168.0,97.0,57.0,8.0,5.0,1.0
geoId-VNM,2006,180.0,100.0,59.0,12.0,8.0,1.0
geoId-VNM,2007,198.0,111.0,62.0,16.0,8.0,1.0
geoId-VNM,2008,216.0,121.0,73.0,18.0,4.0,
geoId-VNM,2009,226.0,130.0,78.0,18.0,,
geoId-VNM,2010,230.0,130.0,81.0,19.0,,
geoId-VNM,2011,240.0,136.0,82.0,22.0,,
geoId-VNM,2012,251.0,143.0,84.0,24.0,,
geoId-VNM,2013,253.0,145.0,78.0,23.0,2.0,5.0
geoId-VNM,2014,254.0,144.0,77.0,23.0,5.0,5.0
geoId-VNM,2015,255.0,142.0,76.0,24.0,7.0,6.0
geoId-VNM,2016,256.0,142.0,76.0,24.0,7.0,7.0
geoId-VNM,2017,260.0,146.0,76.0,25.0,6.0,7.0
geoId-VNM,2019,244.0,132.0,72.0,24.0,8.0,8.0
geoId-VNM,2020,233.0,122.0,64.0,24.0,15.0,8.0
geoId-VNM,2021,233.0,122.0,63.0,24.0,16.0,8.0
