dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông,Phổ thông cơ sở,Trung học
geoId-VNM,2002,374.0,203.0,130.0,40.0,1.0,
geoId-VNM,2003,379.0,204.0,135.0,40.0,,
geoId-VNM,2004,376.0,203.0,133.0,40.0,,
geoId-VNM,2005,369.0,194.0,135.0,40.0,,
geoId-VNM,2006,366.0,191.0,135.0,40.0,,
geoId-VNM,2007,369.0,191.0,137.0,41.0,,
geoId-VNM,2008,357.0,190.0,137.0,30.0,,
geoId-VNM,2009,356.0,190.0,135.0,31.0,,
geoId-VNM,2010,357.0,189.0,137.0,31.0,,
geoId-VNM,2011,356.0,189.0,136.0,31.0,,
geoId-VNM,2012,356.0,189.0,136.0,31.0,,
geoId-VNM,2013,357.0,190.0,134.0,32.0,,1.0
geoId-VNM,2014,356.0,190.0,132.0,32.0,,2.0
geoId-VNM,2015,357.0,190.0,133.0,32.0,,2.0
geoId-VNM,2016,358.0,190.0,133.0,33.0,,2.0
geoId-VNM,2017,357.0,190.0,132.0,33.0,,2.0
geoId-VNM,2019,356.0,187.0,131.0,34.0,1.0,3.0
geoId-VNM,2020,355.0,185.0,130.0,35.0,2.0,3.0
geoId-VNM,2021,351.0,180.0,128.0,35.0,5.0,3.0
