dia phuong,Năm,Tổng số,Vốn đầu tư công,Vốn của các doanh nghiệp Nhà nước và nguồn vốn khác
geoId-VNM,2010,100.0,56.44,43.56
geoId-VNM,2011,100.0,57.53,42.47
geoId-VNM,2012,100.0,58.15,41.85
geoId-VNM,2013,100.0,53.32,46.68
geoId-VNM,2014,100.0,51.03,48.97
geoId-VNM,2015,100.0,52.15,47.85
geoId-VNM,2016,100.0,52.64,47.36
geoId-VNM,2017,100.0,51.34,48.66
geoId-VNM,2018,100.0,57.83,42.17
geoId-VNM,2019,100.0,59.23,40.77
geoId-VNM,2020,100.0,68.34,31.66
geoId-VNM,2021,100.0,62.61,37.39
geoId-VNM,Sơ bộ 2022,100.0,63.02,36.98
