dia phuong,Năm,Tổng số,Vốn đầu tư công,Vốn của các doanh nghiệp Nhà nước và nguồn vốn khác
geoId-VNM,2010,,,
geoId-VNM,2011,89.2,91.59,86.11
geoId-VNM,2012,113.45,113.45,113.43
geoId-VNM,2013,106.44,97.56,118.68
geoId-VNM,2014,105.34,100.45,110.89
geoId-VNM,2015,102.88,105.92,99.76
geoId-VNM,2016,106.56,107.63,105.39
geoId-VNM,2017,103.38,100.41,106.68
geoId-VNM,2018,98.97,111.06,86.29
geoId-VNM,2019,99.47,102.18,95.82
geoId-VNM,2020,112.51,129.32,88.34
geoId-VNM,2021,94.65,86.69,111.42
geoId-VNM,Sơ bộ 2022,108.86,109.4,107.97
