dia phuong,Năm,Tổng số,Vốn đầu tư công,Vốn của các doanh nghiệp Nhà nước và nguồn vốn khác
geoId-VNM,2010,364286.0,205609.0,158677.0
geoId-VNM,2011,324940.0,188308.0,136632.0
geoId-VNM,2012,368630.0,213644.0,154986.0
geoId-VNM,2013,392360.0,208422.0,183938.0
geoId-VNM,2014,413319.0,209358.0,203961.0
geoId-VNM,2015,425225.0,221757.0,203468.0
geoId-VNM,2016,453106.0,238675.0,214431.0
geoId-VNM,2017,468411.0,239647.0,228764.0
geoId-VNM,2018,463566.0,266157.0,197409.0
geoId-VNM,2019,461108.0,271954.0,189154.0
geoId-VNM,2020,518787.0,351694.0,167093.0
geoId-VNM,2021,491046.0,304872.0,186174.0
geoId-VNM,Sơ bộ 2022,534559.0,333543.0,201016.0
