dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.4,101.8,101.0,100.8,101.2,101.3,101.5,101.7,102.0,102.6,102.9,103.6
geoId-VNM,2003,100.9,103.1,102.5,102.3,102.1,102.1,102.1,102.2,102.3,102.6,102.9,103.5
geoId-VNM,2004,102.9,103.4,101.6,101.9,102.3,102.3,102.5,102.9,103.3,103.3,103.3,103.6
geoId-VNM,2005,100.8,102.5,102.3,102.5,103.3,103.1,103.3,103.7,103.7,104.1,104.4,104.9
geoId-VNM,2006,101.2,102.7,102.2,102.3,102.6,103.0,103.6,103.8,104.1,104.4,105.3,105.2
geoId-VNM,2007,101.65,104.21,103.46,103.28,103.5,103.67,103.95,104.47,104.53,104.96,105.38,106.78
geoId-VNM,2008,101.77,103.69,104.38,105.09,107.06,108.21,109.27,110.0,110.6,111.34,112.34,113.1
geoId-VNM,2009,101.89,102.71,103.06,103.53,103.85,104.51,105.01,105.12,105.91,106.06,106.52,107.56
geoId-VNM,2010,101.14,103.44,103.6,103.98,104.32,104.96,105.39,105.73,106.2,107.15,108.16,109.57
geoId-VNM,2011,101.67,103.85,104.76,105.82,106.79,107.6,108.28,108.88,109.52,110.06,110.33,110.87
geoId-VNM,2012,101.17,102.04,102.2,102.41,102.85,103.19,103.53,103.78,103.92,104.1,104.34,104.67
geoId-VNM,2013,100.42,101.93,101.84,101.95,102.36,102.69,102.99,103.27,103.5,103.62,103.91,104.19
geoId-VNM,2014,100.83,101.43,101.68,101.91,102.04,102.35,102.56,102.69,102.77,102.83,102.96,103.14
geoId-VNM,2015,100.37,100.93,100.82,100.81,101.01,101.26,101.44,101.51,101.61,101.72,101.89,102.05
geoId-VNM,2016,100.44,101.6,101.05,101.22,101.33,101.46,101.55,101.6,101.64,101.71,101.76,101.97
geoId-VNM,2017,100.78,100.77,100.75,100.81,100.89,100.99,101.04,101.1,101.13,101.14,101.19,101.37
geoId-VNM,2018,100.35,101.11,100.82,100.82,100.9,100.99,101.04,101.15,101.24,101.27,101.34,101.56
geoId-VNM,2019,100.69,101.04,100.96,101.03,101.21,101.55,101.67,101.71,101.77,101.81,102.02,102.27
geoId-VNM,2020,100.65,100.37,100.26,100.39,100.65,100.74,100.76,100.81,100.86,100.94,101.0,101.14
geoId-VNM,2021,100.32,101.22,100.85,100.98,101.08,101.19,101.37,101.59,101.76,101.96,102.29,102.5
geoId-VNM,2022,100.57,100.94,101.0,101.22,101.55,101.9,102.3,102.57,102.7,103.06,103.33,103.79
