dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.9,102.2,101.2,101.1,100.9,100.9,100.6,100.9,101.0,101.6,101.7,102.0
geoId-VNM,2003,100.6,102.7,101.6,101.7,102.0,102.1,102.1,102.2,102.3,102.3,102.6,104.3
geoId-VNM,2004,100.9,102.7,101.7,101.7,102.1,102.1,103.0,103.4,103.7,104.1,104.2,105.2
geoId-VNM,2005,100.9,102.5,102.0,102.2,102.6,102.9,103.5,104.0,104.4,104.8,105.3,106.0
geoId-VNM,2006,100.8,102.5,102.1,102.3,103.3,103.0,103.5,103.8,103.7,104.6,105.7,106.5
geoId-VNM,2007,100.89,103.17,102.6,103.06,103.8,104.3,104.78,105.29,105.73,106.21,107.29,109.02
geoId-VNM,2008,102.6,106.09,106.19,106.76,107.11,108.14,109.37,110.35,110.75,111.69,112.13,112.97
geoId-VNM,2009,101.93,103.98,104.25,104.65,106.15,107.6,108.08,108.51,109.03,109.56,110.15,111.25
geoId-VNM,2010,102.24,104.82,105.4,105.75,107.17,107.66,107.98,108.19,108.81,109.57,110.65,111.83
geoId-VNM,2011,101.04,102.41,103.84,104.9,107.06,107.98,108.51,109.6,111.11,111.33,112.01,112.68
geoId-VNM,2012,101.0,101.9,102.35,102.74,105.91,106.28,106.71,107.15,107.81,108.57,109.03,109.8
geoId-VNM,2013,100.74,101.82,101.98,102.32,102.4,102.55,102.7,103.06,104.43,104.67,104.86,105.02
geoId-VNM,2014,100.63,101.18,101.42,101.51,101.73,101.96,102.21,102.39,102.52,102.69,102.92,103.27
geoId-VNM,2015,100.53,101.27,101.26,101.43,101.6,101.72,101.8,101.78,101.97,102.08,102.15,102.3
geoId-VNM,2016,100.29,101.1,100.87,100.97,101.53,101.56,101.73,101.85,101.9,102.07,102.2,102.31
geoId-VNM,2017,100.48,100.63,100.69,100.77,100.92,100.96,101.7,101.8,101.91,102.03,102.17,102.33
geoId-VNM,2018,100.4,101.14,101.05,101.03,101.05,101.07,101.64,101.77,101.92,102.01,102.16,102.4
geoId-VNM,2019,100.34,100.81,100.77,100.93,101.06,101.21,102.16,102.3,102.56,102.73,102.89,103.14
geoId-VNM,2020,100.92,101.09,101.24,101.12,101.18,101.37,101.55,101.75,101.77,101.86,101.98,102.1
geoId-VNM,2021,100.24,100.98,100.7,100.77,100.83,100.89,100.89,100.89,100.91,101.03,101.28,101.42
geoId-VNM,2022,100.39,100.6,101.06,101.24,101.43,101.68,102.11,102.32,102.47,102.71,102.93,103.17
