dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.6,101.1,100.8,100.7,100.5,100.5,100.4,100.5,100.9,100.9,101.0,101.1
geoId-VNM,2003,100.8,101.4,101.2,101.6,102.1,102.1,102.1,102.1,102.3,102.4,102.9,103.4
geoId-VNM,2004,101.2,100.9,101.4,102.1,102.0,102.1,102.3,102.7,103.2,103.4,103.6,104.1
geoId-VNM,2005,100.7,101.2,101.0,101.3,101.7,102.0,102.3,102.9,103.5,103.9,104.4,105.0
geoId-VNM,2006,100.9,101.7,102.0,102.2,102.7,103.1,103.4,103.9,104.6,105.0,105.0,105.8
geoId-VNM,2007,101.01,102.3,102.05,102.54,103.03,103.52,104.03,104.43,104.75,105.05,105.47,106.7
geoId-VNM,2008,101.4,102.78,103.69,104.69,105.69,106.67,108.16,109.24,110.05,110.82,111.77,112.9
geoId-VNM,2009,101.46,101.91,102.1,102.3,102.57,103.05,103.35,103.89,104.58,104.87,105.2,106.05
geoId-VNM,2010,101.24,102.65,102.8,103.16,103.49,103.83,104.2,104.73,105.08,105.5,106.45,108.38
geoId-VNM,2011,101.81,103.21,104.25,105.95,107.19,107.85,108.65,109.51,110.51,111.21,111.93,112.9
geoId-VNM,2012,101.97,102.53,102.95,103.53,104.13,104.77,105.26,105.86,106.34,106.93,107.82,109.08
geoId-VNM,2013,101.3,102.39,102.58,103.04,103.41,103.85,104.1,104.56,104.87,105.23,105.6,106.2
geoId-VNM,2014,100.89,101.1,101.15,101.42,101.62,101.84,102.05,102.37,102.7,102.89,103.24,103.77
geoId-VNM,2015,100.51,100.96,100.92,101.06,101.2,101.38,101.63,101.91,102.13,102.33,102.48,102.81
geoId-VNM,2016,100.37,100.82,100.65,100.7,100.71,100.78,100.81,100.95,101.09,101.14,101.38,101.64
geoId-VNM,2017,100.24,100.19,100.07,100.09,100.15,100.2,100.24,100.33,100.39,100.56,100.71,101.14
geoId-VNM,2018,100.34,100.54,100.37,100.36,100.44,100.5,100.62,100.72,100.83,100.98,101.25,101.68
geoId-VNM,2019,100.39,100.53,100.36,100.42,100.54,100.69,100.79,100.88,100.97,101.03,101.15,101.49
geoId-VNM,2020,100.33,100.21,100.06,99.89,99.88,99.88,99.95,99.91,100.01,100.08,100.22,100.37
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
