dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.0,100.2,100.0,99.9,100.2,100.7,100.9,101.1,101.5,104.6,106.6,107.1
geoId-VNM,2003,100.6,101.1,103.0,103.4,102.9,102.5,102.7,102.9,103.0,103.0,103.5,104.1
geoId-VNM,2004,100.8,102.3,104.4,104.8,105.0,104.8,104.8,105.4,105.9,106.4,106.9,107.4
geoId-VNM,2005,100.3,100.7,101.1,102.2,103.0,103.0,104.8,105.4,107.2,108.4,109.2,109.8
geoId-VNM,2006,100.8,101.5,101.6,101.3,102.3,103.4,104.1,105.2,106.1,105.6,105.4,105.9
geoId-VNM,2007,103.08,105.0,104.89,105.9,106.82,108.24,109.03,109.2,109.66,111.32,113.4,117.12
geoId-VNM,2008,102.88,104.31,108.01,110.84,112.17,114.34,116.25,118.78,118.03,116.76,111.08,108.46
geoId-VNM,2009,100.77,102.37,102.68,103.14,104.14,105.65,107.65,108.65,109.6,110.2,111.02,112.58
geoId-VNM,2010,101.66,103.44,104.87,107.5,109.07,109.08,108.57,108.64,109.82,110.96,112.89,115.74
geoId-VNM,2011,101.33,102.17,105.92,110.56,114.09,114.73,115.14,116.16,116.59,116.56,116.7,117.29
geoId-VNM,2012,101.71,104.22,106.63,106.16,105.13,103.86,102.89,104.98,107.27,108.44,109.01,109.18
geoId-VNM,2013,100.36,100.81,100.9,100.46,99.93,99.95,100.38,101.26,102.18,102.69,103.11,105.49
geoId-VNM,2014,101.02,100.37,99.63,99.07,99.5,100.11,100.55,100.23,99.85,99.77,99.04,98.05
geoId-VNM,2015,98.91,98.5,98.66,99.49,100.75,101.06,101.28,100.82,100.14,100.13,100.45,100.95
geoId-VNM,2016,100.3,99.88,99.87,100.58,101.47,102.03,102.17,102.15,102.25,102.57,103.06,103.26
geoId-VNM,2017,100.57,101.34,101.85,101.61,101.59,102.12,102.16,103.11,103.82,104.47,104.43,104.67
geoId-VNM,2018,100.55,100.46,100.18,100.36,100.7,101.36,101.73,102.18,102.39,102.71,102.05,101.14
geoId-VNM,2019,100.35,101.04,101.84,102.45,103.76,103.55,103.52,103.86,103.99,104.53,104.67,105.12
geoId-VNM,2020,101.47,101.44,101.19,98.84,99.08,98.67,99.13,99.23,99.85,100.15,100.21,100.19
geoId-VNM,2021,97.69,101.59,101.84,101.4,101.8,102.44,103.35,103.35,101.29,101.03,101.5,101.04
geoId-VNM,2022,100.07,100.99,102.49,103.08,102.95,102.94,103.44,103.71,104.69,105.41,106.43,107.14
