dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.2,100.3,100.2,100.2,100.4,100.4,100.5,100.3,100.2,100.2,100.3,100.5
geoId-VNM,2003,100.7,101.2,109.4,112.2,113.7,113.5,114.0,114.3,117.4,119.7,120.8,120.9
geoId-VNM,2004,100.7,101.2,104.3,105.6,106.7,106.6,107.7,108.6,108.7,108.9,109.0,109.1
geoId-VNM,2005,100.4,100.8,101.1,101.7,102.1,102.6,103.0,103.2,103.7,104.1,104.6,104.9
geoId-VNM,2006,100.5,101.0,101.5,101.6,102.1,102.6,102.9,103.2,103.4,103.9,104.1,104.3
geoId-VNM,2007,100.22,100.62,100.91,101.43,102.05,102.87,103.58,104.26,105.2,106.06,106.4,107.05
geoId-VNM,2008,100.67,101.13,101.87,102.7,103.19,103.87,105.95,107.25,108.12,108.75,109.05,109.43
geoId-VNM,2009,100.47,100.83,101.12,101.37,101.55,101.82,102.19,102.35,102.55,102.71,102.8,103.26
geoId-VNM,2010,100.27,100.69,101.03,101.36,101.63,101.84,102.07,102.49,102.85,103.12,103.73,104.16
geoId-VNM,2011,100.36,100.66,101.38,102.42,103.65,103.91,104.32,104.58,104.88,105.35,105.56,105.81
geoId-VNM,2012,100.25,100.54,101.02,101.28,101.61,102.08,105.51,111.25,130.18,137.91,145.03,145.23
geoId-VNM,2013,107.4,108.02,108.1,112.01,113.78,113.88,113.94,118.62,118.67,118.79,118.87,118.97
geoId-VNM,2014,100.17,100.22,100.29,100.33,100.39,101.13,101.18,101.41,101.64,102.18,102.22,102.25
geoId-VNM,2015,100.29,100.33,100.37,100.56,100.59,100.97,101.12,101.16,101.59,101.6,101.65,101.79
geoId-VNM,2016,100.21,100.27,124.68,125.24,125.31,125.37,125.4,133.14,133.16,146.57,147.89,155.72
geoId-VNM,2017,101.01,101.23,108.83,117.59,117.64,117.66,118.08,121.46,121.76,124.36,124.62,127.79
geoId-VNM,2018,101.83,101.89,103.92,103.94,103.97,104.0,97.91,97.93,97.97,97.99,98.0,103.65
geoId-VNM,2019,100.01,100.03,100.06,100.07,100.01,100.05,100.07,102.88,102.87,102.91,102.95,102.99
geoId-VNM,2020,100.17,100.29,100.34,100.37,100.42,100.43,100.45,100.47,100.48,100.5,100.5,100.51
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
