dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,104.0,106.8,105.6,103.7,103.2,100.6,99.2,99.1,99.7,99.9,101.0,102.6
geoId-VNM,2003,101.6,102.8,101.9,101.3,100.4,98.8,97.6,97.7,97.7,98.2,100.9,102.9
geoId-VNM,2004,102.1,103.6,106.5,108.4,110.9,111.5,111.2,112.1,112.5,112.3,113.1,114.3
geoId-VNM,2005,101.4,103.9,104.9,105.4,105.6,105.1,104.5,104.5,104.7,105.3,106.5,107.8
geoId-VNM,2006,102.1,103.8,104.0,104.4,104.7,104.9,105.3,105.6,106.0,107.4,111.5,114.1
geoId-VNM,2007,101.8,104.61,104.56,104.46,105.11,105.56,106.13,107.05,107.96,109.15,112.06,115.4
geoId-VNM,2008,103.35,106.71,117.91,125.12,152.88,159.44,158.85,157.1,154.35,151.41,146.71,143.25
geoId-VNM,2009,99.96,100.78,102.06,102.09,101.71,100.59,99.67,99.25,98.41,98.44,100.62,107.54
geoId-VNM,2010,104.41,107.48,106.51,104.48,103.13,102.27,101.28,101.96,104.33,106.3,112.7,117.96
geoId-VNM,2011,102.28,103.82,106.09,108.71,110.63,111.0,109.8,110.53,112.22,113.64,117.34,118.98
geoId-VNM,2012,99.86,99.45,98.25,96.59,96.07,95.32,93.9,93.49,93.82,94.17,94.21,94.34
geoId-VNM,2013,100.15,100.52,99.93,99.07,98.38,97.77,97.48,98.16,98.57,99.46,100.75,101.98
geoId-VNM,2014,101.33,102.02,101.89,101.62,101.1,100.67,100.03,100.48,100.84,101.04,101.16,101.3
geoId-VNM,2015,100.03,100.16,99.92,99.61,99.15,98.54,98.16,98.01,97.77,97.6,97.91,98.35
geoId-VNM,2016,100.48,101.14,101.37,102.5,103.19,102.94,102.28,101.93,102.09,102.12,102.34,102.57
geoId-VNM,2017,100.47,100.73,100.88,101.04,100.98,100.46,100.38,100.7,100.84,101.42,102.55,103.12
geoId-VNM,2018,100.47,101.91,102.27,102.4,102.43,101.97,101.03,101.13,101.42,101.57,101.84,102.01
geoId-VNM,2019,100.52,101.05,100.49,100.1,99.73,99.39,99.44,99.75,100.06,100.1,100.37,100.82
geoId-VNM,2020,100.79,101.12,102.22,104.35,104.27,103.86,103.64,104.27,104.82,104.99,105.61,106.07
geoId-VNM,2021,100.83,102.61,102.62,102.61,102.52,102.23,102.6,103.31,103.44,103.26,103.49,103.86
geoId-VNM,2022,100.08,100.43,100.61,100.82,101.1,101.26,101.57,101.76,101.68,101.81,102.41,102.91
