Vùng,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-SCC,104.7,112.4,108.2,109.7,114.33,103.26,112.08,112.27,105.5,112.16,115.25,106.4,113.76,109.38,111.2,111.7,109.86
geoId-VNM,105.6,111.6,112.1,110.5,111.16,111.9,112.29,113.8,112.15,112.81,112.21,112.1,114.81,111.51,112.06,112.0,111.56
geoId-NT,101.8,109.1,114.2,108.5,109.9,110.41,108.2,112.36,116.06,114.25,122.6,117.8,116.62,114.16,112.67,114.09,113.35
geoId-TNN,108.5,117.3,116.7,105.6,108.19,104.34,98.42,114.12,107.95,104.19,117.3,102.9,111.01,108.57,105.97,108.0,108.84
geoId-ST,106.8,117.5,116.8,109.9,105.92,108.75,111.93,114.2,108.95,114.17,103.1,109.0,128.04,111.03,109.82,119.5,111.2
geoId-MRD,103.8,107.9,102.8,109.9,108.32,114.93,111.47,103.77,114.06,103.69,102.88,116.5,113.49,106.9,107.2,107.94,107.52
geoId-RRD,109.3,110.8,119.0,115.3,116.25,122.44,120.94,124.56,118.04,120.68,113.67,116.2,108.59,115.5,113.63,110.58,115.26
