dia phuong,Năm,Tổng số,Trong nước,Ngoài nước
geoId-VNM,1995,30910.5,17965.0,12945.5
geoId-VNM,1996,38710.0,19479.7,19230.3
geoId-VNM,1997,45306.7,21207.8,24098.9
geoId-VNM,1998,46336.7,26706.7,19630.0
geoId-VNM,1999,50054.6,30983.1,19071.5
geoId-VNM,2000,55629.7,32484.5,23145.2
geoId-VNM,2001,63164.4,34148.7,29015.7
geoId-VNM,2002,69417.9,37736.6,31681.3
geoId-VNM,2003,80029.5,39871.9,40157.6
geoId-VNM,2004,90504.8,43487.0,47017.8
geoId-VNM,2005,100728.3,39605.2,61123.1
geoId-VNM,2006,113550.0,35638.2,77911.8
geoId-VNM,2007,134883.0,43162.5,91720.5
geoId-VNM,2008,172859.1,59982.1,112877.0
geoId-VNM,2009,200887.86,66293.03,134594.83
geoId-VNM,2010,220217.44,75484.0,144733.44
geoId-VNM,2011,218579.27,81795.03,136784.23
geoId-VNM,2012,218463.44,88717.08,129746.36
geoId-VNM,2013,220925.31,94559.25,126366.07
geoId-VNM,2014,226219.19,97274.28,128944.91
geoId-VNM,2015,233492.24,104110.46,129381.78
geoId-VNM,2016,245424.45,113349.67,132074.78
geoId-VNM,2017,260231.87,123398.54,136833.33
geoId-VNM,2018,277903.27,143016.17,134887.11
geoId-VNM,2019,297238.74,156289.17,140949.57
geoId-VNM,2020,286333.13,157102.4,129230.73
geoId-VNM,2021,188322.67,104010.61,84312.06
geoId-VNM,Sơ bộ 2022,223387.45,128447.79,94939.67
