dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài Nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2000,37075.3,4358.2,32358.6,358.5
geoId-VNM,2001,38180.1,4474.4,33356.6,349.1
geoId-VNM,2002,39275.9,4633.5,34216.5,425.9
geoId-VNM,2003,40403.9,4919.1,34731.5,753.3
geoId-VNM,2004,41578.8,5031.0,35633.0,914.8
geoId-VNM,2005,42774.9,4967.4,36694.7,1112.8
geoId-VNM,2006,43980.3,4916.0,37742.3,1322.0
geoId-VNM,2007,45208.0,4988.4,38657.4,1562.2
geoId-VNM,2008,46460.8,5059.3,39707.1,1694.4
geoId-VNM,2009,47743.6,5040.6,41178.4,1524.6
geoId-VNM,2010,49124.4,5025.2,42370.0,1729.2
geoId-VNM,2011,50547.2,5024.8,43423.8,2098.6
geoId-VNM,2012,51690.5,5017.4,44423.3,2249.8
geoId-VNM,2013,52507.8,4994.9,44994.6,2518.3
geoId-VNM,2014,53030.6,4893.2,45269.3,2868.1
geoId-VNM,2015,53110.5,4779.9,45132.8,3197.8
geoId-VNM,2016,53345.5,4702.3,45052.2,3591.0
geoId-VNM,2017,53708.6,4595.4,44905.4,4207.8
geoId-VNM,2018,54282.5,4525.9,45215.4,4541.2
geoId-VNM,2019,54659.2,4226.2,45664.6,4768.4
geoId-VNM,2020,53609.6,4098.4,44777.4,4733.8
geoId-VNM,2021,49072.0,3951.7,40534.0,4586.3
geoId-VNM,Sơ bộ 2022,50604.71,3995.04,41533.2,5076.48
