Địa phương,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-SLA,8.9,10.0,11.4,12.3,12.1,12.3,13.24,12.5,12.3,12.8,14.9,11.2,13.1,16.78,18.51
geoId-THA,11.2,11.9,10.1,18.6,14.8,16.7,14.47,19.0,18.8,19.9,19.4,19.4,21.39,25.14,26.4
geoId-TBH,13.9,12.6,15.2,12.8,14.2,13.6,15.84,15.3,15.1,15.5,18.4,15.3,17.89,19.34,19.58
geoId-TNN,17.8,18.5,17.4,19.9,21.5,22.2,20.8,25.2,25.7,26.0,24.7,27.2,28.24,35.4,35.93
geoId-TTH,16.3,15.3,17.6,18.0,19.0,20.2,22.2,23.9,24.1,24.3,22.7,22.7,23.15,28.73,29.81
geoId-TGG,8.6,8.9,8.7,9.7,7.9,9.8,9.14,12.7,11.5,10.2,11.8,11.7,14.2,13.84,13.29
geoId-HCM,31.1,26.1,26.6,28.8,28.1,31.2,32.26,34.0,34.7,36.6,36.8,37.1,38.71,35.55,35.62
geoId-NT,12.2,13.2,13.6,13.9,14.7,15.9,15.96,17.6,17.6,18.1,18.4,18.2,20.46,25.89,26.36
geoId-TVH,7.7,6.9,8.0,7.8,12.7,12.4,13.21,10.4,11.5,12.1,10.9,11.8,11.56,10.77,12.1
geoId-TQG,14.6,12.4,14.3,11.3,16.3,16.9,19.57,20.7,20.2,16.1,19.4,20.7,21.32,23.07,21.63
geoId-TNN,11.4,10.9,10.4,10.9,12.2,13.3,12.53,13.0,13.3,13.5,14.2,14.3,16.86,17.0,17.62
geoId-TNH,9.4,8.8,9.6,9.1,10.3,11.8,11.88,14.2,14.1,14.1,14.8,12.7,14.7,16.01,17.82
geoId-VLG,6.6,8.4,7.7,9.2,10.9,10.4,11.94,13.8,14.9,15.7,18.1,15.3,15.79,15.56,14.46
geoId-VPC,14.5,14.1,14.7,15.4,19.4,20.9,21.05,22.3,22.0,22.1,22.4,24.9,28.59,34.68,34.89
geoId-YBI,11.7,12.4,11.3,13.3,12.1,13.6,13.75,16.9,16.0,16.6,20.0,17.5,19.09,22.2,22.9
geoId-DBN,10.6,11.6,13.3,13.4,17.2,19.3,20.38,21.0,20.1,21.0,15.6,16.1,16.2,18.78,18.05
geoId-DNG,32.4,32.4,31.7,32.7,34.7,36.3,37.76,41.7,41.1,40.9,42.6,44.6,44.04,48.14,48.54
geoId-ST,22.5,19.6,19.4,20.6,21.0,23.5,24.18,25.4,26.2,27.5,28.0,28.1,29.47,28.34,28.19
geoId-DLK,10.5,11.5,12.4,10.6,12.9,15.0,13.62,13.3,13.9,14.1,14.5,14.6,17.2,18.28,17.98
geoId-DNG1,8.0,7.7,6.2,7.2,8.4,9.2,8.04,10.3,10.5,12.1,13.9,14.1,14.33,15.41,14.73
geoId-MRD,7.8,7.9,7.8,8.6,9.0,10.4,10.38,11.7,12.2,12.9,13.4,13.3,14.85,14.61,14.53
geoId-RRD,18.1,20.9,21.0,21.3,24.2,25.5,26.58,28.7,29.3,29.7,29.6,32.4,32.62,36.96,37.14
geoId-DNI,13.0,14.3,11.4,12.2,13.8,15.9,15.4,18.6,20.6,21.5,20.1,20.0,22.5,21.89,22.28
geoId-DTP,4.5,6.4,5.9,7.5,7.0,9.3,8.82,11.0,11.9,15.3,11.4,13.5,14.97,14.27,14.44
