"Tỉnh, thành phố",2005,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-NT,32.0,76.0,89.0,78.0,87.0,91.0,101.0,101.0,85.0,85.0,85.0
geoId-TVH,2.0,4.0,4.0,3.0,3.0,5.0,7.0,7.0,7.0,7.0,7.0
geoId-TQG,,4.0,5.0,5.0,5.0,8.0,7.0,7.0,6.0,5.0,5.0
geoId-TNN,17.0,24.0,23.0,25.0,25.0,29.0,30.0,37.0,36.0,36.0,37.0
geoId-TNH,8.0,8.0,8.0,4.0,4.0,5.0,8.0,12.0,12.0,11.0,12.0
geoId-VLG,4.0,4.0,5.0,4.0,6.0,8.0,6.0,6.0,5.0,5.0,5.0
geoId-VPC,5.0,5.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0
geoId-YBI,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0
geoId-DBN,,9.0,7.0,8.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0
geoId-DNG,21.0,39.0,39.0,53.0,64.0,64.0,70.0,70.0,71.0,71.0,73.0
geoId-ST,110.0,223.0,210.0,212.0,227.0,245.0,250.0,260.0,290.0,287.0,295.0
geoId-DLK,1.0,4.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0
geoId-DNG1,,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
geoId-MRD,29.0,51.0,57.0,59.0,71.0,91.0,94.0,101.0,109.0,160.0,217.0
geoId-RRD,107.0,173.0,221.0,268.0,273.0,290.0,276.0,302.0,317.0,318.0,328.0
geoId-DNI,5.0,7.0,8.0,9.0,13.0,12.0,12.0,12.0,11.0,12.0,12.0
geoId-DTP,4.0,2.0,2.0,4.0,6.0,8.0,6.0,8.0,9.0,9.0,9.0
