dia phuong,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,55.1,52.9,52.3,51.5,48.6,48.4,47.5,46.8,46.2,43.6,41.6,40.0,37.6,34.5,33.06,29.06,27.54
