dia phuong,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,11.8,12.5,12.9,13.5,14.4,13.9,13.8,14.0,14.5,15.9,17.0,17.8,18.4,20.7,21.08,22.84,23.25
