"Tỉnh, thành phố",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-TTH,1015.0,940.0,853.0,863.0,589.0,660.0,736.0,784.0,685.0,663.0,654.0,730.0
geoId-TGG,1426.0,1214.0,1273.0,1165.0,1450.0,1187.0,1443.0,1538.0,1640.0,1751.0,1548.0,1264.0
geoId-HCM,5414.0,5193.0,3160.0,2891.0,3690.0,5139.0,7610.0,6430.0,5125.0,6890.0,7847.0,2449.0
geoId-NT,14147.0,10521.0,10829.0,12329.0,12662.0,14327.0,14051.0,14752.0,15551.0,16464.0,16582.0,16538.0
geoId-TVH,1411.0,1227.0,1245.0,949.0,998.0,1289.0,1423.0,1390.0,1517.0,1408.0,1203.0,1103.0
geoId-TQG,1134.0,1120.0,1206.0,1082.0,1001.0,1055.0,983.0,966.0,805.0,776.0,770.0,892.0
geoId-TNN,4505.0,4143.0,5321.0,5640.0,5966.0,6092.0,5829.0,5721.0,5630.0,5628.0,5990.0,6219.0
geoId-TNH,2009.0,1754.0,1626.0,1750.0,1340.0,1428.0,1454.0,1951.0,2128.0,2135.0,2362.0,2123.0
,85885.0,84366.0,81313.0,86621.0,89843.0,93422.0,102488.0,102532.0,103849.0,110086.0,112504.0,101733.0
geoId-VLG,958.0,1238.0,1202.0,1218.0,1255.0,1312.0,1441.0,1368.0,1444.0,1462.0,1493.0,1332.0
geoId-VPC,1965.0,1618.0,1274.0,770.0,1300.0,1345.0,1164.0,1544.0,1665.0,1781.0,1895.0,2006.0
geoId-YBI,837.0,818.0,752.0,776.0,746.0,775.0,751.0,840.0,930.0,888.0,897.0,952.0
geoId-DBN,853.0,488.0,573.0,579.0,515.0,538.0,447.0,465.0,487.0,532.0,568.0,583.0
geoId-DNG,688.0,952.0,1178.0,751.0,970.0,813.0,728.0,589.0,689.0,673.0,671.0,609.0
geoId-ST,11957.0,11355.0,10338.0,10875.0,11271.0,13736.0,16917.0,13859.0,12732.0,14705.0,16438.0,9144.0
geoId-DLK,1671.0,793.0,1762.0,1862.0,1693.0,1858.0,1404.0,1718.0,1796.0,1448.0,1501.0,1638.0
geoId-DNG1,632.0,526.0,598.0,539.0,573.0,609.0,629.0,597.0,563.0,563.0,599.0,566.0
geoId-MRD,18084.0,19063.0,18602.0,17715.0,19303.0,19371.0,21249.0,19018.0,18290.0,18333.0,18552.0,16594.0
geoId-RRD,23793.0,22619.0,18841.0,22345.0,21618.0,20659.0,24484.0,27801.0,29797.0,31669.0,31767.0,29953.0
geoId-DNI,2340.0,1908.0,2045.0,2503.0,2144.0,2436.0,2966.0,2330.0,2496.0,2544.0,3139.0,1857.0
geoId-DTP,1082.0,1170.0,1381.0,1515.0,1843.0,1978.0,2094.0,1915.0,1479.0,1465.0,1275.0,1235.0
