Vùng,năm,Tổng số,Chung cư,Nhà ở riêng lẻ
geoId-SCC,2019,184.0,184.0,
geoId-VNM,2019,14030.0,12621.0,1409.0
geoId-NT,2019,556.0,556.0,
geoId-ST,2019,1856.0,1856.0,
geoId-MRD,2019,1409.0,,1409.0
geoId-RRD,2019,10025.0,10025.0,
