"Tỉnh, thành phố",Năm,Tổng số,Đúng hạn,Quá hạn
geoId-LCI,2021,3927,2438,1489
geoId-LCI,2022,4377,2689,1688
geoId-LDG,2018,5968,4037,1931
geoId-LDG,2019,5634,2544,3090
geoId-LDG,2020,6231,4299,1932
geoId-LDG,2021,6199,3858,2341
geoId-LDG,2022,8267,5648,2619
geoId-LSN,2018,6061,3287,2774
geoId-LSN,2019,5853,3487,2366
geoId-LSN,2020,6452,3825,2627
geoId-LSN,2021,5907,3932,1975
geoId-LSN,2022,6850,4594,2256
geoId-NDH,2018,9550,7744,1806
geoId-NDH,2019,7845,7056,789
geoId-NDH,2020,12304,10723,1581
geoId-NDH,2021,13084,11267,1817
geoId-NDH,2022,15007,12824,2183
geoId-NAN,2018,18912,11289,7623
geoId-NAN,2019,20330,12709,7621
geoId-NAN,2020,19945,13082,6863
geoId-NAN,2021,20388,13476,6912
geoId-NAN,2022,24270,15389,8881
geoId-NBH,2018,5597,4581,1016
geoId-NBH,2019,4749,3836,913
geoId-NBH,2020,6052,5084,968
geoId-NBH,2021,6116,5095,1021
geoId-NBH,2022,7032,5921,1111
geoId-NTN,2018,4193,2505,1688
geoId-NTN,2019,4032,2221,1811
geoId-NTN,2020,4175,2459,1716
geoId-NTN,2021,4444,2621,1823
geoId-NTN,2022,5064,2770,2294
geoId-PTO,2018,8040,7230,810
geoId-PTO,2019,7714,7137,577
geoId-PTO,2020,8121,7337,784
geoId-PTO,2021,8597,7921,676
geoId-PTO,2022,9732,8733,999
geoId-PYN,2018,5891,4252,1639
geoId-PYN,2019,4810,3546,1264
geoId-PYN,2020,5260,3951,1309
geoId-PYN,2021,5606,4069,1537
geoId-PYN,2022,6837,5050,1787
geoId-QBH,2018,6089,3931,2158
geoId-QBH,2019,5879,3480,2399
geoId-QBH,2020,5862,3545,2317
geoId-QBH,2021,5976,3635,2341
geoId-QBH,2022,6892,4007,2885
geoId-QNM,2018,13030,5930,7100
geoId-QNM,2019,11235,5586,5649
geoId-QNM,2020,11541,5595,5946
geoId-QNM,2021,12807,6138,6669
geoId-QNM,2022,15194,6808,8386
geoId-QNI,2018,12236,5147,7089
geoId-QNI,2019,11741,4997,6744
geoId-QNI,2020,10041,4580,5461
geoId-QNI,2021,10319,5335,4984
geoId-QNI,2022,14133,5910,8223
geoId-QNH,2018,7145,5477,1668
geoId-QNH,2019,6976,5538,1438
geoId-QNH,2020,7021,5821,1200
geoId-QNH,2021,6974,5841,1133
geoId-QNH,2022,7607,6328,1279
geoId-QTI,2018,3728,2568,1160
geoId-QTI,2019,4114,2841,1273
geoId-QTI,2020,4448,2899,1549
geoId-QTI,2021,4546,2815,1731
geoId-QTI,2022,5371,2960,2411
geoId-STG,2018,12746,6129,6617
geoId-STG,2019,10661,6387,4274
geoId-STG,2020,10985,6703,4282
geoId-STG,2021,9189,5044,4145
geoId-STG,2022,14239,8047,6192
geoId-SLA,2018,6288,3541,2747
geoId-SLA,2019,5711,3696,2015
geoId-SLA,2020,5525,3466,2059
geoId-SLA,2021,6094,3989,2105
geoId-SLA,2022,7215,4838,2377
geoId-THA,2018,25053,17011,8042
geoId-THA,2019,24490,17757,6733
geoId-THA,2020,27175,19211,7964
geoId-THA,2021,27378,20265,7113
geoId-THA,2022,32852,22853,9999
geoId-TBH,2018,12056,11259,797
geoId-TBH,2019,12439,11806,633
geoId-TBH,2020,12889,11930,959
geoId-TBH,2021,13475,12432,1043
geoId-TBH,2022,16372,14749,1623
geoId-TNN,2018,7255,5662,1593
geoId-TNN,2019,6831,5751,1080
geoId-TNN,2020,7140,6009,1131
geoId-TNN,2021,6962,5846,1116
geoId-TNN,2022,8266,6945,1321
geoId-TTH,2018,9816,4250,5566
geoId-TTH,2019,10354,4257,6097
geoId-TTH,2020,11024,4103,6921
geoId-TTH,2021,11587,4688,6899
geoId-TTH,2022,15662,5511,10151
geoId-TGG,2018,12325,10173,2152
geoId-TGG,2019,12411,10423,1988
