"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HPG,5.2,6.0,7.2,8.5,9.7,10.3,10.7,10.5,11.1,12.1,13.8,16.4,17.9,16.5,17.4,17.1,16.7,15.9,14.0,13.7,13.7,13.3,13.5,13.0,10.9,9.8,8.0,7.3
geoId-HGG,,,,,,,,,,1.6,2.5,3.5,3.4,2.8,2.6,2.6,1.7,1.5,1.3,1.7,2.2,2.9,3.9,3.6,3.6,3.7,3.5,3.7
geoId-KHA,69.6,73.3,71.2,72.7,70.8,62.6,46.8,50.2,55.9,60.7,69.1,97.8,106.1,84.8,81.6,76.1,73.3,71.2,71.7,73.3,73.2,84.9,84.0,81.0,80.8,77.5,63.3,62.7
geoId-KGG,9.1,9.2,9.1,9.9,10.2,10.5,8.6,9.2,10.2,10.3,13.3,14.0,18.0,17.0,15.6,13.8,12.2,10.7,9.6,10.8,11.5,11.3,12.1,13.4,11.6,11.5,9.7,10.4
geoId-KTM,45.7,62.4,65.8,69.7,70.4,61.6,61.7,51.9,56.6,62.6,67.4,77.6,82.2,80.7,74.4,74.1,68.8,63.4,62.2,60.0,62.3,68.2,73.9,77.8,78.2,80.7,83.8,84.0
geoId-LCU,15.0,16.4,17.9,22.3,21.8,22.7,26.9,28.9,30.6,11.1,12.4,11.9,12.4,13.6,14.3,15.1,14.9,14.9,15.1,15.9,17.1,17.0,18.1,19.3,19.0,20.5,23.4,24.7
geoId-LAN,18.2,18.2,17.9,18.9,18.4,22.5,25.6,32.1,37.9,49.1,72.8,91.1,87.6,90.9,85.5,81.7,78.8,79.0,80.3,89.3,94.0,142.3,113.8,114.9,113.5,112.6,116.6,117.1
geoId-LCI,8.7,9.9,10.6,11.3,15.9,17.6,17.9,18.5,19.2,16.6,19.5,23.2,23.9,23.3,23.9,23.4,17.2,16.4,14.6,14.7,16.4,17.0,19.4,19.3,20.8,21.7,22.2,22.9
geoId-LDG,51.1,59.8,61.6,62.8,65.1,57.4,41.5,41.6,54.8,70.4,93.0,107.8,107.5,74.9,75.6,73.7,72.1,71.3,68.0,76.7,85.5,96.0,105.4,106.9,96.5,96.6,99.2,101.4
geoId-LSN,33.0,34.1,36.2,39.4,43.0,42.5,45.3,46.0,48.4,48.8,52.7,51.6,57.1,50.4,45.6,44.3,38.0,31.9,31.9,32.8,35.7,36.9,37.9,31.7,32.4,33.6,28.2,27.9
geoId-NDH,22.8,20.6,21.7,23.9,27.9,28.4,27.0,27.1,29.4,34.1,39.0,46.0,47.5,41.4,37.4,38.2,37.0,35.7,34.5,33.3,32.1,31.8,30.9,29.7,28.9,28.4,28.0,27.6
geoId-NAN,238.3,245.3,252.1,257.2,261.4,268.1,286.9,294.7,315.2,350.0,387.7,433.1,445.3,408.9,411.6,396.0,382.4,378.9,382.4,391.2,428.8,446.4,454.7,465.8,471.9,485.9,503.4,519.2
geoId-NBH,24.4,22.1,21.2,23.7,27.3,28.9,30.5,31.5,34.9,40.3,48.9,59.6,60.0,50.0,43.3,34.6,30.7,30.8,28.6,29.9,32.9,41.2,42.7,41.4,37.0,36.9,34.3,35.0
geoId-NTN,68.6,69.4,92.3,78.8,82.4,80.3,78.7,81.3,99.2,106.6,108.0,108.1,110.1,112.4,113.7,114.1,105.3,94.3,89.2,84.5,91.7,112.7,112.4,120.0,118.8,120.1,119.8,120.1
geoId-PTO,92.0,94.1,98.5,99.6,101.0,100.5,96.9,99.7,105.2,115.1,129.3,156.7,163.4,142.8,128.0,122.1,100.1,91.9,91.1,96.1,105.2,121.6,123.0,116.4,106.6,105.6,98.8,95.2
geoId-PYN,163.8,172.8,174.7,176.6,178.1,179.0,136.8,143.0,164.6,188.3,201.6,228.6,233.6,191.8,191.4,189.6,177.9,176.4,178.9,176.9,175.9,193.8,199.0,203.3,172.4,168.8,165.5,163.1
geoId-QBH,126.2,126.1,128.0,128.2,130.1,130.9,105.1,104.4,105.4,107.0,109.5,123.1,130.0,132.7,132.3,125.2,100.6,95.0,87.0,89.2,96.1,103.6,107.5,104.7,100.7,104.6,104.2,98.9
geoId-QNM,191.8,195.4,205.8,211.4,212.0,212.5,195.5,181.1,176.9,177.6,188.2,233.7,239.7,228.3,210.3,197.1,149.8,148.2,143.4,151.2,167.4,192.5,183.1,174.5,171.0,172.3,173.3,175.7
geoId-QNI,185.5,199.6,202.2,203.5,217.3,224.2,184.2,181.7,194.2,219.6,243.7,284.6,287.8,277.4,274.6,278.3,269.6,273.1,273.9,274.3,278.9,277.1,277.4,277.8,277.3,279.3,279.8,280.7
geoId-QNH,10.8,11.6,12.3,13.7,14.3,14.6,12.5,15.2,15.8,18.9,24.1,28.5,30.2,27.4,26.0,24.9,21.7,19.2,17.5,19.1,22.1,23.0,25.3,26.7,30.0,31.7,32.8,28.1
geoId-QTI,67.2,72.5,73.4,65.7,59.2,62.7,57.8,55.1,57.7,61.8,66.0,65.9,77.5,69.1,67.9,56.0,57.3,58.3,59.2,65.2,67.6,69.4,67.5,62.9,56.6,55.4,55.6,62.0
geoId-STG,3.4,3.9,3.9,3.8,3.8,3.3,3.5,5.2,8.0,12.4,17.6,25.3,31.9,33.0,32.5,31.6,26.6,23.6,24.7,26.6,35.9,43.6,49.1,52.7,53.8,53.4,53.5,54.5
geoId-SLA,72.6,78.0,79.2,81.8,83.6,87.6,96.1,100.3,106.4,114.1,119.9,152.5,159.9,169.8,176.5,191.3,188.0,196.5,195.6,214.1,235.0,265.6,291.2,322.2,343.7,358.0,373.3,378.7
geoId-THA,209.4,213.9,218.8,221.5,225.2,233.6,233.6,236.2,243.3,282.3,335.4,387.0,390.0,351.3,273.5,244.8,229.8,210.8,211.9,216.0,224.1,239.0,253.8,255.0,256.4,260.4,257.1,252.6
geoId-TBH,40.3,40.6,44.1,49.0,54.0,57.4,40.2,41.0,43.6,47.4,54.0,63.7,66.8,64.2,65.4,64.4,60.1,49.9,44.1,41.6,41.8,42.7,46.6,48.6,49.5,49.9,49.9,51.6
geoId-TNN,12.0,18.7,19.1,20.9,22.0,23.4,25.6,26.1,32.4,39.9,43.3,56.0,57.0,55.0,43.8,42.9,30.8,34.8,36.1,36.6,40.2,44.5,44.2,42.3,42.9,46.3,51.2,49.6
geoId-TTH,26.2,27.7,27.0,30.0,23.3,22.2,18.0,19.0,20.4,21.5,23.0,28.2,28.0,26.9,25.9,23.9,22.6,21.4,21.0,22.4,25.3,33.6,36.0,34.3,30.0,28.8,28.4,28.2
geoId-TGG,8.5,8.0,8.0,8.2,11.0,11.0,15.7,16.9,22.6,30.9,40.8,63.5,65.1,67.4,65.7,72.7,72.4,71.1,76.5,78.4,88.3,123.7,121.5,118.9,119.5,121.2,122.9,115.1
geoId-HCM,39.9,41.5,39.2,39.5,39.9,39.7,45.9,53.2,62.2,69.0,80.3,98.4,99.4,106.0,107.4,99.0,102.0,109.0,112.0,127.0,131.0,128.0,125.0,136.0,131.0,130.0,99.5,100.5
geoId-NT,536.8,559.7,581.9,612.4,638.4,651.1,685.3,710.7,755.5,809.6,875.7,1026.6,1088.8,1058.9,1031.7,1037.4,924.6,904.6,897.0,928.4,989.4,1068.4,1127.9,1163.4,1179.6,1204.6,1213.3,1210.9
geoId-TVH,31.6,32.4,36.5,36.5,45.8,50.5,53.1,71.6,80.8,98.1,117.9,141.8,145.4,158.3,154.3,152.4,150.1,122.2,131.4,150.1,176.0,206.2,208.7,208.9,211.7,225.1,229.7,255.0
geoId-TQG,19.1,20.1,20.4,19.4,19.1,19.3,20.1,26.7,32.5,38.5,43.0,48.2,55.3,56.2,51.7,46.7,20.9,18.4,17.5,19.3,21.4,30.2,33.5,35.2,35.6,36.5,37.6,39.6
geoId-TNN,436.9,491.3,498.7,521.6,533.7,524.9,439.4,432.5,476.0,547.1,616.9,747.9,756.3,721.3,716.9,694.9,689.1,657.2,662.8,710.7,795.1,898.9,834.3,855.2,867.5,842.9,858.1,868.0
geoId-TNH,45.3,47.0,52.6,54.4,56.5,56.8,56.2,59.7,68.5,79.5,92.3,125.7,145.5,133.1,131.0,128.1,125.9,110.7,99.9,87.5,86.1,89.5,95.4,94.3,92.2,95.4,96.7,98.7
geoId-VLG,11.0,11.2,11.5,11.9,13.2,14.0,14.6,17.5,24.8,35.3,45.3,63.2,65.4,64.4,66.2,67.2,67.4,65.5,53.8,64.3,72.8,91.6,94.5,92.9,80.6,83.9,84.3,76.4
geoId-VPC,92.3,94.5,94.2,94.7,95.4,99.4,101.5,108.2,121.4,134.8,149.6,177.1,166.2,142.9,140.0,138.7,120.1,94.1,95.5,99.3,103.0,112.4,116.5,108.2,104.2,104.1,97.8,95.6
geoId-YBI,26.1,27.5,28.6,29.7,29.8,30.1,28.1,27.5,26.5,26.3,28.1,33.1,38.8,36.5,34.3,30.0,20.5,19.0,18.2,18.8,21.6,24.7,27.9,29.8,30.5,32.5,35.0,36.6
geoId-DBN,,,,,,,,,,25.4,27.7,29.9,32.2,34.7,36.3,39.1,40.4,42.0,44.4,47.4,50.1,52.8,61.9,68.4,76.8,82.4,94.9,98.2
geoId-DNG,14.5,15.8,19.5,18.0,18.2,20.1,16.6,16.2,15.9,15.9,15.5,14.9,16.1,15.8,16.4,17.6,12.2,13.3,13.8,16.1,17.4,17.1,18.0,18.2,17.8,17.6,18.1,12.1
geoId-ST,205.5,214.4,218.9,225.7,227.1,228.6,238.3,259.7,292.7,331.5,396.1,493.0,541.6,495.1,473.4,439.6,408.5,382.8,364.1,367.7,375.6,388.7,401.2,417.1,420.2,424.3,417.6,419.5
geoId-DLK,113.2,115.6,116.1,116.0,117.4,119.5,87.8,94.8,114.7,140.4,162.2,225.0,221.7,212.5,206.2,191.1,181.0,158.5,165.7,180.8,196.7,234.0,234.6,252.5,266.5,245.3,249.8,251.0
geoId-DNG1,,,,,,,,,,12.5,15.5,23.6,23.5,25.6,24.3,23.0,23.0,16.4,15.7,18.1,18.7,21.7,33.8,33.4,31.2,24.3,23.7,25.4
geoId-MRD,149.8,151.4,160.2,164.3,184.0,197.2,220.0,278.2,329.1,419.8,537.9,679.8,689.6,713.5,696.6,691.1,665.7,629.1,648.9,727.1,811.8,887.3,937.8,943.1,927.6,948.1,950.9,951.3
geoId-RRD,452.1,457.1,464.8,470.5,484.4,502.9,495.4,517.3,558.1,623.4,709.9,821.5,822.9,729.9,695.0,656.8,594.4,517.2,496.6,497.6,509.5,517.8,520.7,519.5,502.9,498.8,485.0,470.8
geoId-DNI,45.3,48.8,52.1,53.7,51.8,53.2,55.6,56.1,61.3,72.1,86.6,98.5,107.4,90.2,85.8,80.7,75.1,68.3,64.8,66.8,71.4,71.0,75.0,77.2,86.1,86.7,110.2,107.1
geoId-DTP,2.8,2.5,2.4,2.5,2.6,3.1,5.3,9.5,12.5,19.4,28.1,33.1,33.7,30.3,21.9,20.5,18.2,19.0,22.6,31.8,36.2,38.4,38.9,41.1,39.5,39.5,38.5,40.7
