Tỉnh/Thành phố,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HNM,-0.07,-0.21,-0.18,-0.1,0.02,0.07,0.68,0.48,0.43,1.13,0.96,0.91,0.88,0.87,0.86,1.55,0.32
geoId-HNI,2.02,1.37,,1.41,2.5,1.93,1.54,1.63,1.7,2.03,2.11,1.99,2.23,2.27,1.89,1.02,1.26
geoId-HNI,2.03,1.14,,,,,,,,,,,,,,,
geoId-HTH,-0.35,-0.37,-0.4,-0.5,0.4,0.42,0.44,0.48,0.49,0.48,0.43,0.59,0.49,0.76,0.49,1.34,0.24
geoId-HBH,2.01,1.65,,1.08,0.67,0.93,0.77,0.64,0.86,1.09,1.01,0.95,0.65,0.63,0.63,1.22,0.42
geoId-HYN,0.6,0.43,0.44,0.21,0.33,0.54,0.5,0.66,0.56,1.12,1.12,1.1,1.1,1.08,1.06,1.22,0.49
geoId-HDG,0.3,0.3,0.36,0.35,0.56,0.78,0.69,0.58,0.65,0.95,1.11,0.97,1.46,1.02,1.05,1.04,0.52
geoId-HPG,0.89,0.98,0.98,0.89,0.94,1.19,1.29,1.11,1.08,0.96,0.8,0.81,0.75,0.83,1.0,0.92,0.75
geoId-HGG,0.21,0.25,0.22,0.22,0.24,0.25,0.28,0.31,0.28,-0.35,-0.31,-0.38,-0.32,-0.37,-0.33,0.01,-0.06
geoId-KHA,0.99,1.09,1.04,0.77,0.53,0.61,0.75,0.7,0.71,0.52,0.74,0.76,0.67,0.68,0.62,0.61,0.47
geoId-KGG,1.3,1.04,1.05,0.96,0.6,0.72,0.76,0.61,0.64,0.12,0.19,0.24,0.31,0.32,0.3,1.36,-0.03
geoId-KTM,3.27,2.91,3.03,2.69,2.39,2.15,2.46,2.28,2.32,2.41,2.41,2.41,2.37,2.08,2.24,2.36,1.96
geoId-LCU,1.53,1.02,0.97,0.94,2.54,2.27,2.03,2.1,2.38,1.53,1.97,1.88,2.0,2.04,1.55,1.83,0.77
geoId-LAN,0.81,0.91,0.73,0.56,0.46,0.49,0.72,0.65,0.51,0.9,1.17,1.04,1.0,0.97,1.09,0.71,0.49
geoId-LCI,1.29,1.37,1.38,1.53,1.78,1.63,1.5,1.45,1.41,1.76,1.75,1.74,1.73,1.74,1.78,2.08,1.14
geoId-LDG,1.91,1.34,1.28,1.19,1.25,1.21,1.09,1.09,1.11,0.82,0.79,0.79,0.79,0.61,0.8,0.92,0.81
geoId-LSN,0.49,0.27,0.33,0.35,0.42,0.61,0.6,0.6,0.53,0.69,0.74,0.69,0.93,0.9,0.75,1.04,0.65
geoId-NDH,-0.45,-0.53,-0.19,0.12,0.09,0.19,0.09,0.26,0.31,-0.26,-0.25,-0.24,-0.22,-0.19,-0.03,3.14,2.21
geoId-NAN,0.19,0.18,0.24,0.08,0.67,0.75,0.92,0.94,0.87,1.42,1.34,1.36,1.38,1.39,0.84,1.33,0.21
geoId-NBH,0.14,0.16,0.23,0.16,0.24,0.66,1.26,0.87,0.93,0.98,0.88,0.9,0.96,1.01,0.95,1.37,0.32
geoId-NTN,0.81,0.8,0.88,0.9,0.66,0.81,0.91,0.94,0.94,0.5,0.55,0.67,0.6,0.37,0.44,0.41,0.44
geoId-PTO,0.43,0.31,0.45,0.39,0.46,0.51,0.86,0.78,0.67,1.36,1.2,1.52,1.34,1.16,1.06,1.73,0.62
geoId-PYN,0.75,0.71,0.75,0.66,0.43,0.45,0.7,0.67,0.61,0.06,0.23,0.22,0.17,0.19,0.13,0.14,0.12
geoId-QBH,0.64,0.48,0.6,0.18,0.42,0.56,0.57,0.59,0.56,0.59,0.58,0.58,0.61,0.61,0.6,0.96,0.35
geoId-QNM,0.31,0.22,0.27,0.37,0.71,0.66,0.71,0.71,0.59,0.57,0.52,0.51,0.5,0.45,0.51,0.89,0.06
geoId-QNI,0.3,0.18,0.18,0.02,0.31,0.35,0.37,0.52,0.42,0.14,0.1,0.12,0.13,0.11,0.12,0.87,0.12
geoId-QNH,1.33,1.19,1.12,0.97,0.97,0.93,0.83,0.82,1.01,1.13,1.58,1.9,1.46,1.61,0.96,0.99,0.89
geoId-QTI,0.29,0.38,0.44,0.31,0.52,0.51,0.57,0.8,0.55,0.58,0.59,0.61,0.7,0.59,0.6,1.63,0.3
geoId-STG,0.7,0.84,0.69,0.63,0.19,0.21,0.24,0.24,0.24,-0.75,-0.71,-0.75,-0.78,-0.77,-0.32,0.93,-0.75
geoId-SLA,2.0,1.67,1.57,1.12,1.83,1.79,1.41,1.42,1.38,1.52,1.49,1.55,1.62,1.59,1.43,1.35,0.96
geoId-THA,-0.18,-0.31,-0.25,-0.13,0.52,0.47,0.59,0.57,0.53,0.85,0.96,0.92,0.77,0.4,0.53,1.4,0.15
geoId-TBH,-0.04,-0.19,-0.07,0.02,0.09,0.07,0.08,0.04,0.03,0.43,0.42,0.43,0.43,0.43,0.43,0.2,0.25
geoId-TNN,0.87,0.59,0.65,0.45,0.53,0.72,0.85,0.6,1.49,2.72,0.98,1.07,1.39,1.37,1.31,1.17,0.97
geoId-TTH,0.4,0.38,0.36,0.25,0.3,1.12,0.98,0.79,0.8,0.28,0.3,0.48,0.19,0.36,0.37,1.78,0.56
geoId-TGG,0.45,0.38,0.39,0.29,0.31,0.27,0.59,0.65,0.75,0.73,0.66,0.67,0.41,0.41,0.35,0.39,0.33
geoId-HCM,3.71,3.75,3.27,3.61,2.09,2.07,2.16,2.08,2.07,2.11,2.06,2.01,2.24,2.21,2.09,-0.66,2.43
geoId-NT,1.1,0.92,-0.06,0.69,1.0,1.04,1.03,1.04,1.14,1.43,1.29,1.41,1.42,1.33,1.25,1.57,0.74
geoId-TVH,0.39,0.35,0.36,0.24,0.48,0.5,0.52,0.54,0.53,0.06,0.07,0.05,0.07,0.05,0.06,0.86,0.06
geoId-TQG,0.66,0.52,0.56,0.24,0.57,0.76,0.8,0.87,0.88,0.88,0.95,0.93,1.02,1.02,0.84,1.11,0.51
geoId-TNN,2.23,1.79,1.79,1.83,1.47,1.49,1.54,1.54,1.47,1.36,1.3,1.21,1.24,1.12,1.21,1.71,0.97
geoId-TNH,0.87,0.63,0.71,0.63,0.66,0.72,0.71,0.66,0.67,0.82,0.86,1.0,0.83,0.95,0.57,0.3,0.58
geoId-VLG,0.14,0.13,0.12,0.1,0.14,0.25,0.53,0.32,0.36,-0.06,-0.03,-0.02,0.01,-0.01,0.03,0.59,-0.02
geoId-VPC,1.03,0.69,,0.66,0.72,0.38,1.09,0.68,1.22,1.26,1.45,1.54,1.36,1.45,1.42,1.75,0.49
geoId-YBI,0.85,0.86,0.81,0.56,1.29,0.98,0.93,1.16,1.16,1.22,0.91,0.87,0.9,1.04,1.04,1.33,0.54
geoId-DBN,3.59,2.94,2.86,2.39,2.12,1.92,1.74,1.69,1.82,2.03,1.99,1.96,1.92,1.89,1.96,1.89,1.42
geoId-DNG,2.66,2.61,2.51,2.96,3.15,2.53,2.14,2.12,2.11,2.17,2.27,1.62,1.51,2.4,2.48,2.22,2.07
geoId-ST,3.25,3.46,3.14,3.4,2.34,2.2,2.24,2.17,2.14,2.21,2.07,2.05,2.3,2.3,2.3,-0.15,2.71
geoId-DLK,1.4,1.12,1.09,1.2,0.98,1.02,1.18,1.19,1.13,0.79,0.89,0.76,0.61,0.59,0.77,1.17,0.49
geoId-DNG1,4.99,3.73,3.72,3.51,2.61,3.13,3.3,3.42,2.91,2.75,2.4,1.76,1.74,1.69,1.93,4.16,0.92
geoId-MRD,0.63,0.56,0.51,0.41,0.3,0.32,0.42,0.4,0.39,-0.02,0.03,0.05,0.01,0.01,0.21,0.6,0.05
geoId-RRD,0.9,0.63,1.28,0.74,1.19,1.08,1.04,1.02,1.09,1.37,1.41,1.38,1.47,1.48,1.33,1.32,1.0
geoId-DNI,1.95,2.49,2.53,2.75,2.87,2.67,2.56,2.4,2.38,2.07,2.12,1.81,1.67,1.92,2.05,-0.26,2.74
geoId-DTP,0.79,0.47,0.48,0.25,0.18,0.12,0.2,0.2,0.17,-0.41,-0.41,-0.4,-0.4,-0.46,0.08,0.08,-0.07
