"Khối nước, nước và vùng lãnh thổ",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,79.7,147.4,266.8,304.1,342.9,391.0,364.5,404.3,493.0,581.9,659.2,857.4,1182.1,1577.4,1355.6,1688.3,2148.0,2476.2,2936.2,3762.2,4759.6,6011.6,7098.9,7085.1,6879.3,6999.3,7685.3,10430.4
,235.3,558.3,417.0,229.1,319.9,352.6,406.1,468.7,492.1,608.1,663.6,842.9,1243.4,1793.5,2077.8,3092.2,4866.7,5580.9,6682.9,7167.5,8915.4,11406.1,14807.2,18240.6,19734.9,19107.3,21946.3,24293.5
,57.1,49.8,118.2,144.5,159.4,218.0,237.9,264.6,330.9,369.9,469.9,653.1,816.8,1002.8,804.6,980.1,1534.3,1876.6,2290.7,2740.1,2847.8,3264.8,2734.9,2903.4,3439.2,3117.4,3878.6,4430.4
,,,,,,15.1,18.1,19.5,19.9,32.2,31.6,44.2,58.1,82.7,76.9,97.5,170.8,279.3,404.5,495.8,533.7,554.1,711.4,779.8,774.0,683.4,780.6,785.7
,53.8,45.7,47.6,317.2,420.0,248.6,264.3,332.0,467.2,452.9,468.8,957.9,1153.2,751.2,754.1,1433.4,2358.9,2357.7,2502.2,2890.4,2847.6,2617.9,2858.9,3533.7,3369.2,2826.1,3914.2,4529.7
,80.8,84.7,124.6,126.2,114.9,122.9,194.5,187.4,159.6,215.8,251.9,413.2,458.5,672.0,414.9,829.7,1287.3,1617.9,1921.2,1724.9,1438.3,1616.1,2165.7,2446.4,2666.3,2852.0,3203.0,1558.1
,20.6,24.9,30.4,73.4,165.3,70.7,64.3,64.7,51.8,68.4,69.2,95.0,109.7,160.3,172.2,200.0,286.6,432.6,423.2,484.0,523.3,477.8,518.3,595.2,702.2,571.8,594.7,656.4
,110.6,77.7,141.6,115.2,256.5,413.9,337.2,347.8,453.8,624.3,1028.3,1254.0,1555.0,2030.4,1775.2,2093.1,2770.8,4500.3,4984.5,3926.4,3577.1,3342.0,4204.3,4064.6,3788.2,3419.4,4414.8,5565.5
,,,,,,5.7,5.4,7.1,12.5,14.0,12.0,16.5,21.8,32.6,33.9,49.5,82.5,117.8,229.7,345.0,375.7,461.6,701.4,702.1,721.3,633.3,408.5,532.7
,0.7,3.5,22.4,32.2,20.1,24.2,44.0,60.5,78.3,127.7,191.5,285.5,360.4,436.4,359.1,488.8,589.7,682.8,892.0,1035.9,1545.5,1888.4,2338.4,2239.6,2826.8,3159.3,4557.5,4532.8
,2.1,4.7,14.6,17.6,16.4,16.6,15.4,16.8,20.9,23.5,32.7,38.1,49.1,93.8,51.4,74.1,89.8,125.8,109.1,117.2,103.4,117.7,115.4,115.1,129.5,216.9,135.3,190.0
,1.7,2.4,8.5,16.3,35.1,25.8,29.1,15.5,22.7,56.8,111.8,100.7,115.6,146.4,377.9,494.1,1864.4,612.6,764.2,793.0,1038.9,868.8,750.6,724.5,799.9,681.1,847.3,879.0
,1461.0,1546.4,1675.4,1514.5,1786.2,2575.2,2509.8,2437.0,2908.6,3542.1,4340.3,5240.1,6090.0,8467.8,6335.6,7727.7,11091.7,13064.5,13544.2,14674.9,14100.3,14671.5,16792.1,18833.7,20333.6,19284.0,20125.4,24232.5
,,,,,,4.9,8.1,9.4,10.5,11.4,17.1,33.0,34.1,64.2,66.9,109.8,70.5,112.7,147.9,182.9,113.0,71.4,63.8,115.5,127.1,135.0,158.0,148.1
,1.4,7.9,20.2,25.7,17.7,18.2,18.5,21.2,25.0,46.9,47.5,54.1,67.5,76.6,70.5,122.6,151.4,184.0,273.9,315.9,325.0,359.9,457.2,504.2,542.4,498.3,701.9,698.7
,131.7,212.4,199.3,554.8,713.4,643.2,757.7,861.5,759.3,813.5,877.5,1415.9,1687.3,1866.1,956.3,1316.7,1709.9,3249.9,5245.5,5973.8,6892.0,6049.5,6128.4,6231.3,5832.8,5254.1,5731.8,9931.7
,,,,,,10.0,8.9,21.5,23.1,39.7,42.4,65.5,82.3,96.0,110.4,133.6,168.4,174.8,187.3,282.5,419.8,435.6,494.7,403.7,353.3,396.9,597.3,600.6
,,,,,,13.7,14.8,13.3,13.9,44.7,42.9,77.9,118.0,164.5,135.3,173.8,227.4,237.2,234.5,272.0,268.8,259.5,325.0,265.0,337.2,309.5,462.1,435.0
,41.5,132.0,240.6,401.1,393.2,478.4,368.4,315.2,340.0,498.6,829.0,782.8,965.1,1824.7,1461.9,1706.4,1535.3,1871.5,1732.3,2310.3,2016.4,2219.9,2833.4,3464.9,3727.4,3549.6,4571.3,5100.1
,169.1,145.0,238.1,297.3,354.9,380.1,467.5,437.9,496.1,555.1,652.9,797.2,884.4,970.8,809.6,1095.1,1658.9,2163.4,2202.7,2396.8,2947.1,2998.0,3345.5,3762.7,3762.2,3297.0,3210.0,3697.7
,,,,,,22.4,19.9,24.3,28.8,41.9,57.2,68.9,92.5,134.4,79.5,68.4,87.0,99.7,80.7,104.5,117.6,106.6,164.9,164.7,119.5,140.9,266.5,223.3
,,,,,,0.8,1.7,1.2,2.5,6.1,8.1,12.6,16.5,35.7,25.6,38.3,76.3,100.6,109.8,186.9,238.2,277.5,330.4,250.2,341.3,303.7,559.9,531.2
,,,,,,6.5,7.0,10.6,11.8,14.4,15.5,20.5,32.3,77.6,76.6,77.7,74.4,80.6,71.5,99.2,102.2,97.2,119.6,146.8,193.9,220.2,211.4,322.4
,,,,,,1.5,2.5,1.5,2.1,2.9,4.8,5.9,7.0,19.7,12.0,13.9,19.3,17.7,16.6,28.7,33.4,38.1,39.3,41.3,36.9,38.1,38.4,56.1
,,,,,,9.3,9.3,6.1,20.7,25.0,22.5,22.6,18.5,26.6,29.0,35.7,24.1,37.3,25.6,51.6,62.1,28.6,29.0,50.7,58.6,37.9,53.4,74.8
,101.3,107.4,235.3,295.4,312.7,372.3,322.8,227.3,335.4,518.1,863.0,930.2,1030.0,1288.5,1314.2,1182.8,1938.3,2832.2,3069.6,3473.5,3177.7,3690.7,4800.9,5487.4,5303.1,4916.9,6154.9,7476.2
,,,,,,15.7,11.7,23.6,31.3,46.8,60.2,141.9,201.8,330.5,284.3,528.7,771.7,862.7,1173.9,1507.6,1359.6,1328.8,1901.8,1413.1,1140.3,980.7,1228.0,1576.8
,61.8,151.8,331.9,277.3,267.9,166.4,94.8,66.6,74.6,120.2,103.9,155.7,236.9,522.0,2499.7,2652.0,1188.5,397.7,288.3,264.4,230.0,593.0,239.7,171.3,1560.8,269.3,237.4,183.7
,4.7,31.8,47.1,58.5,45.2,55.1,53.2,62.4,90.0,108.5,133.6,171.0,202.4,224.9,204.6,233.2,427.4,673.7,905.3,961.1,936.2,914.7,970.6,1157.2,1183.6,1126.7,1199.7,1264.2
