dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,737.0,971.0,21.228
geoId-VNM,2003,,656.0,1077.0,19.781
geoId-VNM,2004,96.0,772.0,1247.0,22.738
geoId-VNM,2005,106.0,831.0,1288.0,25.696
geoId-VNM,2006,110.0,940.0,1424.0,27.7
geoId-VNM,2007,112.0,1008.0,1572.0,30.7
geoId-VNM,2008,116.0,1101.0,1673.0,33.8
geoId-VNM,2009,119.0,1091.0,2061.0,34.3
geoId-VNM,2010,126.0,1146.0,1526.0,37.1
geoId-VNM,2011,125.0,1479.0,2415.0,41.592
geoId-VNM,2012,101.0,906.0,1391.0,43.324
geoId-VNM,2013,138.0,1494.0,2657.0,45.506
geoId-VNM,2014,152.0,1659.0,2416.0,46.995
geoId-VNM,2015,164.0,1819.0,2510.0,40.233
geoId-VNM,2016,164.0,1448.0,2725.0,46.517
geoId-VNM,2017,167.0,1584.0,2941.0,49.451
geoId-VNM,2018,186.0,1853.0,3289.0,54.128
geoId-VNM,2020,191.0,1825.0,3283.0,49.646
geoId-VNM,2021,185.0,1846.0,3388.0,46.906
