dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,16363.0,17560.0,322.903
geoId-VNM,2003,,16619.0,19871.0,328.349
geoId-VNM,2004,1786.0,17114.0,20118.0,348.786
geoId-VNM,2005,1970.0,17849.0,21163.0,371.101
geoId-VNM,2006,2105.0,18940.0,23046.0,392.7
geoId-VNM,2007,2230.0,19548.0,25734.0,416.6
geoId-VNM,2008,2348.0,20582.0,27748.0,439.3
geoId-VNM,2009,2435.0,22149.0,27922.0,476.1
geoId-VNM,2010,2525.0,22807.0,31090.0,510.6
geoId-VNM,2011,2673.0,24092.0,34602.0,552.664
geoId-VNM,2012,2783.0,25082.0,38647.0,603.089
geoId-VNM,2013,2841.0,25816.0,40140.0,634.978
geoId-VNM,2014,2889.0,26309.0,41717.0,672.913
geoId-VNM,2015,2901.0,28289.0,44611.0,726.719
geoId-VNM,2016,2924.0,28346.0,46390.0,768.762
geoId-VNM,2017,2937.0,28889.0,49211.0,799.222
geoId-VNM,2018,2851.0,28850.0,49241.0,789.118
geoId-VNM,2020,2818.0,28938.0,50579.0,759.201
geoId-VNM,2021,2804.0,28891.0,49820.0,731.795
