dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,565.0,719.0,11.316
geoId-VNM,2003,,605.0,786.0,11.816
geoId-VNM,2004,49.0,581.0,801.0,11.437
geoId-VNM,2005,54.0,604.0,815.0,12.038
geoId-VNM,2006,60.0,693.0,892.0,13.4
geoId-VNM,2007,59.0,704.0,917.0,14.6
geoId-VNM,2008,75.0,806.0,1248.0,16.4
geoId-VNM,2009,77.0,871.0,1215.0,17.3
geoId-VNM,2010,87.0,1062.0,1388.0,20.2
geoId-VNM,2011,136.0,1167.0,1496.0,21.442
geoId-VNM,2012,157.0,1202.0,1619.0,22.075
geoId-VNM,2013,176.0,1280.0,1775.0,24.214
geoId-VNM,2014,186.0,1309.0,1937.0,26.038
geoId-VNM,2015,190.0,1349.0,2073.0,27.925
geoId-VNM,2016,192.0,1358.0,2152.0,28.816
geoId-VNM,2017,192.0,1370.0,2144.0,30.209
geoId-VNM,2018,190.0,1366.0,2105.0,30.766
geoId-VNM,2020,181.0,1373.0,2130.0,30.67
geoId-VNM,2021,181.0,1350.0,2088.0,29.798
