dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1768.0,1419.0,28.325
geoId-VNM,2003,,1602.0,1779.0,28.938
geoId-VNM,2004,78.0,1942.0,2211.0,32.511
geoId-VNM,2005,111.0,1643.0,1805.0,30.417
geoId-VNM,2006,122.0,1601.0,1795.0,30.7
geoId-VNM,2007,124.0,1587.0,1895.0,31.0
geoId-VNM,2008,126.0,1582.0,1987.0,32.2
geoId-VNM,2009,130.0,1590.0,1943.0,33.2
geoId-VNM,2010,137.0,1621.0,2052.0,35.6
geoId-VNM,2011,141.0,1658.0,2168.0,36.834
geoId-VNM,2012,147.0,1714.0,2373.0,40.616
geoId-VNM,2013,148.0,1728.0,2653.0,43.067
geoId-VNM,2014,148.0,1708.0,2867.0,45.151
geoId-VNM,2015,148.0,1733.0,3059.0,49.397
geoId-VNM,2016,148.0,1738.0,3113.0,50.792
geoId-VNM,2017,149.0,1764.0,3227.0,51.962
geoId-VNM,2018,150.0,1715.0,3013.0,49.513
geoId-VNM,2020,150.0,1662.0,2767.0,46.136
geoId-VNM,2021,152.0,1615.0,2768.0,44.038
