dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1323.0,1768.0,28.887
geoId-VNM,2003,,1365.0,1897.0,29.883
geoId-VNM,2004,219.0,1413.0,1835.0,31.39
geoId-VNM,2005,199.0,1351.0,2015.0,33.135
geoId-VNM,2006,199.0,1404.0,2049.0,35.1
geoId-VNM,2007,198.0,1284.0,2168.0,36.4
geoId-VNM,2008,201.0,1440.0,1710.0,38.9
geoId-VNM,2009,205.0,1391.0,1802.0,40.4
geoId-VNM,2010,203.0,1287.0,2091.0,42.2
geoId-VNM,2011,208.0,1500.0,2812.0,45.23
geoId-VNM,2012,214.0,1653.0,3015.0,52.602
geoId-VNM,2013,217.0,1671.0,3212.0,52.693
geoId-VNM,2014,223.0,1754.0,3421.0,56.115
geoId-VNM,2015,223.0,2167.0,3624.0,61.945
geoId-VNM,2016,228.0,2028.0,3928.0,68.777
geoId-VNM,2017,229.0,2125.0,4447.0,72.342
geoId-VNM,2018,236.0,2283.0,4092.0,70.82
geoId-VNM,2020,242.0,2424.0,4466.0,68.961
geoId-VNM,2021,246.0,2479.0,3727.0,66.007
