dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,2412.0,2482.0,39.795
geoId-VNM,2003,,1914.0,2863.0,31.371
geoId-VNM,2004,180.0,1363.0,1772.0,25.374
geoId-VNM,2005,188.0,1419.0,1958.0,26.753
geoId-VNM,2006,190.0,1795.0,2343.0,32.6
geoId-VNM,2007,206.0,1792.0,2417.0,32.3
geoId-VNM,2008,207.0,1399.0,2789.0,29.7
geoId-VNM,2009,207.0,2180.0,2359.0,35.5
geoId-VNM,2010,210.0,1664.0,2317.0,36.9
geoId-VNM,2011,226.0,1715.0,2964.0,39.205
geoId-VNM,2012,227.0,1715.0,2472.0,41.498
geoId-VNM,2013,227.0,1678.0,3109.0,42.955
geoId-VNM,2014,232.0,1710.0,3193.0,44.928
geoId-VNM,2015,228.0,2590.0,3559.0,47.751
geoId-VNM,2016,227.0,2215.0,3737.0,51.296
geoId-VNM,2017,227.0,1848.0,3791.0,52.196
geoId-VNM,2018,223.0,1839.0,3893.0,49.453
geoId-VNM,2020,235.0,1814.0,3780.0,45.604
geoId-VNM,2021,224.0,1771.0,3708.0,43.281
