dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,22157.0,28243.0,567.231
geoId-VNM,2003,,22199.0,28289.0,575.999
geoId-VNM,2004,2686.0,24322.0,31850.0,615.736
geoId-VNM,2005,2719.0,22275.0,31351.0,607.057
geoId-VNM,2006,2833.0,23166.0,32776.0,635.9
geoId-VNM,2007,2763.0,23492.0,33035.0,643.2
geoId-VNM,2008,2809.0,24767.0,33994.0,690.4
geoId-VNM,2009,2855.0,24876.0,35833.0,736.7
geoId-VNM,2010,2893.0,25815.0,40411.0,789.9
geoId-VNM,2011,2870.0,27866.0,46023.0,870.161
geoId-VNM,2012,3003.0,28655.0,53138.0,938.142
geoId-VNM,2013,3089.0,30139.0,57638.0,942.594
geoId-VNM,2014,3139.0,32240.0,61458.0,988.339
geoId-VNM,2015,3186.0,37304.0,64968.0,1072.016
geoId-VNM,2016,3250.0,39073.0,72332.0,1172.697
geoId-VNM,2017,3320.0,40197.0,76430.0,1230.596
geoId-VNM,2018,3380.0,39957.0,74395.0,1180.746
geoId-VNM,2020,3391.0,42760.0,80250.0,1141.435
geoId-VNM,2021,3349.0,41881.0,78600.0,1067.07
