dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,,,
geoId-VNM,2003,,,,
geoId-VNM,2004,44.0,567.0,526.0,15.204
geoId-VNM,2005,51.0,587.0,606.0,16.28
geoId-VNM,2006,55.0,639.0,666.0,16.5
geoId-VNM,2007,59.0,700.0,730.0,17.8
geoId-VNM,2008,63.0,764.0,808.0,20.1
geoId-VNM,2009,65.0,896.0,879.0,23.2
geoId-VNM,2010,76.0,854.0,956.0,22.8
geoId-VNM,2011,79.0,856.0,1084.0,24.567
geoId-VNM,2012,100.0,936.0,852.0,28.477
geoId-VNM,2013,82.0,917.0,1108.0,26.848
geoId-VNM,2014,83.0,865.0,1272.0,24.868
geoId-VNM,2015,84.0,914.0,1283.0,25.496
geoId-VNM,2016,85.0,1240.0,1537.0,29.276
geoId-VNM,2017,85.0,962.0,1599.0,29.569
geoId-VNM,2018,86.0,846.0,1169.0,26.828
geoId-VNM,2020,86.0,813.0,1286.0,23.651
geoId-VNM,2021,88.0,839.0,1307.0,18.88
