dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,664.0,811.0,16.522
geoId-VNM,2003,,695.0,806.0,18.72
geoId-VNM,2004,86.0,706.0,886.0,20.705
geoId-VNM,2005,95.0,820.0,1000.0,24.076
geoId-VNM,2006,104.0,859.0,1187.0,25.2
geoId-VNM,2007,107.0,869.0,1327.0,25.1
geoId-VNM,2008,113.0,973.0,1434.0,28.1
geoId-VNM,2009,118.0,1016.0,1408.0,28.4
geoId-VNM,2010,115.0,1014.0,1474.0,30.0
geoId-VNM,2011,126.0,1134.0,1707.0,34.59
geoId-VNM,2012,129.0,1152.0,1863.0,36.053
geoId-VNM,2013,137.0,1196.0,2082.0,37.094
geoId-VNM,2014,143.0,1262.0,2237.0,38.005
geoId-VNM,2015,149.0,1318.0,2441.0,39.236
geoId-VNM,2016,153.0,1447.0,2691.0,43.861
geoId-VNM,2017,156.0,1457.0,2721.0,46.659
geoId-VNM,2018,152.0,1409.0,2810.0,42.864
geoId-VNM,2020,160.0,1529.0,2970.0,44.312
geoId-VNM,2021,163.0,1507.0,3052.0,37.273
