dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,5450.0,7134.0,130.026
geoId-VNM,2003,,5205.0,5430.0,119.576
geoId-VNM,2004,647.0,4943.0,5632.0,117.688
geoId-VNM,2005,644.0,4873.0,5660.0,117.348
geoId-VNM,2006,645.0,4866.0,4503.0,117.5
geoId-VNM,2007,646.0,4900.0,6220.0,118.4
geoId-VNM,2008,646.0,4920.0,6408.0,121.9
geoId-VNM,2009,646.0,4806.0,6489.0,122.0
geoId-VNM,2010,654.0,4936.0,6912.0,126.6
geoId-VNM,2011,653.0,5066.0,7437.0,135.455
geoId-VNM,2012,656.0,5117.0,6540.0,141.314
geoId-VNM,2013,658.0,5163.0,8875.0,146.715
geoId-VNM,2014,660.0,5356.0,8855.0,150.069
geoId-VNM,2015,661.0,5841.0,9738.0,161.454
geoId-VNM,2016,665.0,6020.0,9954.0,181.566
geoId-VNM,2017,669.0,6557.0,10275.0,187.145
geoId-VNM,2018,670.0,6596.0,9659.0,189.198
geoId-VNM,2020,682.0,6993.0,11886.0,188.356
geoId-VNM,2021,681.0,6954.0,12219.0,182.049
