dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1120.0,1041.0,29.041
geoId-VNM,2003,,1398.0,1152.0,27.837
geoId-VNM,2004,127.0,1270.0,1348.0,34.019
geoId-VNM,2005,131.0,1336.0,1433.0,35.836
geoId-VNM,2006,140.0,1335.0,1473.0,35.6
geoId-VNM,2007,154.0,1469.0,1695.0,39.6
geoId-VNM,2008,162.0,1542.0,1799.0,45.1
geoId-VNM,2009,170.0,1763.0,2077.0,49.4
geoId-VNM,2010,166.0,1878.0,2682.0,47.4
geoId-VNM,2011,172.0,1891.0,2327.0,49.681
geoId-VNM,2012,174.0,1895.0,2429.0,51.453
geoId-VNM,2013,186.0,2001.0,2611.0,49.402
geoId-VNM,2014,186.0,1977.0,2727.0,52.943
geoId-VNM,2015,191.0,2661.0,2904.0,54.613
geoId-VNM,2016,191.0,1961.0,2992.0,59.697
geoId-VNM,2017,197.0,1963.0,3028.0,58.227
geoId-VNM,2018,194.0,1832.0,2967.0,54.795
geoId-VNM,2020,188.0,1781.0,2974.0,51.197
geoId-VNM,2021,184.0,1724.0,3040.0,35.922
