dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,410.0,502.0,10.238
geoId-VNM,2003,,460.0,552.0,11.59
geoId-VNM,2004,47.0,520.0,599.0,14.491
geoId-VNM,2005,55.0,568.0,622.0,16.212
geoId-VNM,2006,65.0,733.0,734.0,21.0
geoId-VNM,2007,68.0,763.0,751.0,21.8
geoId-VNM,2008,85.0,843.0,867.0,24.6
geoId-VNM,2009,93.0,882.0,892.0,24.2
geoId-VNM,2010,100.0,965.0,1063.0,24.5
geoId-VNM,2011,121.0,1067.0,1252.0,28.325
geoId-VNM,2012,125.0,1144.0,1287.0,30.802
geoId-VNM,2013,131.0,1173.0,1429.0,29.712
geoId-VNM,2014,132.0,1167.0,1493.0,30.323
geoId-VNM,2015,132.0,1159.0,1650.0,29.935
geoId-VNM,2016,131.0,1241.0,1717.0,34.884
geoId-VNM,2017,132.0,1230.0,1749.0,36.16
geoId-VNM,2018,134.0,1167.0,1838.0,33.136
geoId-VNM,2020,133.0,1127.0,1869.0,30.443
geoId-VNM,2021,132.0,1062.0,1860.0,19.618
