dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,9984.0,9622.0,269.399
geoId-VNM,2003,,11003.0,11196.0,283.377
geoId-VNM,2004,1142.0,12191.0,12391.0,327.886
geoId-VNM,2005,1331.0,12687.0,13297.0,356.999
geoId-VNM,2006,1463.0,13378.0,14271.0,370.6
geoId-VNM,2007,1513.0,14105.0,15138.0,393.5
geoId-VNM,2008,1579.0,15051.0,16419.0,430.0
geoId-VNM,2009,1596.0,15620.0,17607.0,448.7
geoId-VNM,2010,1637.0,16127.0,19481.0,455.4
geoId-VNM,2011,1736.0,16747.0,20576.0,484.076
geoId-VNM,2012,1856.0,17544.0,21735.0,515.964
geoId-VNM,2013,1870.0,17734.0,22921.0,515.304
geoId-VNM,2014,1886.0,17887.0,24587.0,511.181
geoId-VNM,2015,1966.0,19601.0,26347.0,511.003
geoId-VNM,2016,2011.0,18854.0,28474.0,577.915
geoId-VNM,2017,2046.0,19190.0,29863.0,588.165
geoId-VNM,2018,2040.0,18187.0,29451.0,549.76
geoId-VNM,2020,1995.0,18027.0,30645.0,522.968
geoId-VNM,2021,1986.0,17373.0,30447.0,400.686
