dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,3792.0,6078.0,127.122
geoId-VNM,2003,,3787.0,6357.0,128.605
geoId-VNM,2004,524.0,4036.0,6886.0,147.808
geoId-VNM,2005,533.0,4363.0,7151.0,159.719
geoId-VNM,2006,597.0,4730.0,7939.0,172.2
geoId-VNM,2007,586.0,5047.0,8666.0,186.7
geoId-VNM,2008,638.0,5397.0,9451.0,198.3
geoId-VNM,2009,605.0,5189.0,9898.0,190.9
geoId-VNM,2010,696.0,14973.0,10703.0,214.7
geoId-VNM,2011,744.0,7259.0,11983.0,241.468
geoId-VNM,2012,800.0,7923.0,12765.0,253.795
geoId-VNM,2013,870.0,8230.0,13774.0,258.53
geoId-VNM,2014,939.0,8364.0,14640.0,261.186
geoId-VNM,2015,1006.0,9269.0,15746.0,279.257
geoId-VNM,2016,1100.0,10347.0,17728.0,312.568
geoId-VNM,2017,1208.0,11292.0,19482.0,329.065
geoId-VNM,2018,1305.0,11539.0,20330.0,319.635
geoId-VNM,2020,1374.0,12023.0,21364.0,295.679
geoId-VNM,2021,1342.0,11556.0,20167.0,229.661
