dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,481.0,491.0,11.659
geoId-VNM,2003,,537.0,615.0,15.062
geoId-VNM,2004,51.0,598.0,664.0,16.353
geoId-VNM,2005,54.0,646.0,691.0,18.882
geoId-VNM,2006,57.0,685.0,749.0,20.1
geoId-VNM,2007,57.0,651.0,739.0,19.9
geoId-VNM,2008,63.0,721.0,806.0,22.3
geoId-VNM,2009,70.0,774.0,887.0,23.1
geoId-VNM,2010,76.0,795.0,975.0,23.8
geoId-VNM,2011,80.0,805.0,1005.0,24.409
geoId-VNM,2012,83.0,819.0,1052.0,25.408
geoId-VNM,2013,82.0,836.0,1135.0,26.163
geoId-VNM,2014,86.0,815.0,1154.0,25.205
geoId-VNM,2015,87.0,815.0,1278.0,25.0
geoId-VNM,2016,88.0,854.0,1393.0,28.201
geoId-VNM,2017,88.0,867.0,1569.0,28.412
geoId-VNM,2018,89.0,848.0,1513.0,25.61
geoId-VNM,2020,84.0,804.0,1539.0,23.64
geoId-VNM,2021,84.0,772.0,1499.0,21.068
