dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,2291.0,2523.0,53.192
geoId-VNM,2003,,2157.0,2517.0,51.23
geoId-VNM,2004,275.0,1869.0,2220.0,46.959
geoId-VNM,2005,274.0,1830.0,2298.0,47.675
geoId-VNM,2006,273.0,1989.0,2267.0,47.5
geoId-VNM,2007,273.0,1776.0,2257.0,46.0
geoId-VNM,2008,274.0,1773.0,2572.0,49.3
geoId-VNM,2009,276.0,1837.0,2787.0,51.0
geoId-VNM,2010,278.0,1880.0,3116.0,51.0
geoId-VNM,2011,278.0,2013.0,3081.0,52.598
geoId-VNM,2012,269.0,1953.0,3249.0,56.123
geoId-VNM,2013,265.0,2022.0,3688.0,56.56
geoId-VNM,2014,266.0,2095.0,3509.0,59.883
geoId-VNM,2015,267.0,2052.0,3634.0,65.459
geoId-VNM,2016,269.0,2168.0,3947.0,72.653
geoId-VNM,2017,273.0,2259.0,3963.0,75.376
geoId-VNM,2018,275.0,2381.0,4014.0,75.41
geoId-VNM,2020,254.0,2632.0,4926.0,75.716
geoId-VNM,2021,255.0,2655.0,5254.0,74.079
