dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,974.0,885.0,18.06
geoId-VNM,2003,,1125.0,1133.0,18.943
geoId-VNM,2004,103.0,1168.0,1169.0,21.018
geoId-VNM,2005,136.0,1440.0,1567.0,23.778
geoId-VNM,2006,157.0,1419.0,1645.0,24.2
geoId-VNM,2007,165.0,1518.0,1782.0,25.5
geoId-VNM,2008,171.0,1922.0,2243.0,31.9
geoId-VNM,2009,189.0,1971.0,2349.0,34.5
geoId-VNM,2010,208.0,2138.0,2635.0,37.7
geoId-VNM,2011,209.0,2295.0,2926.0,42.366
geoId-VNM,2012,213.0,2453.0,3350.0,47.568
geoId-VNM,2013,214.0,2541.0,3588.0,50.799
geoId-VNM,2014,214.0,2560.0,3539.0,54.527
geoId-VNM,2015,214.0,2581.0,3588.0,57.151
geoId-VNM,2016,215.0,2611.0,3616.0,59.228
geoId-VNM,2017,217.0,2608.0,3664.0,60.777
geoId-VNM,2018,213.0,2555.0,3551.0,61.243
geoId-VNM,2020,212.0,2557.0,3555.0,60.543
geoId-VNM,2021,213.0,2514.0,3537.0,59.67
