dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,2235.0,2507.0,56.439
geoId-VNM,2003,,2213.0,2451.0,55.969
geoId-VNM,2004,182.0,2362.0,2241.0,56.776
geoId-VNM,2005,189.0,2512.0,2146.0,51.522
geoId-VNM,2006,189.0,2122.0,2629.0,55.8
geoId-VNM,2007,192.0,2086.0,2398.0,54.9
geoId-VNM,2008,204.0,2138.0,2989.0,57.1
geoId-VNM,2009,212.0,2219.0,3025.0,61.4
geoId-VNM,2010,226.0,2415.0,3195.0,63.8
geoId-VNM,2011,235.0,2472.0,3530.0,69.96
geoId-VNM,2012,251.0,2540.0,3624.0,76.357
geoId-VNM,2013,263.0,2717.0,4022.0,79.47
geoId-VNM,2014,279.0,2809.0,4141.0,77.498
geoId-VNM,2015,289.0,3881.0,4709.0,82.287
geoId-VNM,2016,301.0,2880.0,4969.0,89.114
geoId-VNM,2017,310.0,3327.0,5187.0,93.022
geoId-VNM,2018,328.0,3043.0,5205.0,93.266
geoId-VNM,2020,333.0,3122.0,5655.0,92.58
geoId-VNM,2021,329.0,3052.0,5620.0,78.089
