dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1855.0,2049.0,41.638
geoId-VNM,2003,,1920.0,2232.0,41.732
geoId-VNM,2004,297.0,1946.0,2322.0,42.912
geoId-VNM,2005,296.0,1959.0,2403.0,44.238
geoId-VNM,2006,300.0,1984.0,2646.0,45.6
geoId-VNM,2007,301.0,2021.0,2881.0,47.3
geoId-VNM,2008,303.0,2039.0,3052.0,49.4
geoId-VNM,2009,303.0,2108.0,3056.0,51.4
geoId-VNM,2010,308.0,2167.0,3414.0,55.1
geoId-VNM,2011,308.0,2250.0,3714.0,60.574
geoId-VNM,2012,312.0,2209.0,4184.0,66.876
geoId-VNM,2013,312.0,2421.0,4559.0,69.745
geoId-VNM,2014,313.0,2541.0,4973.0,74.003
geoId-VNM,2015,314.0,2697.0,5555.0,80.915
geoId-VNM,2016,317.0,2839.0,5823.0,85.245
geoId-VNM,2017,318.0,2954.0,6051.0,89.738
geoId-VNM,2018,322.0,2958.0,5875.0,85.513
geoId-VNM,2020,320.0,2997.0,6063.0,80.099
geoId-VNM,2021,309.0,2982.0,6215.0,76.956
