dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,909.0,1009.0,19.097
geoId-VNM,2003,,987.0,1274.0,21.69
geoId-VNM,2004,128.0,1010.0,1272.0,21.571
geoId-VNM,2005,142.0,1079.0,1330.0,24.432
geoId-VNM,2006,156.0,1113.0,1566.0,26.7
geoId-VNM,2007,162.0,1145.0,1794.0,28.2
geoId-VNM,2008,183.0,1195.0,1743.0,29.5
geoId-VNM,2009,173.0,1190.0,1902.0,31.6
geoId-VNM,2010,176.0,1237.0,1949.0,33.4
geoId-VNM,2011,185.0,1306.0,2236.0,36.347
geoId-VNM,2012,185.0,1365.0,2262.0,39.303
geoId-VNM,2013,187.0,1376.0,2367.0,39.886
geoId-VNM,2014,187.0,1393.0,2413.0,41.447
geoId-VNM,2015,191.0,1445.0,2642.0,44.766
geoId-VNM,2016,193.0,1485.0,2699.0,47.833
geoId-VNM,2017,192.0,1536.0,2850.0,49.244
geoId-VNM,2018,197.0,1562.0,3045.0,49.448
geoId-VNM,2020,179.0,1583.0,2951.0,48.371
geoId-VNM,2021,177.0,1577.0,2845.0,47.284
